another_name,another_name_kana,post_id,prefecture_id
,,0000000,43
麻生田,ｱｿｳﾀﾞ,8618081,43
改寄町,ｱﾗｷﾏﾁ,8615501,43
池田,ｲｹﾀﾞ,8600082,43
和泉町,ｲｽﾞﾐﾏﾁ,8615533,43
植木町鐙田,ｳｴｷﾏﾁｱﾌﾞﾐﾀﾞ,8610142,43
植木町有泉,ｳｴｷﾏﾁｱﾘｽﾞﾐ,8610123,43
植木町石川,ｳｴｷﾏﾁｲｼｶﾜ,8610124,43
植木町伊知坊,ｳｴｷﾏﾁｲﾁﾎﾞｳ,8610113,43
植木町今藤,ｳｴｷﾏﾁｲﾏﾌｼﾞ,8610104,43
植木町岩野,ｳｴｷﾏﾁｲﾜﾉ,8610136,43
植木町植木,ｳｴｷﾏﾁｳｴｷ,8610132,43
植木町上古閑,ｳｴｷﾏﾁｳｴｺｶﾞ,8610152,43
植木町後古閑,ｳｴｷﾏﾁｳｼﾛｺｶﾞ,8610156,43
植木町内,ｳｴｷﾏﾁｳﾁ,8610102,43
植木町円台寺,ｳｴｷﾏﾁｴﾝﾀﾞｲｼﾞ,8610153,43
植木町大井,ｳｴｷﾏﾁｵｵｲ,8610126,43
植木町荻迫,ｳｴｷﾏﾁｵｷﾞｻｺ,8610145,43
植木町小野,ｳｴｷﾏﾁｵﾉ,8610125,43
植木町亀甲,ｳｴｷﾏﾁｶﾒｺｳ,8610127,43
植木町木留,ｳｴｷﾏﾁｷﾄﾒ,8610151,43
植木町清水,ｳｴｷﾏﾁｷﾖﾐｽﾞ,8610103,43
植木町鞍掛,ｳｴｷﾏﾁｸﾗｶｹ,8610161,43
植木町古閑,ｳｴｷﾏﾁｺｶﾞ,8610122,43
植木町色出,ｳｴｷﾏﾁｼｷﾃﾞ,8610116,43
植木町正清,ｳｴｷﾏﾁｼｮｳｾｲ,8610117,43
植木町鈴麦,ｳｴｷﾏﾁｽｽﾞﾑｷﾞ,8610164,43
植木町大和,ｳｴｷﾏﾁﾀﾞｲﾜ,8610143,43
植木町田底,ｳｴｷﾏﾁﾀｿｺ,8610112,43
植木町滴水,ｳｴｷﾏﾁﾀﾙﾐｽﾞ,8610133,43
植木町轟,ｳｴｷﾏﾁﾄﾄﾞﾛｷ,8610155,43
植木町富応,ｳｴｷﾏﾁﾄﾐｵｳ,8610162,43
植木町豊岡,ｳｴｷﾏﾁﾄﾖｵｶ,8610163,43
植木町豊田,ｳｴｷﾏﾁﾄﾖﾀﾞ,8610106,43
植木町投刀塚,ｳｴｷﾏﾁﾅﾀﾂｶ,8610141,43
植木町那知,ｳｴｷﾏﾁﾅﾁ,8610154,43
植木町一木,ｳｴｷﾏﾁﾋﾄﾂｷﾞ,8610135,43
植木町平井,ｳｴｷﾏﾁﾋﾗｲ,8610121,43
植木町平野,ｳｴｷﾏﾁﾋﾗﾉ,8610144,43
植木町平原,ｳｴｷﾏﾁﾋﾗﾊﾞﾙ,8610165,43
植木町広住,ｳｴｷﾏﾁﾋﾛｽﾞﾐ,8610131,43
植木町舟島,ｳｴｷﾏﾁﾌﾅｼﾞﾏ,8610114,43
植木町辺田野,ｳｴｷﾏﾁﾍﾀﾉ,8610146,43
植木町味取,ｳｴｷﾏﾁﾐﾄﾘ,8610105,43
植木町宮原,ｳｴｷﾏﾁﾐﾔﾊﾞﾙ,8610111,43
植木町舞尾,ｳｴｷﾏﾁﾓｳﾉ,8610134,43
植木町山本,ｳｴｷﾏﾁﾔﾏﾓﾄ,8610101,43
植木町米塚,ｳｴｷﾏﾁﾖﾈﾂｶ,8610115,43
兎谷,ｳｻｷﾞﾀﾞﾆ,8618082,43
