another_name,another_name_kana,post_id,prefecture_id
,,0000000,33
青江,ｱｵｴ,7100064,33
浅原,ｱｻﾊﾞﾗ,7100007,33
阿知,ｱﾁ,7100055,33
天城台,ｱﾏｷﾀﾞｲ,7100131,33
有城,ｱﾙｷ,7100031,33
生坂,ｲｸｻｶ,7100002,33
五日市,ｲﾂｶｲﾁ,7100041,33
稲荷町,ｲﾅﾘﾏﾁ,7100822,33
石見町,ｲﾜﾐﾁｮｳ,7100814,33
潮通,ｳｼｵﾄﾞｵﾘ,7128054,33
浦田,ｳﾗﾀﾞ,7100843,33
老松町,ｵｲﾏﾂﾁｮｳ,7100826,33
大内,ｵｵｳﾁ,7100817,33
大島,ｵｵｼﾞﾏ,7100047,33
大畠,ｵｵﾊﾞﾀｹ,7110924,33
沖,ｵｷ,7100836,33
沖新町,ｵｷｼﾝﾏﾁ,7100837,33
尾原,ｵﾊﾞﾗ,7100144,33
帯高,ｵﾋﾞﾀｶ,7100023,33
加須山,ｶｽﾔﾏ,7100026,33
片島町,ｶﾀｼﾏﾁｮｳ,7100805,33
上富井,ｶﾐﾄﾐｲ,7100846,33
亀島,ｶﾒｼﾞﾏ,7128013,33
亀山,ｶﾒﾔﾏ,7100024,33
川入,ｶﾜｲﾘ,7100811,33
川西町,ｶﾜﾆｼﾏﾁ,7100821,33
神田,ｶﾝﾀﾞ,7128061,33
北畝,ｷﾀｾ,7128032,33
北浜町,ｷﾀﾊﾏﾁｮｳ,7100812,33
木見,ｷﾐ,7100143,33
串田,ｸｼﾀﾞ,7100141,33
倉敷ハイツ,ｸﾗｼｷﾊｲﾂ,7100025,33
栗坂,ｸﾘｻｶ,7010113,33
黒石,ｸﾛｲｼ,7100035,33
黒崎,ｸﾛｻｷ,7100014,33
児島赤崎,ｺｼﾞﾏｱｶｻｷ,7110931,33
児島味野,ｺｼﾞﾏｱｼﾞﾉ,7110913,33
児島味野上,ｺｼﾞﾏｱｼﾞﾉｶﾐ,7110917,33
児島味野城山,ｺｼﾞﾏｱｼﾞﾉｼﾛﾔﾏ,7110916,33
児島味野城,ｺｼﾞﾏｱｼﾞﾉｼﾞｮｳ,7110914,33
児島味野山田町,ｺｼﾞﾏｱｼﾞﾉﾔﾏﾀﾞﾁｮｳ,7110915,33
児島阿津,ｺｼﾞﾏｱﾂ,7110923,33
児島宇野津,ｺｼﾞﾏｳﾉﾂ,7110935,33
児島駅前,ｺｼﾞﾏｴｷﾏｴ,7110921,33
児島小川,ｺｼﾞﾏｵｶﾞﾜ,7110911,33
児島小川町,ｺｼﾞﾏｵｶﾞﾜﾁｮｳ,7110912,33
児島上の町,ｺｼﾞﾏｶﾐﾉﾁｮｳ,7110907,33
児島下の町,ｺｼﾞﾏｼﾓﾉﾁｮｳ,7110906,33
児島通生,ｺｼﾞﾏｶﾖｳ,7110933,33
児島唐琴,ｺｼﾞﾏｶﾗｺﾄ,7110904,33
児島唐琴町,ｺｼﾞﾏｶﾗｺﾄﾁｮｳ,7110905,33
児島塩生,ｺｼﾞﾏｼｵﾅｽ,7110934,33
児島白尾,ｺｼﾞﾏｼﾛｵ,7110902,33
児島田の口,ｺｼﾞﾏﾀﾉｸﾁ,7110903,33
児島稗田町,ｺｼﾞﾏﾋｴﾀﾞﾁｮｳ,7110937,33
児島元浜町,ｺｼﾞﾏﾓﾄﾊﾏﾁｮｳ,7110922,33
児島柳田町,ｺｼﾞﾏﾔﾅｲﾀﾞﾁｮｳ,7110936,33
児島由加,ｺｼﾞﾏﾕｶﾞ,7110901,33
寿町,ｺﾄﾌﾞｷﾁｮｳ,7100813,33
菰池,ｺﾓｲｹ,7110932,33
幸町,ｻｲﾜｲﾁｮｳ,7100051,33
酒津,ｻｶﾂﾞ,7100801,33
笹沖,ｻｻｵｷ,7100834,33
四十瀬,ｼｼﾞｭｳｾ,7100835,33
下庄,ｼﾓｼｮｳ,7010112,33
下津井,ｼﾓﾂｲ,7110927,33
下津井田之浦,ｼﾓﾂｲﾀﾉｳﾗ,7110925,33
下津井吹上,ｼﾓﾂｲﾌｷｱｹﾞ,7110926,33
庄新町,ｼｮｳｼﾝﾏﾁ,7010102,33
上東,ｼﾞｮｳﾄｳ,7010111,33
昭和,ｼｮｳﾜ,7100057,33
新倉敷駅前,ｼﾝｸﾗｼｷｴｷﾏｴ,7100253,33
新田,ｼﾝﾃﾞﾝ,7100038,33
祐安,ｽｹﾔｽ,7100006,33
曽原,ｿﾊﾞﾗ,7100146,33
高須賀,ﾀｶｽｶ,7100021,33
田ノ上,ﾀﾉｳｴ,7100831,33
田ノ上新町,ﾀﾉｳｴｼﾝﾏﾁ,7100832,33
玉島,ﾀﾏｼﾏ,7138102,33
玉島阿賀崎,ﾀﾏｼﾏｱｶﾞｻｷ,7138121,33
玉島上成,ﾀﾏｼﾏｳﾜﾅﾘ,7138101,33
玉島乙島,ﾀﾏｼﾏｵﾄｼﾏ,7138103,33
玉島柏島,ﾀﾏｼﾏｶｼﾜｼﾞﾏ,7138123,33
玉島柏台,ﾀﾏｼﾏｶｼﾜﾀﾞｲ,7138124,33
玉島黒崎,ﾀﾏｼﾏｸﾛｻｷ,7138126,33
玉島黒崎新町,ﾀﾏｼﾏｸﾛｻｷｼﾝﾏﾁ,7138127,33
玉島陶,ﾀﾏｼﾏｽｴ,7138112,33
玉島中央町,ﾀﾏｼﾏﾁｭｳｵｳﾁｮｳ,7138122,33
玉島爪崎,ﾀﾏｼﾏﾂﾏｻｷ,7100252,33
玉島富,ﾀﾏｼﾏﾄﾐ,7138116,33
玉島長尾,ﾀﾏｼﾏﾅｶﾞｵ,7100251,33
玉島服部,ﾀﾏｼﾏﾊｯﾄﾘ,7138111,33
玉島道口,ﾀﾏｼﾏﾐﾁｸﾞﾁ,7138115,33
玉島道越,ﾀﾏｼﾏﾐﾁｺﾞｴ,7138114,33
玉島八島,ﾀﾏｼﾏﾔｼﾏ,7138113,33
玉島勇崎,ﾀﾏｼﾏﾕｳｻﾞｷ,7138125,33
茶屋町,ﾁｬﾔﾏﾁ,7101101,33
茶屋町早沖,ﾁｬﾔﾏﾁﾊﾔｵｷ,7101102,33
中央,ﾁｭｳｵｳ,7100046,33
粒浦,ﾂﾌﾞｳﾗ,7100036,33
粒江,ﾂﾌﾞｴ,7100034,33
粒江団地,ﾂﾌﾞｴﾀﾞﾝﾁ,7100033,33
連島,ﾂﾗｼﾞﾏ,7128012,33
連島中央,ﾂﾗｼﾞﾏﾁｭｳｵｳ,7128014,33
連島町亀島新田,ﾂﾗｼﾞﾏﾁｮｳｶﾒｼﾞﾏｼﾝﾃﾞﾝ,7128002,33
連島町連島,ﾂﾗｼﾞﾏﾁｮｳﾂﾗｼﾞﾏ,7128011,33
連島町鶴新田,ﾂﾗｼﾞﾏﾁｮｳﾂﾙｼﾝﾃﾞﾝ,7128006,33
連島町西之浦,ﾂﾗｼﾞﾏﾁｮｳﾆｼﾉｳﾗ,7128001,33
連島町矢柄,ﾂﾗｼﾞﾏﾁｮｳﾔｶﾞﾗ,7128015,33
鶴形,ﾂﾙｶﾞﾀ,7100056,33
鶴の浦,ﾂﾙﾉｳﾗ,7128007,33
徳芳,ﾄｸﾎﾞｳ,7100011,33
鳥羽,ﾄﾊﾞ,7100012,33
中帯江,ﾅｶｵﾋﾞｴ,7100013,33
中島,ﾅｶｼﾏ,7100803,33
中庄,ﾅｶｼｮｳ,7100016,33
中庄団地,ﾅｶｼｮｳﾀﾞﾝﾁ,7100015,33
中畝,ﾅｶｾ,7128051,33
西阿知町,ﾆｼｱﾁﾁｮｳ,7100807,33
西阿知町新田,ﾆｼｱﾁﾁｮｳｼﾝﾃﾞﾝ,7100804,33
西阿知町西原,ﾆｼｱﾁﾁｮｳﾆｼﾊﾞﾗ,7100806,33
西尾,ﾆｼｵ,7010103,33
西岡,ﾆｼｵｶ,7100005,33
西坂,ﾆｼｻﾞｶ,7100004,33
西田,ﾆｼﾀﾞ,7100027,33
西富井,ﾆｼﾄﾐｲ,7100845,33
西中新田,ﾆｼﾅｶｼﾝﾃﾞﾝ,7100833,33
白楽町,ﾊﾞｸﾛﾁｮｳ,7100824,33
羽島,ﾊｼﾏ,7100043,33
八王寺町,ﾊﾁｵｳｼﾞﾁｮｳ,7100816,33
八軒屋,ﾊﾁｹﾝﾔ,7100037,33
浜ノ茶屋,ﾊﾏﾉﾁｬﾔ,7100061,33
浜町,ﾊﾏﾏﾁ,7100062,33
林,ﾊﾔｼ,7100142,33
早高,ﾊﾔﾀｶ,7100022,33
東粒浦,ﾋｶﾞｼﾂﾌﾞｳﾗ,7100032,33
東塚,ﾋｶﾞｼﾂﾞｶ,7128044,33
東富井,ﾋｶﾞｼﾄﾐｲ,7100847,33
東町,ﾋｶﾞｼﾏﾁ,7100053,33
日ノ出町,ﾋﾉﾃﾞﾁｮｳ,7100063,33
日畑,ﾋﾊﾞﾀ,7010101,33
日吉町,ﾋﾖｾﾁｮｳ,7100815,33
平田,ﾋﾗﾀ,7100003,33
広江,ﾋﾛｴ,7128043,33
福井,ﾌｸｲ,7100844,33
福江,ﾌｸｴ,7100145,33
福島,ﾌｸｼﾏ,7100048,33
福田町浦田,ﾌｸﾀﾞﾁｮｳｳﾗﾀﾞ,7128031,33
福田町古新田,ﾌｸﾀﾞﾁｮｳｺｼﾝﾃﾞﾝ,7128046,33
福田町東塚,ﾌｸﾀﾞﾁｮｳﾋｶﾞｼﾂﾞｶ,7128045,33
福田町広江,ﾌｸﾀﾞﾁｮｳﾋﾛｴ,7128042,33
福田町福田,ﾌｸﾀﾞﾁｮｳﾌｸﾀﾞ,7128041,33
藤戸町天城,ﾌｼﾞﾄﾁｮｳｱﾏｷ,7100132,33
藤戸町藤戸,ﾌｼﾞﾄﾁｮｳﾌｼﾞﾄ,7100133,33
二子,ﾌﾀｺﾞ,7010115,33
二日市,ﾌﾂｶｲﾁ,7100042,33
船穂町船穂,ﾌﾅｵﾁｮｳﾌﾅｵ,7100261,33
船穂町水江,ﾌﾅｵﾁｮｳﾐｽﾞｴ,7100262,33
船穂町柳井原,ﾌﾅｵﾁｮｳﾔﾅｲﾊﾗ,7100263,33
