another_name,another_name_kana,post_id,prefecture_id
,,0000000,34
青山町,ｱｵﾔﾏﾁｮｳ,7370023,34
阿賀中央,ｱｶﾞﾁｭｳｵｳ,7370003,34
阿賀南,ｱｶﾞﾐﾅﾐ,7370004,34
阿賀北,ｱｶﾞｷﾀ,7370001,34
阿賀町,ｱｶﾞﾏﾁ,7370005,34
朝日町,ｱｻﾋﾏﾁ,7370056,34
吾妻,ｱﾂﾞﾏ,7370076,34
内神町,ｳﾁｶﾞﾐﾁｮｳ,7370804,34
畝原町,ｳﾈﾊﾗﾁｮｳ,7370061,34
梅木町,ｳﾒｷﾁｮｳ,7370872,34
江原町,ｴﾊﾞﾗﾁｮｳ,7370807,34
大山町,ｵｵﾔﾏﾁｮｳ,7370878,34
押込,ｵｼｺﾞﾒ,7370915,34
押込西平町,ｵｼｺﾞﾒﾆｼﾋﾗﾁｮｳ,7370914,34
音戸町有清,ｵﾝﾄﾞﾁｮｳｱﾘｷﾖ,7371212,34
音戸町鰯浜,ｵﾝﾄﾞﾁｮｳｲﾜｼﾊﾏ,7371203,34
音戸町北隠渡,ｵﾝﾄﾞﾁｮｳｷﾀｵﾝﾄﾞ,7371204,34
音戸町先奥,ｵﾝﾄﾞﾁｮｳｻｷｵｸ,7371213,34
音戸町高須,ｵﾝﾄﾞﾁｮｳﾀｶｽ,7371206,34
音戸町田原,ｵﾝﾄﾞﾁｮｳﾀﾊﾗ,7371216,34
音戸町坪井,ｵﾝﾄﾞﾁｮｳﾂﾎﾞｲ,7371201,34
音戸町渡子,ｵﾝﾄﾞﾁｮｳﾄﾉｺ,7371217,34
音戸町畑,ｵﾝﾄﾞﾁｮｳﾊﾀ,7371211,34
音戸町波多見,ｵﾝﾄﾞﾁｮｳﾊﾀﾐ,7371207,34
音戸町早瀬,ｵﾝﾄﾞﾁｮｳﾊﾔｾ,7371215,34
音戸町引地,ｵﾝﾄﾞﾁｮｳﾋｷｼﾞ,7371202,34
音戸町藤脇,ｵﾝﾄﾞﾁｮｳﾌｼﾞﾉﾜｷ,7371214,34
音戸町南隠渡,ｵﾝﾄﾞﾁｮｳﾐﾅﾐｵﾝﾄﾞ,7371205,34
海岸,ｶｲｶﾞﾝ,7370823,34
蒲刈町大浦,ｶﾏｶﾞﾘﾁｮｳｵｵｳﾗ,7370402,34
蒲刈町田戸,ｶﾏｶﾞﾘﾁｮｳﾀﾄﾞ,7370403,34
蒲刈町宮盛,ｶﾏｶﾞﾘﾁｮｳﾐﾔｻﾞｶﾘ,7370401,34
蒲刈町向,ｶﾏｶﾞﾘﾁｮｳﾑｶｲ,7370311,34
上内神町,ｶﾐｳﾁｶﾞﾐﾁｮｳ,7370808,34
上長迫町,ｶﾐﾅｶﾞｻｺﾁｮｳ,7370031,34
上二河町,ｶﾐﾆｺｳﾁｮｳ,7370817,34
上畑町,ｶﾐﾊﾀﾁｮｳ,7370071,34
上平原町,ｶﾐﾋﾗﾊﾞﾗﾁｮｳ,7370079,34
上山田町,ｶﾐﾔﾏﾀﾞﾁｮｳ,7370054,34
狩留賀町,ｶﾙｶﾞﾁｮｳ,7370862,34
川尻町板休,ｶﾜｼﾞﾘﾁｮｳｲﾀﾔｽﾐ,7372631,34
川尻町岩戸,ｶﾜｼﾞﾘﾁｮｳｲﾜﾄﾞ,7372634,34
川尻町後懸,ｶﾜｼﾞﾘﾁｮｳｳｼﾛｶﾞｹ,7372637,34
川尻町大原,ｶﾜｼﾞﾘﾁｮｳｵｵﾊﾞﾗ,7372614,34
川尻町沖田,ｶﾜｼﾞﾘﾁｮｳｵｷﾀﾞ,7372633,34
川尻町上畑,ｶﾜｼﾞﾘﾁｮｳｶﾝﾊﾞﾀ,7372632,34
川尻町久筋,ｶﾜｼﾞﾘﾁｮｳｸｽｼﾞ,7372606,34
川尻町久俊,ｶﾜｼﾞﾘﾁｮｳｸﾄﾞｼ,7372605,34
川尻町小仁方,ｶﾜｼﾞﾘﾁｮｳｺﾆｶﾞﾀ,7372604,34
川尻町小畑,ｶﾜｼﾞﾘﾁｮｳｺﾊﾞﾀ,7372617,34
川尻町小用,ｶﾜｼﾞﾘﾁｮｳｺﾖｳ,7372608,34
川尻町才野谷,ｶﾜｼﾞﾘﾁｮｳｻｲﾉﾀﾆ,7372636,34
川尻町真光地,ｶﾜｼﾞﾘﾁｮｳｼﾝｺｳﾁ,7372615,34
川尻町西,ｶﾜｼﾞﾘﾁｮｳﾆｼ,7372603,34
川尻町野呂山,ｶﾜｼﾞﾘﾁｮｳﾉﾛｻﾝ,7372609,34
川尻町原山,ｶﾜｼﾞﾘﾁｮｳﾊﾗﾔﾏ,7372601,34
川尻町東,ｶﾜｼﾞﾘﾁｮｳﾋｶﾞｼ,7372607,34
