another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
愛国,ｱｲｺｸ,0850062,1
愛国東,ｱｲｺｸﾋｶﾞｼ,0850058,1
愛国西,ｱｲｺｸﾆｼ,0850057,1
青山,ｱｵﾔﾏ,0850252,1
暁町,ｱｶﾂｷﾁｮｳ,0850054,1
阿寒町阿寒湖温泉,ｱｶﾝﾁｮｳｱｶﾝｺｵﾝｾﾝ,0850467,1
阿寒町飽別,ｱｶﾝﾁｮｳｱｸﾍﾞﾂ,0850238,1
阿寒町旭町,ｱｶﾝﾁｮｳｱｻﾋﾏﾁ,0850212,1
阿寒町オクルシュベ,ｱｶﾝﾁｮｳｵｸﾙｼｭﾍﾞ,0850468,1
阿寒町上阿寒,ｱｶﾝﾁｮｳｶﾐｱｶﾝ,0850245,1
阿寒町上舌辛,ｱｶﾝﾁｮｳｶﾐｼﾀｶﾗ,0850221,1
阿寒町上徹別,ｱｶﾝﾁｮｳｶﾐﾃｼﾍﾞﾂ,0850235,1
阿寒町上仁々志別,ｱｶﾝﾁｮｳｶﾐﾆﾆｼﾍﾞﾂ,0850202,1
阿寒町北新町,ｱｶﾝﾁｮｳｷﾀｼﾝﾏﾁ,0850216,1
阿寒町北町,ｱｶﾝﾁｮｳｷﾀﾏﾁ,0850217,1
阿寒町紀ノ丘,ｱｶﾝﾁｮｳｷﾉｵｶ,0850244,1
阿寒町共和,ｱｶﾝﾁｮｳｷｮｳﾜ,0850206,1
阿寒町舌辛,ｱｶﾝﾁｮｳｼﾀｶﾗ,0850220,1
阿寒町下舌辛,ｱｶﾝﾁｮｳｼﾓｼﾀｶﾗ,0850211,1
阿寒町下徹別,ｱｶﾝﾁｮｳｼﾓﾃｼﾍﾞﾂ,0850231,1
阿寒町下仁々志別,ｱｶﾝﾁｮｳｼﾓﾆﾆｼﾍﾞﾂ,0850204,1
阿寒町下布伏内,ｱｶﾝﾁｮｳｼﾓﾌﾌﾞｼﾅｲ,0850223,1
阿寒町新町,ｱｶﾝﾁｮｳｼﾝﾏﾁ,0850218,1
阿寒町蘇牛,ｱｶﾝﾁｮｳｿｳｼ,0850234,1
阿寒町大正,ｱｶﾝﾁｮｳﾀｲｼｮｳ,0850232,1
阿寒町知茶布,ｱｶﾝﾁｮｳﾁﾁｬｯﾌﾟ,0850225,1
阿寒町中央,ｱｶﾝﾁｮｳﾁｭｳｵｳ,0850215,1
阿寒町徹別中央,ｱｶﾝﾁｮｳﾃｼﾍﾞﾂﾁｭｳｵｳ,0850237,1
阿寒町東栄,ｱｶﾝﾁｮｳﾄｳｴｲ,0850205,1
阿寒町中阿寒,ｱｶﾝﾁｮｳﾅｶｱｶﾝ,0850241,1
阿寒町中徹別,ｱｶﾝﾁｮｳﾅｶﾃｼﾍﾞﾂ,0850236,1
阿寒町中仁々志別,ｱｶﾝﾁｮｳﾅｶﾆﾆｼﾍﾞﾂ,0850203,1
阿寒町仲町,ｱｶﾝﾁｮｳﾅｶﾏﾁ,0850213,1
阿寒町西阿寒,ｱｶﾝﾁｮｳﾆｼｱｶﾝ,0850243,1
阿寒町西徹別,ｱｶﾝﾁｮｳﾆｼﾃｼﾍﾞﾂ,0850233,1
阿寒町仁々志別,ｱｶﾝﾁｮｳﾆﾆｼﾍﾞﾂ,0850201,1
阿寒町東舌辛,ｱｶﾝﾁｮｳﾋｶﾞｼｼﾀｶﾗ,0850242,1
阿寒町富士見,ｱｶﾝﾁｮｳﾌｼﾞﾐ,0850214,1
阿寒町布伏内,ｱｶﾝﾁｮｳﾌﾌﾞｼﾅｲ,0850222,1
阿寒町雄別横山,ｱｶﾝﾁｮｳﾕｳﾍﾞﾂﾖｺﾔﾏ,0850224,1
旭町,ｱｻﾋﾏﾁ,0850011,1
芦野,ｱｼﾉ,0850061,1
入江町,ｲﾘｴﾁｮｳ,0850008,1
入舟,ｲﾘﾌﾈ,0850846,1
浦見,ｳﾗﾐ,0850835,1
大川町,ｵｵｶﾜﾁｮｳ,0850837,1
大町,ｵｵﾏﾁ,0850847,1
興津,ｵｺﾂ,0850811,1
大楽毛,ｵﾀﾉｼｹ,0840917,1
大楽毛北,ｵﾀﾉｼｹｷﾀ,0840918,1
大楽毛西,ｵﾀﾉｼｹﾆｼ,0840916,1
大楽毛南,ｵﾀﾉｼｹﾐﾅﾐ,0840915,1
音別町あけぼの,ｵﾝﾍﾞﾂﾁｮｳｱｹﾎﾞﾉ,0880122,1
音別町朝日,ｵﾝﾍﾞﾂﾁｮｳｱｻﾋ,0880117,1
音別町音別原野基線,ｵﾝﾍﾞﾂﾁｮｳｵﾝﾍﾞﾂｹﾞﾝﾔｷｾﾝ,0000000,1
音別町音別原野基線二俣,ｵﾝﾍﾞﾂﾁｮｳｵﾝﾍﾞﾂｹﾞﾝﾔｷｾﾝﾌﾀﾏﾀ,0880104,1
音別町音別原野基線二俣川向,ｵﾝﾍﾞﾂﾁｮｳｵﾝﾍﾞﾂｹﾞﾝﾔｷｾﾝﾌﾀﾏﾀｶﾜﾑｶｲ,0880108,1
音別町音別原野西,ｵﾝﾍﾞﾂﾁｮｳｵﾝﾍﾞﾂｹﾞﾝﾔﾆｼ,0880126,1
音別町音別原野西川西,ｵﾝﾍﾞﾂﾁｮｳｵﾝﾍﾞﾂｹﾞﾝﾔﾆｼｶﾜﾆｼ,0880126,1
音別町音別原野東,ｵﾝﾍﾞﾂﾁｮｳｵﾝﾍﾞﾂｹﾞﾝﾔﾋｶﾞｼ,0880109,1
音別町海光,ｵﾝﾍﾞﾂﾁｮｳｶｲｺｳ,0880114,1
音別町川東,ｵﾝﾍﾞﾂﾁｮｳｶﾜﾋｶﾞｼ,0880123,1
音別町キナシ別,ｵﾝﾍﾞﾂﾁｮｳｷﾅｼﾍﾞﾂ,0880134,1
音別町共栄,ｵﾝﾍﾞﾂﾁｮｳｷｮｳｴｲ,0880125,1
音別町尺別,ｵﾝﾍﾞﾂﾁｮｳｼｬｸﾍﾞﾂ,0000000,1
音別町尺別岐線,ｵﾝﾍﾞﾂﾁｮｳｼｬｸﾍﾞﾂｷｾﾝ,0880132,1
音別町チヤンベツ,ｵﾝﾍﾞﾂﾁｮｳﾁｬﾝﾍﾞﾂ,0880107,1
音別町直別,ｵﾝﾍﾞﾂﾁｮｳﾁｮｸﾍﾞﾂ,0880135,1
音別町中音別,ｵﾝﾍﾞﾂﾁｮｳﾅｶｵﾝﾍﾞﾂ,0000000,1
音別町中音別光和,ｵﾝﾍﾞﾂﾁｮｳﾅｶｵﾝﾍﾞﾂｺｳﾜ,0880102,1
音別町中音別チノミ台,ｵﾝﾍﾞﾂﾁｮｳﾅｶｵﾝﾍﾞﾂﾁﾉﾐﾀﾞｲ,0880112,1
