another_name,another_name_kana,post_id,prefecture_id
,,0000000,26
相生町,ｱｲｵｲﾁｮｳ,6040004,26
秋野々町,ｱｷﾉﾉﾁｮｳ,6040847,26
朝倉町,ｱｻｸﾗﾁｮｳ,6048074,26
姉猪熊町,ｱﾈｲﾉｸﾏﾁｮｳ,6048324,26
姉大宮町東側,ｱﾈｵｵﾐﾔﾁｮｳﾋｶﾞｼｶﾞﾜ,6048326,26
姉大宮町西側,ｱﾈｵｵﾐﾔﾁｮｳﾆｼｶﾞﾜ,6048327,26
姉大東町,ｱﾈﾀﾞｲﾄｳﾁｮｳ,6048092,26
姉西町,ｱﾈﾆｼﾁｮｳ,6048372,26
姉西洞院町,ｱﾈﾆｼﾉﾄｳｲﾝﾁｮｳ,6048273,26
姉西堀川町,ｱﾈﾆｼﾎﾘｶﾜﾁｮｳ,6048264,26
姉東堀川町,ｱﾈﾋｶﾞｼﾎﾘｶﾜﾁｮｳ,6048263,26
油屋町,ｱﾌﾞﾗﾔﾁｮｳ,0000000,26
油屋町蛸薬師通麸屋町西入,ｲｹｽﾁｮｳ,6048063,26
油屋町蛸薬師通富小路東入,ｲｹﾓﾄﾁｮｳ,6048063,26
油屋町蛸薬師通富小路西入,ｲｼﾊﾞｼﾁｮｳ,6048063,26
油屋町蛸薬師通柳馬場東入,ｲｼﾔﾁｮｳ,6048063,26
油屋町富小路通蛸薬師上る,ｲｼﾔﾁｮｳﾏﾙﾀﾏﾁﾄﾞｵﾘﾃﾗﾏﾁﾆｼｲﾙ,6048063,26
油屋町富小路通蛸薬師下る,ｲｼﾔﾁｮｳﾏﾙﾀﾏﾁﾄﾞｵﾘｺﾞｺﾏﾁﾋｶﾞｼｲﾙ,6048063,26
油屋町柳馬場通姉小路下る,ｲｼﾔﾁｮｳｷﾔﾏﾁﾄﾞｵﾘｻﾝｼﾞｮｳｻｶﾞﾙ,6048103,26
油屋町柳馬場通三条上る,ｲｼﾔﾁｮｳﾎﾟﾝﾄﾁｮｳﾄﾞｵﾘｻﾝｼﾞｮｳｻｶﾞﾙ,6048103,26
油屋町姉小路通柳馬場東入,ｲｼﾔﾁｮｳｷﾔﾏﾁﾄﾞｵﾘｼｼﾞｮｳｱｶﾞﾙ,6048103,26
油屋町姉小路通柳馬場西入,ｲｽﾞﾐﾁｮｳ,6048103,26
池須町,ｲｾﾔﾁｮｳ,6048216,26
池元町,ｲﾁﾉﾁｮｳ,6048302,26
石橋町,ｲﾁﾉﾌﾅｲﾘﾁｮｳ,0000000,26
石橋町御池通小川西入,ｲﾁﾚﾝｼｬﾁｮｳ,6040043,26
石橋町御池通小川東入,ｲﾂﾞﾂﾔﾁｮｳ,6040043,26
石橋町御池通西洞院西入,ｲﾅﾊﾞﾁｮｳ,6040043,26
石橋町御池通油小路東入,ｲﾏｼﾝｻﾞｲｹﾋｶﾞｼﾁｮｳ,6040043,26
石橋町小川通御池下る,ｲﾏｼﾝｻﾞｲｹﾆｼﾁｮｳ,6040043,26
石橋町三条通河原町西入,ｲﾜｶﾞﾐﾁｮｳ,6048036,26
石橋町三条通寺町東入,ｳｵﾔﾁｮｳ,6048036,26
石橋町三条通新京極西入,ｳﾊﾞﾔﾅｷﾞﾁｮｳ,6048036,26
石橋町三条通新京極東入,ｳﾒﾀﾀﾞﾁｮｳ,6048036,26
石橋町寺町通三条下る,ｳﾒﾉｷﾁｮｳ,6048036,26
石橋町寺町通三条上る,ｳﾒﾔﾁｮｳ,6048036,26
石屋町,ｳﾒﾔﾁｮｳﾌﾔﾁｮｳﾄﾞｵﾘﾆｼｷｺｳｼﾞｱｶﾞﾙ,0000000,26
石屋町丸太町通寺町西入,ｳﾒﾔﾁｮｳﾌﾔﾁｮｳﾄﾞｵﾘﾀｺﾔｸｼｻｶﾞﾙ,6040996,26
石屋町丸太町通御幸町東入,ｳﾒﾔﾁｮｳｵｲｹﾄﾞｵﾘｶﾗｽﾏﾋｶﾞｼｲﾙ,6040996,26
石屋町木屋町通三条下る,ｳﾒﾔﾁｮｳｵｲｹﾄﾞｵﾘﾋｶﾞｼﾉﾄｳｲﾝﾆｼｲﾙ,6048002,26
石屋町先斗町通三条下る,ｳﾗﾃﾞﾔﾏﾁｮｳ,6048002,26
石屋町木屋町通四条上る,ｳﾗﾃﾞﾗﾁｮｳ,6048002,26
泉町,ｴｲﾗｸﾁｮｳ,6040015,26
伊勢屋町,ｴﾁｺﾞﾁｮｳ,6048066,26
市之町,ｴﾁｺﾞﾂｷﾇｹﾁｮｳ,6048305,26
一之船入町,ｴﾉｷﾁｮｳ,6040924,26
一蓮社町,ｴﾋﾞｽﾁｮｳ,6048146,26
