another_name,another_name_kana,post_id,prefecture_id
,,0000000,26
秋築町,ｱｷﾂｷﾁｮｳ,6068371,26
粟田口鳥居町,ｱﾜﾀｸﾞﾁﾄﾘｲﾁｮｳ,6068436,26
粟田口如意ケ嶽町,ｱﾜﾀｸﾞﾁﾆｮｲｶﾞﾀｹﾁｮｳ,6068452,26
粟田口山下町,ｱﾜﾀｸﾞﾁﾔﾏｼﾀﾁｮｳ,6068443,26
石原町,ｲｼﾜﾗﾁｮｳ,6068356,26
一乗寺青城町,ｲﾁｼﾞｮｳｼﾞｱｵｼﾞｮｳﾁｮｳ,6068121,26
一乗寺赤ノ宮町,ｲﾁｼﾞｮｳｼﾞｱｶﾉﾐﾔﾁｮｳ,6068182,26
一乗寺庵野町,ｲﾁｼﾞｮｳｼﾞｲｵﾘﾉﾁｮｳ,6068166,26
一乗寺稲荷町,ｲﾁｼﾞｮｳｼﾞｲﾅﾘﾁｮｳ,6068131,26
一乗寺梅ノ木町,ｲﾁｼﾞｮｳｼﾞｳﾒﾉｷﾁｮｳ,6068173,26
一乗寺大谷,ｲﾁｼﾞｮｳｼﾞｵｵﾀﾆ,6068158,26
一乗寺大原田町,ｲﾁｼﾞｮｳｼﾞｵｵﾊﾗﾀﾞﾁｮｳ,6068187,26
一乗寺月輪寺町,ｲﾁｼﾞｮｳｼﾞｶﾞﾂﾘﾝｼﾞﾁｮｳ,6068133,26
一乗寺河原田町,ｲﾁｼﾞｮｳｼﾞｶﾜﾊﾗﾀﾞﾁｮｳ,6068172,26
一乗寺北大丸町,ｲﾁｼﾞｮｳｼﾞｷﾀｵｵﾏﾙﾁｮｳ,6068114,26
一乗寺木ノ本町,ｲﾁｼﾞｮｳｼﾞｷﾉﾓﾄﾁｮｳ,6068161,26
一乗寺御祭田町,ｲﾁｼﾞｮｳｼﾞｺﾞｻｲﾃﾞﾝﾁｮｳ,6068162,26
一乗寺小谷町,ｲﾁｼﾞｮｳｼﾞｺﾀﾆﾁｮｳ,6068147,26
一乗寺才形町,ｲﾁｼﾞｮｳｼﾞｻｲｶﾀﾁｮｳ,6068157,26
一乗寺下リ松町,ｲﾁｼﾞｮｳｼﾞｻｶﾞﾘﾏﾂﾁｮｳ,6068152,26
一乗寺里ノ西町,ｲﾁｼﾞｮｳｼﾞｻﾄﾉﾆｼﾁｮｳ,6068115,26
一乗寺里ノ前町,ｲﾁｼﾞｮｳｼﾞｻﾄﾉﾏｴﾁｮｳ,6068117,26
一乗寺地蔵本町,ｲﾁｼﾞｮｳｼﾞｼﾞｿﾞｳﾓﾄﾁｮｳ,6068181,26
一乗寺清水町,ｲﾁｼﾞｮｳｼﾞｼﾐｽﾞﾁｮｳ,6068125,26
一乗寺釈迦堂町,ｲﾁｼﾞｮｳｼﾞｼｬｶﾄﾞｳﾁｮｳ,6068141,26
一乗寺染殿町,ｲﾁｼﾞｮｳｼﾞｿﾒﾄﾞﾉﾁｮｳ,6068174,26
一乗寺大新開町,ｲﾁｼﾞｮｳｼﾞﾀﾞｲｼﾝｶｲﾁｮｳ,6068183,26
一乗寺高槻町,ｲﾁｼﾞｮｳｼﾞﾀｶﾂｷﾁｮｳ,6068185,26
一乗寺竹ノ内町,ｲﾁｼﾞｮｳｼﾞﾀｹﾉｳﾁﾁｮｳ,6068134,26
一乗寺谷田町,ｲﾁｼﾞｮｳｼﾞﾀﾆﾀﾞﾁｮｳ,6068153,26
一乗寺塚本町,ｲﾁｼﾞｮｳｼﾞﾂｶﾓﾄﾁｮｳ,6068176,26
一乗寺築田町,ｲﾁｼﾞｮｳｼﾞﾂｸﾀﾞﾁｮｳ,6068175,26
一乗寺出口町,ｲﾁｼﾞｮｳｼﾞﾃﾞｸﾞﾁﾁｮｳ,6068164,26
一乗寺堂ノ前町,ｲﾁｼﾞｮｳｼﾞﾄﾞｳﾉﾏｴﾁｮｳ,6068144,26
一乗寺燈籠本町,ｲﾁｼﾞｮｳｼﾞﾄｳﾛｳﾓﾄﾁｮｳ,6068142,26
一乗寺中ノ田町,ｲﾁｼﾞｮｳｼﾞﾅｶﾉﾀﾞﾁｮｳ,6068163,26
一乗寺西浦畑町,ｲﾁｼﾞｮｳｼﾞﾆｼｳﾗﾊﾞﾀﾁｮｳ,6068127,26
一乗寺西杉ノ宮町,ｲﾁｼﾞｮｳｼﾞﾆｼｽｷﾞﾉﾐﾔﾁｮｳ,6068112,26
一乗寺西閉川原町,ｲﾁｼﾞｮｳｼﾞﾆｼﾄｼﾞｶﾜﾗﾁｮｳ,6068123,26
一乗寺西水干町,ｲﾁｼﾞｮｳｼﾞﾆｼﾐｽﾞﾎﾞｼﾁｮｳ,6068171,26
一乗寺野田町,ｲﾁｼﾞｮｳｼﾞﾉﾀﾞﾁｮｳ,6068165,26
一乗寺花ノ木町,ｲﾁｼﾞｮｳｼﾞﾊﾅﾉｷﾁｮｳ,6068151,26
一乗寺馬場町,ｲﾁｼﾞｮｳｼﾞﾊﾞﾊﾞﾁｮｳ,6068132,26
一乗寺葉山町,ｲﾁｼﾞｮｳｼﾞﾊﾔﾏﾁｮｳ,6068145,26
一乗寺払殿町,ｲﾁｼﾞｮｳｼﾞﾊﾗｲﾄﾉﾁｮｳ,6068184,26
一乗寺東浦町,ｲﾁｼﾞｮｳｼﾞﾋｶﾞｼｳﾗﾁｮｳ,6068136,26
一乗寺東杉ノ宮町,ｲﾁｼﾞｮｳｼﾞﾋｶﾞｼｽｷﾞﾉﾐﾔﾁｮｳ,6068113,26
一乗寺東閉川原町,ｲﾁｼﾞｮｳｼﾞﾋｶﾞｼﾄｼﾞｶﾜﾗﾁｮｳ,6068122,26
一乗寺東水干町,ｲﾁｼﾞｮｳｼﾞﾋｶﾞｼﾐｽﾞﾎﾞｼﾁｮｳ,6068177,26
一乗寺樋ノ口町,ｲﾁｼﾞｮｳｼﾞﾋﾉｸﾁﾁｮｳ,6068167,26
一乗寺堀ノ内町,ｲﾁｼﾞｮｳｼﾞﾎﾘﾉｳﾁﾁｮｳ,6068143,26
一乗寺松田町,ｲﾁｼﾞｮｳｼﾞﾏﾂﾀﾞﾁｮｳ,6068124,26
一乗寺松原町,ｲﾁｼﾞｮｳｼﾞﾏﾂﾊﾗﾁｮｳ,6068156,26
一乗寺水掛町,ｲﾁｼﾞｮｳｼﾞﾐｽﾞｶﾞｹﾁｮｳ,6068135,26
一乗寺南大丸町,ｲﾁｼﾞｮｳｼﾞﾐﾅﾐｵｵﾏﾙﾁｮｳ,6068186,26
一乗寺宮ノ東町,ｲﾁｼﾞｮｳｼﾞﾐﾔﾉﾋｶﾞｼﾁｮｳ,6068116,26
一乗寺向畑町,ｲﾁｼﾞｮｳｼﾞﾑｶｲﾊﾞﾀﾁｮｳ,6068126,26
一乗寺門口町,ｲﾁｼﾞｮｳｼﾞﾓﾝｸﾞﾁﾁｮｳ,6068154,26
一乗寺薬師堂町,ｲﾁｼﾞｮｳｼﾞﾔｸｼﾄﾞｳﾁｮｳ,6068155,26
一乗寺病ダレ,ｲﾁｼﾞｮｳｼﾞﾔﾏｲﾀﾞﾚ,6068146,26
岩倉上蔵町,ｲﾜｸﾗｱｸﾞﾗﾁｮｳ,0000000,26
岩倉大鷺町,ｲﾜｸﾗｵｵｻｷﾞﾁｮｳ,6060001,26
岩倉北池田町,ｲﾜｸﾗｷﾀｲｹﾀﾞﾁｮｳ,6060004,26
岩倉北桑原町,ｲﾜｸﾗｷﾀｸﾜﾊﾗﾁｮｳ,6060009,26
岩倉北平岡町,ｲﾜｸﾗｷﾀﾋﾗｵｶﾁｮｳ,6060029,26
岩倉北四ノ坪町,ｲﾜｸﾗｷﾀﾖﾝﾉﾂﾎﾞﾁｮｳ,6060010,26
岩倉木野町,ｲﾜｸﾗｷﾉﾁｮｳ,0000000,26
岩倉下在地町,ｲﾜｸﾗｼﾓｻﾞｲｼﾞﾁｮｳ,6060013,26
岩倉忠在地町,ｲﾜｸﾗﾁｭｳｻﾞｲｼﾞﾁｮｳ,6060021,26
岩倉中大鷺町,ｲﾜｸﾗﾅｶｵｵｻｷﾞﾁｮｳ,6060002,26
岩倉中河原町,ｲﾜｸﾗﾅｶｶﾜﾗﾁｮｳ,6060018,26
岩倉中在地町,ｲﾜｸﾗﾅｶｻﾞｲｼﾞﾁｮｳ,6060027,26
岩倉長谷町,ｲﾜｸﾗﾅｶﾞﾀﾆﾁｮｳ,6060026,26
岩倉中町,ｲﾜｸﾗﾅｶﾏﾁ,6060025,26
岩倉西河原町,ｲﾜｸﾗﾆｼｶﾞﾜﾗﾁｮｳ,6060014,26
岩倉西五田町,ｲﾜｸﾗﾆｼｺﾞﾀﾞﾁｮｳ,6060006,26
岩倉西宮田町,ｲﾜｸﾗﾆｼﾐﾔﾀﾁｮｳ,6060011,26
岩倉幡枝町,ｲﾜｸﾗﾊﾀｴﾀﾞﾁｮｳ,6060015,26
岩倉花園町,ｲﾜｸﾗﾊﾅｿﾞﾉﾁｮｳ,6060024,26
岩倉東五田町,ｲﾜｸﾗﾋｶﾞｼｺﾞﾀﾞﾁｮｳ,6060007,26
岩倉東宮田町,ｲﾜｸﾗﾋｶﾞｼﾐﾔﾀﾁｮｳ,6060012,26
岩倉三笠町,ｲﾜｸﾗﾐｶｻﾁｮｳ,6060008,26
岩倉南池田町,ｲﾜｸﾗﾐﾅﾐｲｹﾀﾞﾁｮｳ,6060005,26
岩倉南大鷺町,ｲﾜｸﾗﾐﾅﾐｵｵｻｷﾞﾁｮｳ,6060003,26
岩倉南河原町,ｲﾜｸﾗﾐﾅﾐｶﾜﾗﾁｮｳ,6060019,26
岩倉南木野町,ｲﾜｸﾗﾐﾅﾐｷﾉﾁｮｳ,6060028,26
岩倉南桑原町,ｲﾜｸﾗﾐﾅﾐｸﾜﾊﾗﾁｮｳ,6060031,26
岩倉南平岡町,ｲﾜｸﾗﾐﾅﾐﾋﾗｵｶﾁｮｳ,6060032,26
岩倉南三宅町,ｲﾜｸﾗﾐﾅﾐﾐﾔｹﾁｮｳ,6060023,26
岩倉南四ノ坪町,ｲﾜｸﾗﾐﾅﾐﾖﾝﾉﾂﾎﾞﾁｮｳ,6060033,26
岩倉三宅町,ｲﾜｸﾗﾐﾔｹﾁｮｳ,6060022,26
岩倉村松町,ｲﾜｸﾗﾑﾗﾏﾂﾁｮｳ,6060034,26
永観堂町,ｴｲｶﾝﾄﾞｳﾁｮｳ,6068445,26
永観堂西町,ｴｲｶﾝﾄﾞｳﾆｼﾏﾁ,6068433,26
大菊町,ｵｵｷｸﾁｮｳ,6068376,26
大原井出町,ｵｵﾊﾗｲﾃﾞﾁｮｳ,6011246,26
大原上野町,ｵｵﾊﾗｳｴﾉﾁｮｳ,6011244,26
大原大長瀬町,ｵｵﾊﾗｵｵﾅｶﾞｾﾁｮｳ,6011243,26
大原大見町,ｵｵﾊﾗｵｵﾐﾁｮｳ,6011232,26
大原尾越町,ｵｵﾊﾗｵｺﾞｾﾁｮｳ,6011231,26
大原草生町,ｵｵﾊﾗｸｻｵﾁｮｳ,6011248,26
大原古知平町,ｵｵﾊﾗｺﾁﾋﾗﾁｮｳ,6011235,26
大原小出石町,ｵｵﾊﾗｺﾃﾞｲｼﾁｮｳ,6011234,26
大原勝林院町,ｵｵﾊﾗｼｮｳﾘﾝｲﾝﾁｮｳ,6011241,26
大原戸寺町,ｵｵﾊﾗﾄﾃﾞﾗﾁｮｳ,6011245,26
大原野村町,ｵｵﾊﾗﾉﾑﾗﾁｮｳ,6011247,26
大原百井町,ｵｵﾊﾗﾓﾓｲﾁｮｳ,6011233,26
大原来迎院町,ｵｵﾊﾗﾗｲｺｳｲﾝﾁｮｳ,6011242,26
岡崎入江町,ｵｶｻﾞｷｲﾘｴﾁｮｳ,6068322,26
岡崎円勝寺町,ｵｶｻﾞｷｴﾝｼｮｳｼﾞﾁｮｳ,6068344,26
岡崎北御所町,ｵｶｻﾞｷｷﾀｺﾞｼｮﾁｮｳ,6068336,26
岡崎最勝寺町,ｵｶｻﾞｷｻｲｼｮｳｼﾞﾁｮｳ,6068342,26
岡崎真如堂前町,ｵｶｻﾞｷｼﾝﾆｮﾄﾞｳﾏｴﾁｮｳ,6068415,26
岡崎成勝寺町,ｵｶｻﾞｷｾｲｼｮｳｼﾞﾁｮｳ,6068343,26
岡崎天王町,ｵｶｻﾞｷﾃﾝﾉｳﾁｮｳ,6068335,26
岡崎徳成町,ｵｶｻﾞｷﾄｸｾｲﾁｮｳ,6068351,26
岡崎西天王町,ｵｶｻﾞｷﾆｼﾃﾝﾉｳﾁｮｳ,6068341,26
岡崎西福ノ川町,ｵｶｻﾞｷﾆｼﾌｸﾉｶﾜﾁｮｳ,6068326,26
岡崎東天王町,ｵｶｻﾞｷﾋｶﾞｼﾃﾝﾉｳﾁｮｳ,6068332,26
岡崎東福ノ川町,ｵｶｻﾞｷﾋｶﾞｼﾌｸﾉｶﾜﾁｮｳ,6068321,26
岡崎法勝寺町,ｵｶｻﾞｷﾎｳｼｮｳｼﾞﾁｮｳ,6068333,26
岡崎南御所町,ｵｶｻﾞｷﾐﾅﾐｺﾞｼｮﾁｮｳ,6068334,26
頭町,ｶｼﾗﾁｮｳ,6068354,26
上高野池ノ内町,ｶﾐﾀｶﾉｲｹﾉｳﾁﾁｮｳ,6060057,26
上高野石田町,ｶﾐﾀｶﾉｲｼﾀﾞﾁｮｳ,6060041,26
上高野市川町,ｶﾐﾀｶﾉｲﾁｶﾜﾁｮｳ,6060056,26
上高野稲荷町,ｶﾐﾀｶﾉｲﾅﾘﾁｮｳ,6060087,26
上高野植ノ町,ｶﾐﾀｶﾉｳｴﾉﾁｮｳ,6060088,26
上高野上畑町,ｶﾐﾀｶﾉｳｴﾊﾀﾁｮｳ,6060089,26
上高野大塚町,ｶﾐﾀｶﾉｵｵﾂｶﾁｮｳ,6060091,26
上高野大橋町,ｶﾐﾀｶﾉｵｵﾊｼﾁｮｳ,6060062,26
上高野大湯手町,ｶﾐﾀｶﾉｵｵﾕﾃﾞﾁｮｳ,6060048,26
上高野奥小森町,ｶﾐﾀｶﾉｵｸｺﾓﾘﾁｮｳ,6060077,26
上高野奥東野町,ｶﾐﾀｶﾉｵｸﾋｶﾞｼﾉﾁｮｳ,6060075,26
上高野小野町,ｶﾐﾀｶﾉｵﾉﾁｮｳ,6060058,26
上高野尾保地町,ｶﾐﾀｶﾉｵﾎﾁﾁｮｳ,6060055,26
上高野鐘突町,ｶﾐﾀｶﾉｶﾈﾂｷﾁｮｳ,6060084,26
上高野釜土町,ｶﾐﾀｶﾉｶﾏﾂﾁﾁｮｳ,6060073,26
上高野上荒蒔町,ｶﾐﾀｶﾉｶﾐｱﾗﾏｷﾁｮｳ,6060093,26
