another_name,another_name_kana,post_id,prefecture_id
,,0000000,10
青梨子町,ｱｵﾅｼﾏﾁ,3703573,10
青葉町,ｱｵﾊﾞﾁｮｳ,3710826,10
青柳町,ｱｵﾔｷﾞﾏﾁ,3710056,10
朝倉町,ｱｻｸﾗﾏﾁ,3710811,10
朝日が丘町,ｱｻﾋｶﾞｵｶﾏﾁ,3710832,10
朝日町,ｱｻﾋﾁｮｳ,3710014,10
天川大島町,ｱﾏｶﾞﾜｵｵｼﾏﾏﾁ,3792154,10
天川原町,ｱﾏｶﾞﾜﾊﾞﾗﾏﾁ,3710803,10
天川町,ｱﾏｶﾞﾜﾏﾁ,3710802,10
新井町,ｱﾗｲﾏﾁ,3792112,10
荒口町,ｱﾗｸﾁﾏﾁ,3792107,10
荒子町,ｱﾗｺﾏﾁ,3792106,10
荒牧町,ｱﾗﾏｷﾏﾁ,3710044,10
飯土井町,ｲｲﾄﾞｲﾏﾁ,3792111,10
池端町,ｲｹﾊﾀﾏﾁ,3703571,10
石倉町,ｲｼｸﾗﾏﾁ,3710841,10
石関町,ｲｼｾﾞｷﾏﾁ,3710006,10
泉沢町,ｲｽﾞﾐｻﾜﾏﾁ,3792101,10
市之関町,ｲﾁﾉｾｷﾏﾁ,3710245,10
今井町,ｲﾏｲﾏﾁ,3792116,10
岩神町,ｲﾜｶﾞﾐﾏﾁ,3710035,10
笂井町,ｳﾂﾎﾞｲﾏﾁ,3792115,10
江木町,ｴｷﾞﾏﾁ,3710002,10
江田町,ｴﾀﾞﾏﾁ,3710836,10
大胡町,ｵｵｺﾞﾏﾁ,3710223,10
大手町,ｵｵﾃﾏﾁ,3710026,10
大利根町,ｵｵﾄﾈﾏﾁ,3710825,10
大友町,ｵｵﾄﾞﾓﾏﾁ,3710847,10
大前田町,ｵｵﾏｴﾀﾏﾁ,3710243,10
大渡町,ｵｵﾜﾀﾘﾏﾁ,3710854,10
荻窪町,ｵｷﾞｸﾎﾞﾏﾁ,3710001,10
女屋町,ｵﾅﾔﾏﾁ,3792163,10
表町,ｵﾓﾃﾁｮｳ,3710024,10
柏倉町,ｶｼﾜｸﾞﾗﾏﾁ,3710246,10
粕川町新屋,ｶｽｶﾜﾏﾁｱﾗﾔ,3710206,10
粕川町稲里,ｶｽｶﾜﾏﾁｲﾅｻﾄ,3710207,10
粕川町女渕,ｶｽｶﾜﾏﾁｵﾅﾌﾞﾁ,3710214,10
粕川町上東田面,ｶｽｶﾜﾏﾁｶﾐﾋｶﾞｼﾀﾅﾎﾞ,3710211,10
粕川町込皆戸,ｶｽｶﾜﾏﾁｺﾐｶﾞｲﾄ,3710216,10
粕川町下東田面,ｶｽｶﾜﾏﾁｼﾓﾋｶﾞｼﾀﾅﾎﾞ,3710212,10
粕川町膳,ｶｽｶﾜﾏﾁｾﾞﾝ,3710204,10
粕川町月田,ｶｽｶﾜﾏﾁﾂｷﾀﾞ,3710203,10
粕川町中,ｶｽｶﾜﾏﾁﾅｶ,3710205,10
粕川町中之沢,ｶｽｶﾜﾏﾁﾅｶﾉｻﾜ,3710201,10
粕川町西田面,ｶｽｶﾜﾏﾁﾆｼﾀﾅﾎﾞ,3710217,10
粕川町一日市,ｶｽｶﾜﾏﾁﾋﾄｲﾁ,3710213,10
粕川町深津,ｶｽｶﾜﾏﾁﾌｶﾂﾞ,3710215,10
粕川町前皆戸,ｶｽｶﾜﾏﾁﾏｴｶﾞｲﾄ,3710218,10
粕川町室沢,ｶｽｶﾜﾏﾁﾑﾛｻﾜ,3710202,10
勝沢町,ｶﾂｻﾜﾏﾁ,3710124,10
金丸町,ｶﾅﾏﾙﾏﾁ,3710121,10
上青梨子町,ｶﾐｱｵﾅｼﾏﾁ,3703572,10
上泉町,ｶﾐｲｽﾞﾐﾏﾁ,3710007,10
上大島町,ｶﾐｵｵｼﾏﾏﾁ,3792153,10
上大屋町,ｶﾐｵｵﾔﾏﾁ,3710222,10
上沖町,ｶﾐｵｷﾏﾁ,3710052,10
上小出町,ｶﾐｺｲﾃﾞﾏﾁ,3710037,10
上佐鳥町,ｶﾐｻﾄﾞﾘﾏﾁ,3710816,10
上新田町,ｶﾐｼﾝﾃﾞﾝﾏﾁ,3710821,10
上長磯町,ｶﾐﾅｶﾞｲｿﾏﾁ,3792165,10
上細井町,ｶﾐﾎｿｲﾏﾁ,3710051,10
上増田町,ｶﾐﾏｽﾀﾞﾏﾁ,3792114,10
亀泉町,ｶﾒｲｽﾞﾐﾏﾁ,3710004,10
亀里町,ｶﾒｻﾄﾏﾁ,3792147,10
川端町,ｶﾜﾊﾞﾀﾏﾁ,3710041,10
川原町,ｶﾜﾊﾗﾏﾁ,3710046,10
川曲町,ｶﾜﾏｶﾞﾘﾏﾁ,3710823,10
河原浜町,ｶﾜﾗﾊﾏﾏﾁ,3710224,10
神沢の森,ｶﾝｻﾞﾜﾉﾓﾘ,3792103,10
北代田町,ｷﾀｼﾛﾀﾏﾁ,3710055,10
清野町,ｷﾖﾉﾏﾁ,3703574,10
公田町,ｸﾃﾞﾝﾏﾁ,3792146,10
小相木町,ｺｱｲｷﾞﾏﾁ,3710831,10
紅雲町,ｺｳｳﾝﾁｮｳ,3710025,10
幸塚町,ｺｳﾂﾞｶﾏﾁ,3710053,10
後閑町,ｺﾞｶﾝﾏﾁ,3710813,10
国領町,ｺｸﾘｮｳﾏﾁ,3710033,10
後家町,ｺﾞｹﾏﾁ,3710834,10
小坂子町,ｺｻﾞｶｼﾏﾁ,3710122,10
