another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
大江,ｵｵｴ,4210512,22
大沢,ｵｵｻﾜ,4210526,22
大寄,ｵｵﾖﾘ,4210506,22
男神,ｵｶﾐ,4210517,22
落居,ｵﾁｲ,4210531,22
笠名,ｶｻﾅ,4210535,22
片浜,ｶﾀﾊﾏ,4210511,22
勝田,ｶﾂﾀ,4210406,22
勝間,ｶﾂﾏ,4210402,22
勝俣,ｶﾂﾏﾀ,4210414,22
鬼女新田,ｷｼﾞｮｼﾝﾃﾞﾝ,4210525,22
切山,ｷﾘﾔﾏ,4210401,22
黒子,ｸﾛｺ,4210504,22
西山寺,ｻｲｻﾝｼﾞ,4210515,22
坂口,ｻｶｸﾞﾁ,4210411,22
坂部,ｻｶﾍﾞ,4210412,22
相良,ｻｶﾞﾗ,4210522,22
汐見台,ｼｵﾐﾀﾞｲ,4210527,22
静谷,ｼｽﾞﾀﾆ,4210404,22
静波,ｼｽﾞﾅﾐ,4210422,22
地頭方,ｼﾞﾄｳｶﾞﾀ,4210532,22
嶋,ｼﾏ,4210408,22
白井,ｼﾗｲ,0000000,22
新庄,ｼﾝｼｮｳ,4210533,22
菅ケ谷,ｽｹﾞｶﾞﾔ,4210514,22
須々木,ｽｽｷ,4210524,22
道場,ﾄﾞｳｼﾞｮｳ,4210415,22
中,ﾅｶ,4210403,22
中西,ﾅｶﾆｼ,4210505,22
西萩間,ﾆｼﾊｷﾞﾏ,4210508,22
仁田,ﾆﾀ,4210413,22
布引原,ﾇﾉﾋｷﾊﾗ,4210407,22
波津,ﾊﾂﾞ,4210523,22
東萩間,ﾋｶﾞｼﾊｷﾞﾏ,4210501,22
蛭ケ谷,ﾋﾙｶﾞﾔ,4210503,22
福岡,ﾌｸｵｶ,4210521,22
細江,ﾎｿｴ,4210421,22
堀野新田,ﾎﾘﾉｼﾝﾃﾞﾝ,4210534,22
牧之原,ﾏｷﾉﾊﾗ,0000000,22
松本,ﾏﾂﾓﾄ,4210513,22
女神,ﾒｶﾐ,4210516,22
和田,ﾜﾀﾞ,4210507,22
