another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
赤神,ｱｶｶﾞﾐ,0491643,1
朝日,ｱｻﾋ,0491517,1
愛宕,ｱﾀｺﾞ,0491504,1
荒谷,ｱﾗﾔ,0491523,1
江良,ｴﾗ,0491771,1
大磯,ｵｵｲｿ,0491503,1
大沢,ｵｵｻﾜ,0491522,1
大津,ｵｵﾂ,0491781,1
上川,ｶﾐｶﾜ,0491521,1
神山,ｶﾐﾔﾏ,0491761,1
唐津,ｶﾗﾂ,0491506,1
清部,ｷﾖﾍﾞ,0491783,1
小浜,ｺﾊﾏ,0491784,1
札前,ｻﾂﾏｴ,0491642,1
静浦,ｼｽﾞｳﾗ,0491644,1
白神,ｼﾗｶﾐ,0491524,1
白坂,ｼﾗｻｶ,0491763,1
神明,ｼﾝﾒｲ,0491513,1
高野,ﾀｶﾉ,0491782,1
建石,ﾀﾃｲｼ,0491501,1
館浜,ﾀﾃﾊﾏ,0491641,1
月島,ﾂｷｼﾏ,0491515,1
豊岡,ﾄﾖｵｶ,0491514,1
西館,ﾆｼﾀﾞﾃ,0491507,1
博多,ﾊｶﾀ,0491505,1
原口,ﾊﾗｸﾞﾁ,0491762,1
東山,ﾋｶﾞｼﾔﾏ,0491516,1
福山,ﾌｸﾔﾏ,0491512,1
二越,ﾌﾀｺﾞｴ,0491764,1
弁天,ﾍﾞﾝﾃﾝ,0491502,1
松城,ﾏﾂｼﾛ,0491511,1
茂草,ﾓｸﾞｻ,0491645,1
