another_name,another_name_kana,post_id,prefecture_id
,,0000000,38
愛光町,ｱｲｺｳﾁｮｳ,7900064,38
安居島,ｱｲｼﾞﾏ,7992433,38
会津町,ｱｲﾂﾞﾏﾁ,7918076,38
青波町,ｱｵﾅﾐﾏﾁ,7910124,38
青葉台,ｱｵﾊﾞﾀﾞｲ,7918019,38
浅海原,ｱｻﾅﾐﾊﾗ,7992401,38
浅海本谷,ｱｻﾅﾐﾎﾝﾀﾞﾆ,7992402,38
朝日ケ丘,ｱｻﾋｶﾞｵｶ,7918024,38
旭町,ｱｻﾋﾏﾁ,7900876,38
朝美,ｱｻﾐ,7918023,38
朝生田町,ｱｿﾀﾞﾏﾁ,7900952,38
天山,ｱﾏﾔﾏ,7900951,38
天山町,ｱﾏﾔﾏﾏﾁ,7900951,38
粟井河原,ｱﾜｲｶﾜﾗ,7992463,38
安城寺町,ｱﾝｼﾞｮｳｼﾞﾏﾁ,7918006,38
居相,ｲｱｲ,7900934,38
生石町,ｲｸｼﾏﾁ,7900051,38
石手,ｲｼﾃ,7900852,38
石手白石,ｲｼﾃｼﾗｲｼ,7900902,38
石風呂町,ｲｼﾌﾛﾏﾁ,7918084,38
泉町,ｲｽﾞﾐﾏﾁ,7900025,38
和泉南,ｲｽﾞﾐﾐﾅﾐ,7900941,38
磯河内,ｲｿｺｳﾁ,7992467,38
和泉北,ｲｽﾞﾐｷﾀ,7900038,38
市坪西町,ｲﾁﾂﾎﾞﾆｼﾏﾁ,7900948,38
市坪南,ｲﾁﾂﾎﾞﾐﾅﾐ,7900947,38
市坪北,ｲﾁﾂﾎﾞｷﾀ,7900946,38
一番町,ｲﾁﾊﾞﾝﾁｮｳ,7900001,38
井門町,ｲﾄﾞﾏﾁ,7911114,38
猪木,ｲﾉｷ,7992416,38
今在家,ｲﾏｻﾞｲｹ,7911106,38
今在家町,ｲﾏｻﾞｲｹﾏﾁ,7911103,38
祝谷,ｲﾜｲﾀﾞﾆ,7900833,38
祝谷東町,ｲﾜｲﾀﾞﾆﾋｶﾞｼﾏﾁ,7900835,38
祝谷西町,ｲﾜｲﾀﾞﾆﾆｼﾏﾁ,7900832,38
祝谷町,ｲﾜｲﾀﾞﾆﾏﾁ,7900834,38
岩崎町,ｲﾜｻｷﾏﾁ,7900854,38
院内,ｲﾝﾅｲ,7992423,38
上野町,ｳｴﾉﾏﾁ,7911136,38
牛谷,ｳｼﾀﾞﾆ,7992446,38
内浜町,ｳﾁﾊﾏﾁｮｳ,7918077,38
内宮町,ｳﾁﾐﾔﾁｮｳ,7992654,38
