another_name,another_name_kana,post_id,prefecture_id
,,0000000,36
阿野,ｱﾉ,0000000,36
阿野石堂,ｱﾉｲｼﾄﾞｳ,7713202,36
阿野井ノ谷,ｱﾉｲﾉﾀﾆ,7713202,36
阿野宇度木,ｱﾉｳﾄｷﾞ,7713202,36
阿野上河内,ｱﾉｶﾐｺﾞｳﾁ,7713202,36
阿野川平,ｱﾉｶﾜﾋﾗ,7713202,36
阿野黒木,ｱﾉｸﾛｷﾞ,7713202,36
阿野駒坂,ｱﾉｺﾏｻｶ,7713202,36
阿野地ノ平,ｱﾉｼﾞﾉﾀｲﾗ,7713202,36
阿野神木,ｱﾉｼﾞﾝｷﾞ,7713202,36
阿野須賀,ｱﾉｽｶﾞ,7713202,36
阿野長瀬,ｱﾉﾅｶﾞｾ,7713202,36
阿野長代,ｱﾉﾅｶﾞﾀｲ,7713202,36
阿野二ノ宮,ｱﾉﾆﾉﾐﾔ,7713202,36
阿野日浦,ｱﾉﾋｳﾗ,7713202,36
阿野東代次,ｱﾉﾋｶﾞｼﾖﾂｷﾞ,7713202,36
阿野広石,ｱﾉﾋﾛｲｼ,7713202,36
阿野福原,ｱﾉﾌｸﾊﾗ,7713202,36
阿野府中,ｱﾉﾌﾁｭｳ,7713202,36
阿野船底,ｱﾉﾌﾅｿﾞｺ,7713202,36
阿野本名,ｱﾉﾎﾝﾐｮｳ,7713202,36
阿野松尾,ｱﾉﾏﾂｵ,7713202,36
阿野宮分,ｱﾉﾐﾔﾌﾞﾝ,7713202,36
阿野屋那瀬,ｱﾉﾔﾅｾﾞ,7713202,36
阿野代次,ｱﾉﾖﾂｷﾞ,7713202,36
鬼籠野,ｵﾛﾉ,7713203,36
上分,ｶﾐﾌﾞﾝ,7713422,36
下分,ｼﾓﾌﾞﾝ,7713421,36
神領,ｼﾞﾝﾘｮｳ,0000000,36
神領石堂,ｼﾞﾝﾘｮｳｲｼﾄﾞｳ,7713311,36
神領川北,ｼﾞﾝﾘｮｳｶﾜｷﾀ,7713311,36
神領北,ｼﾞﾝﾘｮｳｷﾀ,7713311,36
神領谷,ｼﾞﾝﾘｮｳﾀﾆ,7713311,36
神領東野間,ｼﾞﾝﾘｮｳﾋｶﾞｼﾉﾏ,7713311,36
神領西野間,ｼﾞﾝﾘｮｳﾆｼﾉﾏ,7713311,36
神領本野間,ｼﾞﾝﾘｮｳﾎﾝﾉﾏ,7713311,36
