another_name,another_name_kana,post_id,prefecture_id
,,0000000,34
青葉台,ｱｵﾊﾞﾀﾞｲ,7230047,34
旭町,ｱｻﾋﾏﾁ,7230012,34
糸崎,ｲﾄｻｷ,7290324,34
糸崎南,ｲﾄｻｷﾐﾅﾐ,7290329,34
円一町,ｴﾝｲﾁﾁｮｳ,7230015,34
大畑町,ｵｵﾊﾀﾁｮｳ,7230066,34
沖浦町,ｵｷｳﾗﾁｮｳ,7230033,34
奥野山町,ｵｸﾉﾔﾏﾁｮｳ,7290322,34
小坂町,ｵｻｶﾁｮｳ,7230131,34
貝野町,ｶｲﾉﾁｮｳ,7230043,34
学園町,ｶﾞｸｴﾝﾁｮｳ,7230053,34
木原,ｷﾊﾗ,7290321,34
木原町,ｷﾊﾗﾁｮｳ,7290321,34
久井町莇原,ｸｲﾁｮｳｱｿﾞｳﾊﾞﾗ,7221301,34
久井町泉,ｸｲﾁｮｳｲｽﾞﾐ,7221411,34
久井町江木,ｸｲﾁｮｳｴｷﾞ,7221304,34
久井町小林,ｸｲﾁｮｳｺﾊﾞﾔｼ,7221417,34
久井町坂井原,ｸｲﾁｮｳｻｶｲﾊﾞﾗ,7221414,34
久井町下津,ｸｲﾁｮｳｼﾓﾂ,7221303,34
久井町土取,ｸｲﾁｮｳﾂﾁﾄﾘ,7221415,34
久井町羽倉,ｸｲﾁｮｳﾊｸﾞﾗ,7221413,34
久井町山中野,ｸｲﾁｮｳﾔﾏﾅｶﾉ,7221416,34
久井町吉田,ｸｲﾁｮｳﾖｼﾀﾞ,7221302,34
久井町和草,ｸｲﾁｮｳﾜｿｳ,7221412,34
小泉町,ｺｲｽﾞﾐﾁｮｳ,7292361,34
古浜,ｺﾊﾏ,7230013,34
駒ケ原町,ｺﾏｶﾞﾊﾗﾁｮｳ,7230006,34
幸崎久和喜,ｻｲｻﾞｷｸﾜｷ,7292251,34
幸崎能地,ｻｲｻﾞｷﾉｳｼﾞ,7292252,34
幸崎渡瀬,ｻｲｻﾞｷﾜﾀｾ,7292253,34
幸崎町久和喜,ｻｲｻﾞｷﾁｮｳｸﾜｷ,7292251,34
幸崎町能地,ｻｲｻﾞｷﾁｮｳﾉｳｼﾞ,7292252,34
幸崎町渡瀬,ｻｲｻﾞｷﾁｮｳﾜﾀｾ,7292253,34
鷺浦町須波,ｻｷﾞｳﾗﾁｮｳｽﾅﾐ,7230021,34
鷺浦町向田野浦,ｻｷﾞｳﾗﾁｮｳﾑｺｳﾀﾉｳﾗ,7230022,34
