another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
小代区秋岡,ｵｼﾞﾛｸｱｷｵｶ,6671533,28
小代区石寺,ｵｼﾞﾛｸｲｼﾃﾞﾗ,6671512,28
小代区大谷,ｵｼﾞﾛｸｵｵﾀﾆ,6671503,28
小代区鍛治屋,ｵｼﾞﾛｸｶｼﾞﾔ,6671542,28
小代区茅野,ｵｼﾞﾛｸｶﾔﾉ,6671531,28
小代区神水,ｵｼﾞﾛｸｶﾝｽﾞｲ,6671511,28
小代区神場,ｵｼﾞﾛｸｶﾝﾊﾞ,6671514,28
小代区久須部,ｵｼﾞﾛｸｸｽﾍﾞ,6671501,28
小代区実山,ｵｼﾞﾛｸｻﾈﾔﾏ,6671522,28
小代区佐坊,ｵｼﾞﾛｸｻﾎﾞｳ,6671541,28
小代区城山,ｵｼﾞﾛｸｼﾞｮｳﾔﾏ,6671502,28
小代区忠宮,ｵｼﾞﾛｸﾀﾀﾞﾉﾐﾔ,6671543,28
小代区新屋,ｵｼﾞﾛｸﾆｲﾔ,6671532,28
小代区貫田,ｵｼﾞﾛｸﾇｷﾀﾞ,6671544,28
小代区野間谷,ｵｼﾞﾛｸﾉﾏﾀﾆ,6671521,28
小代区東垣,ｵｼﾞﾛｸﾋｶﾞｼｶﾞｷ,6671545,28
小代区平野,ｵｼﾞﾛｸﾋﾗﾉ,6671523,28
小代区広井,ｵｼﾞﾛｸﾋﾛｲ,6671513,28
小代区水間,ｵｼﾞﾛｸﾐｽﾞﾏ,6671515,28
香住区相谷,ｶｽﾐｸｱｲﾀﾞﾆ,6696404,28
香住区上計,ｶｽﾐｸｱｹﾞ,6696432,28
香住区余部,ｶｽﾐｸｱﾏﾙﾍﾞ,6696671,28
香住区浦上,ｶｽﾐｸｳﾗｶﾞﾐ,6696431,28
香住区大梶,ｶｽﾐｸｵｵｶｼﾞ,6696425,28
香住区大谷,ｶｽﾐｸｵｵﾀﾞﾆ,6696554,28
香住区大野,ｶｽﾐｸｵｵﾉ,6696555,28
香住区沖浦,ｶｽﾐｸｵｷﾉｳﾗ,6696433,28
香住区加鹿野,ｶｽﾐｸｶｼﾞｶﾉ,6696552,28
香住区香住,ｶｽﾐｸｶｽﾐ,6696544,28
香住区上岡,ｶｽﾐｸｶﾐｵｶ,6696414,28
香住区九斗,ｶｽﾐｸｸﾄ,6696411,28
香住区訓谷,ｶｽﾐｸｸﾝﾀﾞﾆ,6696402,28
香住区小原,ｶｽﾐｸｺﾊﾞﾗ,6696559,28
香住区境,ｶｽﾐｸｻｶｲ,6696541,28
香住区下岡,ｶｽﾐｸｼﾓｵｶ,6696413,28
香住区下浜,ｶｽﾐｸｼﾓﾉﾊﾏ,6696564,28
香住区守柄,ｶｽﾐｸｽｶﾗ,6696551,28
香住区中野,ｶｽﾐｸﾅｶﾉ,6696556,28
香住区七日市,ｶｽﾐｸﾅﾇｶｲﾁ,6696546,28
香住区丹生地,ｶｽﾐｸﾆｳｼﾞ,6696416,28
香住区西下岡,ｶｽﾐｸﾆｼｼﾓｵｶ,6696415,28
香住区畑,ｶｽﾐｸﾊﾀ,6696423,28
香住区土生,ｶｽﾐｸﾊﾌﾞ,6696422,28
