another_name,another_name_kana,post_id,prefecture_id
,,0000000,36
一宇,ｲﾁｳ,0000000,36
一宇赤松,ｲﾁｳｱｶﾏﾂ,7794302,36
一宇寺地,ｲﾁｳﾃﾗｼﾞ,7794302,36
一宇出羽,ｲﾁｳｲｽﾞﾘﾊ,7794305,36
一宇臼木,ｲﾁｳｳｽｷ,7794305,36
一宇漆日浦,ｲﾁｳｳﾙｼﾋﾞｳﾗ,7794305,36
一宇大屋内,ｲﾁｳｵｵﾔｳﾁ,7794305,36
一宇白井,ｲﾁｳｼﾛｲ,7794305,36
一宇平,ｲﾁｳﾀｲﾗ,7794305,36
一宇明谷,ｲﾁｳﾐｮｳﾀﾞﾆ,7794305,36
一宇蔭,ｲﾁｳｶｹﾞ,7794301,36
一宇樫地,ｲﾁｳｶｼｼﾞ,7794301,36
一宇剪宇,ｲﾁｳｷﾘｳ,7794301,36
一宇太刀之本,ｲﾁｳﾀﾁﾉﾓﾄ,7794301,36
一宇伊良原,ｲﾁｳｲﾗﾊﾗ,7794304,36
一宇大野,ｲﾁｳｵｵﾉ,7794304,36
一宇九藤中,ｲﾁｳｸﾄﾞｳｼﾞｭｳ,7794304,36
一宇子安,ｲﾁｳｺﾔｽ,7794304,36
一宇久藪,ｲﾁｳﾋｻﾔﾌﾞ,7794304,36
一宇漆野瀬,ｲﾁｳｳﾙｼﾉｾ,7794306,36
一宇河内,ｲﾁｳｶﾜﾁ,7794306,36
一宇桑平,ｲﾁｳｸﾜﾀﾞｲﾗ,7794306,36
一宇葛籠,ｲﾁｳﾂﾂﾞﾛ,7794306,36
一宇平井,ｲﾁｳﾋﾗｲ,7794306,36
一宇廣澤,ｲﾁｳﾋﾛｻﾜ,7794306,36
一宇法正,ｲﾁｳﾎｳｼｮｳ,7794306,36
一宇大佐古,ｲﾁｳｵｵｻﾞｺ,7794307,36
一宇奥大野,ｲﾁｳｵｸｵｵﾉ,7794307,36
一宇川又,ｲﾁｳｶﾜﾏﾀ,7794307,36
一宇實平,ｲﾁｳｻﾈﾋﾗ,7794307,36
一宇中野,ｲﾁｳﾅｶﾉ,7794307,36
一宇大横,ｲﾁｳｵｵﾖｺ,7794303,36
一宇木地屋,ｲﾁｳｷｼﾞﾔ,7794303,36
一宇切越,ｲﾁｳｷﾘｺｼ,7794303,36
一宇十家,ｲﾁｳﾄｲｴ,7794303,36
一宇中横,ｲﾁｳﾅｶﾖｺ,7794303,36
貞光,ｻﾀﾞﾐﾂ,0000000,36
貞光馬出,ｻﾀﾞﾐﾂｳﾏﾀﾞｼ,7794101,36
貞光大須賀,ｻﾀﾞﾐﾂｵｵｽｶ,7794101,36
貞光中須賀,ｻﾀﾞﾐﾂﾅｶｽｶ,7794101,36
貞光西浦,ｻﾀﾞﾐﾂﾆｼｳﾗ,7794101,36
貞光東浦,ｻﾀﾞﾐﾂﾋｶﾞｼｳﾗ,7794101,36
貞光町,ｻﾀﾞﾐﾂﾏﾁ,7794101,36
貞光宮下,ｻﾀﾞﾐﾂﾐﾔｼﾀ,7794101,36
貞光浦山,ｻﾀﾞﾐﾂｳﾗﾔﾏ,7794105,36
貞光乙部,ｻﾀﾞﾐﾂｵﾄﾍﾞ,7794105,36
貞光皆瀬,ｻﾀﾞﾐﾂｶｲｾﾞ,7794105,36
貞光竹屋敷,ｻﾀﾞﾐﾂﾀｹﾔｼｷ,7794105,36
貞光長谷,ｻﾀﾞﾐﾂﾅｶﾞﾀﾆ,7794105,36
貞光西丸井,ｻﾀﾞﾐﾂﾆｼﾏﾙｲ,7794105,36
貞光引地,ｻﾀﾞﾐﾂﾋｷﾁ,7794105,36
貞光宅熊,ｻﾀﾞﾐﾂﾔｹｸﾞﾏ,7794105,36
貞光江ノ脇,ｻﾀﾞﾐﾂｴﾉﾜｷ,7794103,36
貞光岡,ｻﾀﾞﾐﾂｵｶ,7794103,36
貞光せせらぎ,ｻﾀﾞﾐﾂｾｾﾗｷﾞ,7794103,36
貞光宮内,ｻﾀﾞﾐﾂﾐﾔｳﾁ,7794103,36
貞光大久保,ｻﾀﾞﾐﾂｵｵｸﾎﾞ,7794106,36
貞光皆瀬川向,ｻﾀﾞﾐﾂｶｲｾﾞｶﾜﾑｶｲ,7794106,36
貞光捨子谷南,ｻﾀﾞﾐﾂｽﾂｺﾀﾆﾐﾅﾐ,7794106,36
貞光捨子谷北,ｻﾀﾞﾐﾂｽﾂｺﾀﾆｷﾀ,7794106,36
貞光谷向,ｻﾀﾞﾐﾂﾀﾆﾑｶｲ,7794106,36
貞光中山,ｻﾀﾞﾐﾂﾅｶﾔﾏ,7794106,36
貞光西谷,ｻﾀﾞﾐﾂﾆｼﾀﾆ,7794106,36
貞光白村,ｻﾀﾞﾐﾂｼﾗﾑﾗ,7794106,36
貞光太田西,ｻﾀﾞﾐﾂｵｵﾀﾆｼ,7794104,36
貞光太田東,ｻﾀﾞﾐﾂｵｵﾀﾋｶﾞｼ,7794104,36
貞光太田東山,ｻﾀﾞﾐﾂｵｵﾀﾋｶﾞｼﾔﾏ,7794104,36
貞光小長谷,ｻﾀﾞﾐﾂｺﾊﾞｾ,7794104,36
貞光小山北,ｻﾀﾞﾐﾂｺﾔﾏｷﾀ,7794104,36
貞光柴内,ｻﾀﾞﾐﾂｼﾊﾞｳﾁ,7794104,36
貞光柴山,ｻﾀﾞﾐﾂｼﾊﾞﾔﾏ,7794104,36
貞光僧地,ｻﾀﾞﾐﾂｿｳﾁ,7794104,36
貞光僧山,ｻﾀﾞﾐﾂｿｳﾔﾏ,7794104,36
貞光川見,ｻﾀﾞﾐﾂｶﾜﾐ,7794108,36
貞光川見津,ｻﾀﾞﾐﾂｶﾜﾐﾂ,7794108,36
貞光川見西,ｻﾀﾞﾐﾂｶﾜﾐﾆｼ,7794108,36
貞光長瀬,ｻﾀﾞﾐﾂﾅｶﾞｾ,7794108,36
貞光日浦川向,ｻﾀﾞﾐﾂﾋｳﾗｶﾜﾑｶｲ,7794108,36
貞光東丸井,ｻﾀﾞﾐﾂﾋｶﾞｼﾏﾙｲ,7794108,36
貞光三木枋,ｻﾀﾞﾐﾂﾐｷﾄﾞﾁ,7794108,36
貞光森ノ本,ｻﾀﾞﾐﾂﾓﾘﾉﾓﾄ,7794108,36
貞光吉良,ｻﾀﾞﾐﾂｷﾗ,7794109,36
貞光木屋,ｻﾀﾞﾐﾂｺﾔ,7794109,36
貞光猿飼,ｻﾀﾞﾐﾂｻﾙｶｲ,7794109,36
貞光成谷,ｻﾀﾞﾐﾂﾅﾙﾀﾆ,7794109,36
貞光日浦,ｻﾀﾞﾐﾂﾋｳﾗ,7794109,36
貞光宮平,ｻﾀﾞﾐﾂﾐﾔﾀﾞｲﾗ,7794109,36
貞光横野,ｻﾀﾞﾐﾂﾖｺﾉ,7794109,36
貞光家賀道上,ｻﾀﾞﾐﾂｹｶﾐﾁｳｴ,7794107,36
貞光家賀道下,ｻﾀﾞﾐﾂｹｶﾐﾁｼﾀ,7794107,36
貞光平野,ｻﾀﾞﾐﾂﾀｲﾗﾉ,7794107,36
貞光長木,ｻﾀﾞﾐﾂﾅｶﾞｷ,7794107,36
貞光長木影,ｻﾀﾞﾐﾂﾅｶﾞｷｶｹﾞ,7794107,36
貞光広谷,ｻﾀﾞﾐﾂﾋﾛﾀﾆ,7794107,36
貞光広谷影,ｻﾀﾞﾐﾂﾋﾛﾀﾆｶｹﾞ,7794107,36
貞光広谷東,ｻﾀﾞﾐﾂﾋﾛﾀﾆﾋｶﾞｼ,7794107,36
貞光大坊,ｻﾀﾞﾐﾂﾀﾞｲﾎﾞｳ,7794102,36
貞光辻,ｻﾀﾞﾐﾂﾂｼﾞ,7794102,36
貞光西山,ｻﾀﾞﾐﾂﾆｼﾔﾏ,7794102,36
貞光野口,ｻﾀﾞﾐﾂﾉｸﾞﾁ,7794102,36
貞光平石,ｻﾀﾞﾐﾂﾋﾗｲｼ,7794102,36
貞光別所,ｻﾀﾞﾐﾂﾍﾞｯｼｮ,7794102,36
貞光前田,ｻﾀﾞﾐﾂﾏｴﾀﾞ,7794102,36
半田,ﾊﾝﾀﾞ,0000000,36
半田青野,ﾊﾝﾀﾞｱｵﾉ,7794404,36
半田折坂,ﾊﾝﾀﾞｵﾘｻｶ,7794404,36
半田小井野,ﾊﾝﾀﾞｺｲﾉ,7794404,36
