another_name,another_name_kana,post_id,prefecture_id
,,0000000,7
合川,ｱｲｶﾜ,9695333,7
荒石,ｱﾗｲｼ,9695315,7
澳田,ｲｸﾀ,9695331,7
石井,ｲｼｲ,9695316,7
磯上,ｲｿｶﾞﾐ,9695318,7
栄富,ｴｲﾄﾐ,9695326,7
枝松,ｴﾀﾞﾏﾂ,9695202,7
大内,ｵｵｳﾁ,9695207,7
大沢,ｵｵｻﾜ,9695205,7
大松川,ｵｵﾏﾂｶﾜ,9695334,7
落合,ｵﾁｱｲ,9695343,7
音金,ｵﾄｶﾈ,9695342,7
小沼崎,ｵﾇﾏｻﾞｷ,9695208,7
桑取火,ｸﾜﾄﾋﾞ,9695323,7
沢口,ｻﾜｸﾞﾁ,9695321,7
沢田,ｻﾜﾀﾞ,9695344,7
塩生,ｼｵﾉｳ,9695345,7
志源行,ｼｹﾞﾝｷﾞｮｳ,9695317,7
白岩,ｼﾗｲﾜ,9695203,7
高陦,ﾀｶｼﾏ,9695201,7
戸赤,ﾄｱｶ,9695312,7
豊成,ﾄﾖﾅﾘ,9695311,7
中妻,ﾅｶﾂﾞﾏ,9695332,7
中山,ﾅｶﾔﾏ,9695325,7
南倉沢,ﾅｸﾞﾗｻﾜ,9695335,7
野際新田,ﾉｷﾞﾜｼﾝﾃﾞﾝ,9695341,7
原,ﾊﾗ,9695313,7
日影,ﾋｶｹﾞ,9695314,7
弥五島,ﾔｺﾞｼﾏ,9695204,7
安張,ﾔｽﾊﾘ,9695324,7
湯野上,ﾕﾉｶﾐ,9695206,7
領毛,ﾘｮｳｹﾞ,9695322,7
