another_name,another_name_kana,post_id,prefecture_id
,,0000000,5
石田六ケ村堰添,ｲｼﾀﾞﾛｯｶｿﾝｾｷｿﾞｲ,0181704,5
稲荷前,ｲﾅﾘﾏｴ,0181743,5
内川浅見内,ｳﾁｶﾜｱｻﾐﾅｲ,0181851,5
内川小倉,ｳﾁｶﾜｵｸﾞﾗ,0181857,5
内川黒土,ｳﾁｶﾜｸﾛﾂﾁ,0181854,5
内川湯ノ又,ｳﾁｶﾜﾕﾉﾏﾀ,0181852,5
鵜ノ木,ｳﾉｷ,0181722,5
浦大町,ｳﾗｵｵﾏﾁ,0181741,5
浦横町,ｳﾗﾖｺﾏﾁ,0181742,5
上町,ｳﾜﾏﾁ,0181705,5
大川石崎,ｵｵｶﾜｲｼｻﾞｷ,0181731,5
大川大川,ｵｵｶﾜｵｵｶﾜ,0181734,5
大川下樋口,ｵｵｶﾜｼﾓﾄﾖｸﾞﾁ,0181735,5
大川西野,ｵｵｶﾜﾆｼﾉ,0181732,5
大川谷地中,ｵｵｶﾜﾔﾁﾅｶ,0181733,5
上樋口,ｶﾐﾋｸﾞﾁ,0181723,5
川崎,ｶﾜｻｷ,0181745,5
久保,ｸﾎﾞ,0181712,5
小池,ｺｲｹ,0181746,5
下タ町,ｼﾀﾏﾁ,0181706,5
神明前,ｼﾝﾒｲﾏｴ,0181744,5
杉ケ崎,ｽｷﾞｶﾞｻｷ,0181702,5
高崎,ﾀｶｻｷ,0181711,5
舘越,ﾀﾃｺﾞｼ,0181714,5
兎品沢,ﾄﾋﾝｻﾞﾜ,0181701,5
七倉,ﾅﾅｸﾗ,0181721,5
西磯ノ目,ﾆｼｲｿﾉﾒ,0181725,5
野田,ﾉﾀﾞ,0181747,5
羽黒前,ﾊｸﾞﾛﾏｴ,0181703,5
馬場目,ﾊﾞﾊﾞﾒ,0181713,5
東磯ノ目,ﾋｶﾞｼｲｿﾉﾒ,0181724,5
富津内下山内,ﾌﾂﾅｲｼﾓｻﾝﾅｲ,0181856,5
富津内富田,ﾌﾂﾅｲﾄﾐﾀ,0181855,5
富津内中津又,ﾌﾂﾅｲﾅｶﾂﾏﾀ,0181853,5
