another_name,another_name_kana,post_id,prefecture_id
,,0000000,5
家の後,ｲｴﾉｳｼﾛ,0181621,5
イカリ,ｲｶﾘ,0181617,5
浦大町,ｳﾗｵｵﾏﾁ,0181602,5
大道,ｵｵﾐﾁ,0181616,5
押切,ｵｼｷﾘ,0181627,5
蒲沼,ｶﾞﾏﾇﾏ,0181615,5
上沖谷地,ｶﾐｵｷﾔﾁ,0181611,5
上昼根,ｶﾐﾋﾙﾈ,0181613,5
川口,ｶﾜｸﾞﾁ,0181618,5
川崎,ｶﾜｻｷ,0181605,5
久保見,ｸﾎﾞﾐ,0181625,5
小池,ｺｲｹ,0181603,5
島ノ内,ｼﾏﾉｳﾁ,0181628,5
下川原,ｼﾓｶﾜﾗ,0181623,5
洲先,ｽｻｷ,0181635,5
中久保,ﾅｶｸﾎﾞ,0181624,5
中嶋,ﾅｶｼﾞﾏ,0181629,5
中田,ﾅｶﾀﾞ,0181614,5
中谷地,ﾅｶﾔﾁ,0181633,5
長沼,ﾅｶﾞﾇﾏ,0181632,5
軒嶋,ﾉｷｼﾏ,0181634,5
野田,ﾉﾀﾞ,0181604,5
八幡沼,ﾊﾁﾏﾇﾏ,0181631,5
一日市,ﾋﾄｲﾁ,0181622,5
昼根下,ﾋﾙﾈｼﾀ,0181612,5
細川,ﾎｿｶﾜ,0181626,5
真坂,ﾏｻｶ,0181601,5
夜叉袋,ﾔｼｬﾌｸﾛ,0181606,5
