another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
雨坪,ｱﾏﾂﾎﾞ,2500134,14
飯沢,ｲｲｻﾞﾜ,2500122,14
生駒,ｲｺﾏ,2500124,14
岩原,ｲﾜﾊﾗ,2500113,14
内山,ｳﾁﾔﾏ,2500131,14
狩野,ｶﾉ,2500126,14
苅野,ｶﾘﾉ,2500135,14
北窪,ｷﾀｸﾎﾞ,2500114,14
小市,ｺｲﾁ,2500107,14
弘西寺,ｺｳｻｲｼﾞ,2500132,14
駒形新宿,ｺﾏｶﾞﾀｼﾝｼｭｸ,2500125,14
関本,ｾｷﾓﾄ,2500105,14
千津島,ｾﾝﾂﾞｼﾏ,2500102,14
大雄町,ﾀﾞｲﾕｳﾁｮｳ,2500127,14
竹松,ﾀｹﾏﾂ,2500111,14
塚原,ﾂｶﾊﾗ,2500117,14
中沼,ﾅｶﾇﾏ,2500123,14
怒田,ﾇﾀﾞ,2500106,14
沼田,ﾇﾏﾀ,2500115,14
広町,ﾋﾛﾏﾁ,2500121,14
福泉,ﾌｸｾﾝ,2500133,14
班目,ﾏﾀﾞﾗﾒ,2500101,14
壗下,ﾏﾏｼﾀ,2500103,14
三竹,ﾐﾀｹ,2500116,14
向田,ﾑｶｲﾀﾞ,2500104,14
矢倉沢,ﾔｸﾞﾗｻﾞﾜ,2500136,14
和田河原,ﾜﾀﾞｶﾞﾊﾗ,2500112,14
