another_name,another_name_kana,post_id,prefecture_id
,,0000000,27
一須賀,ｲﾁｽｶ,5850002,27
加納,ｶﾉｳ,5850012,27
上河内,ｶﾐｶﾜﾁ,5850024,27
寛弘寺,ｶﾝｺｳｼﾞ,5850035,27
神山,ｺｳﾔﾏ,5850034,27
さくら坂,ｻｸﾗｻﾞｶ,5850025,27
さくら坂南,ｻｸﾗｻﾞｶﾐﾅﾐ,5850027,27
下河内,ｼﾓｶﾜﾁ,5850023,27
白木,ｼﾗｷ,5850014,27
鈴美台,ｽｽﾞﾐﾀﾞｲ,5850026,27
芹生谷,ｾﾘｭｳﾀﾆ,5850033,27
大ケ塚,ﾀﾞｲｶﾞﾂｶ,5850003,27
大宝,ﾀﾞｲﾎｳ,5850005,27
寺田,ﾃﾗﾀﾞ,5850011,27
中,ﾅｶ,5850031,27
葉室,ﾊﾑﾛ,5850006,27
東山,ﾋｶﾞｼﾔﾏ,5850001,27
平石,ﾋﾗｲｼ,5850013,27
弘川,ﾋﾛｶﾜ,5850022,27
馬谷,ﾏﾀﾞﾆ,5850032,27
持尾,ﾓﾁｵ,5850021,27
山城,ﾔﾏｼﾛ,5850004,27
