another_name,another_name_kana,post_id,prefecture_id
,,0000000,16
相倉,ｱｲﾉｸﾗ,9391915,16
赤坂,ｱｶｻｶ,9391751,16
安室,ｱｼﾞﾂ,9320206,16
遊部,ｱｿﾌﾞ,9391701,16
遊部川原,ｱｿﾌﾞｶﾜﾗ,9391622,16
新屋,ｱﾀﾗｼﾔ,9391976,16
天池,ｱﾏｲｹ,9391744,16
雨潜,ｱﾒｸｸﾞﾘ,9391524,16
荒木,ｱﾗｷ,9391732,16
荒見崎,ｱﾗﾐｻｷ,9391716,16
在房,ｱﾘﾌｻ,9391711,16
池田,ｲｹﾀﾞ,9391873,16
池尻,ｲｹﾉｼﾘ,9391871,16
石田,ｲｼﾀﾞ,9391535,16
和泉,ｲｽﾞﾐ,9391621,16
泉沢,ｲｽﾞﾐｻﾞﾜ,9391821,16
院瀬見,ｲｾﾞﾐ,9320247,16
糸谷新,ｲﾄﾀﾞﾆｼﾝ,9391673,16
井波,ｲﾅﾐ,9320211,16
井波栄町,ｲﾅﾐｻｶｴﾏﾁ,9320213,16
井波軸屋,ｲﾅﾐｼﾞｸﾔ,9320205,16
井波末広町,ｲﾅﾐｽｴﾋﾛﾏﾁ,9320216,16
井波東町,ｲﾅﾐﾋｶﾞｼﾏﾁ,9320228,16
井口,ｲﾉｸﾁ,9391877,16
猪谷,ｲﾉﾀﾆ,9391962,16
今里,ｲﾏｻﾞﾄ,9320256,16
今町,ｲﾏﾏﾁ,9320214,16
入谷,ｲﾘﾀﾆ,9391904,16
岩木,ｲﾜｷ,9391612,16
岩武新,ｲﾜﾀｹｼﾝ,9391503,16
岩屋,ｲﾜﾔ,9320203,16
岩安,ｲﾜﾔｽ,9391611,16
院林,ｲﾝﾊﾞﾔｼ,9391531,16
上田,ｳｴﾀﾞ,9391824,16
上野,ｳｴﾉ,9391512,16
打尾,ｳﾁｵ,9391823,16
梅ケ島,ｳﾒｶﾞｼﾏ,9391542,16
梅野,ｳﾒﾉ,9391724,16
梅原,ｳﾒﾊﾗ,9391716,16
漆谷,ｳﾙｼﾀﾆ,9391979,16
上見,ｳﾜﾐ,9391833,16
江田,ｴﾀﾞ,9391526,16
大鋸屋,ｵｶﾞﾔ,0000000,16
大崩島,ｵｵｸｽﾞｼﾏ,9391902,16
大窪,ｵｵｸﾎﾞ,9391855,16
大島,ｵｵｼﾏ,9391912,16
