another_name,another_name_kana,post_id,prefecture_id
,,0000000,2
柏木堰,ｶｼﾜｷﾞｾﾞｷ,0383837,2
亀岡,ｶﾒｵｶ,0383833,2
久井名舘,ｸﾞｲﾅﾀﾞﾃ,0381203,2
葛野,ｸｽﾞﾉ,0383804,2
郷山前,ｺﾞｳｻﾝﾏｴ,0381206,2
小畑,ｺﾊﾞﾀ,0383812,2
五林,ｺﾞﾘﾝ,0383805,2
榊,ｻｶｷ,0381216,2
下俵舛,ｼﾓﾀﾜﾗﾏｽ,0383836,2
俵舛,ﾀﾜﾗﾏｽ,0383835,2
常盤,ﾄｷﾜ,0381214,2
徳下,ﾄｸｹﾞ,0381213,2
富柳,ﾄﾐﾔﾅｷﾞ,0381202,2
中島,ﾅｶｼﾞﾏ,0383811,2
中野目,ﾅｶﾉﾒ,0383831,2
西豊田,ﾆｼﾄﾖﾀﾞ,0383803,2
西中野目,ﾆｼﾅｶﾉﾒ,0383834,2
林崎,ﾊﾔｼｻﾞｷ,0383806,2
福島,ﾌｸｼﾏ,0381211,2
福舘,ﾌｸﾀﾞﾃ,0381201,2
藤越,ﾌｼﾞｺｼ,0383801,2
藤崎,ﾌｼﾞｻｷ,0383802,2
増館,ﾏｽﾀﾞﾃ,0381207,2
水木,ﾐｽﾞｷ,0381204,2
水沼,ﾐｽﾞﾇﾏ,0383814,2
三ツ屋,ﾐﾂﾔ,0381212,2
矢沢,ﾔｻﾞﾜ,0383813,2
吉野田,ﾖｼﾉﾀﾞ,0381205,2
吉向,ﾖｼﾑｶｲ,0383832,2
若松,ﾜｶﾏﾂ,0381215,2
