another_name,another_name_kana,post_id,prefecture_id
,,0000000,15
青木新田,ｱｵｷｼﾝﾃﾞﾝ,0000000,15
畔地,ｱｾﾞﾁ,9496746,15
畔地新田,ｱｾﾞﾁｼﾝﾃﾞﾝ,9496751,15
穴地,ｱﾅｼﾞ,9497245,15
穴地新田,ｱﾅｼﾞｼﾝﾃﾞﾝ,9497246,15
海士ケ島新田,ｱﾏｶﾞｼﾏｼﾝﾃﾞﾝ,9497256,15
天野沢,ｱﾏﾉｻﾜ,9496434,15
荒金,ｱﾗｶﾈ,9497235,15
荒山,ｱﾗﾔﾏ,9497234,15
雷土,ｲｶﾂﾞﾁ,9497228,15
雷土新田,ｲｶﾂﾞﾁｼﾝﾃﾞﾝ,9497227,15
石打,ｲｼｳﾁ,9496372,15
泉,ｲｽﾞﾐ,9497114,15
泉新田,ｲｽﾞﾐｼﾝﾃﾞﾝ,9497115,15
市野江乙,ｲﾁﾉｴｵﾂ,9497318,15
市野江乙後山,ｲﾁﾉｴｵﾂｳｼﾛﾔﾏ,9497318,15
市野江甲,ｲﾁﾉｴｺｳ,9497317,15
市野江丙,ｲﾁﾉｴﾍｲ,9497319,15
市野江丙辻又,ｲﾁﾉｴﾍｲﾂｼﾞﾏﾀ,9497319,15
一之沢,ｲﾁﾉｻﾜ,9496554,15
五日町,ｲﾂｶﾏﾁ,9497101,15
今町,ｲﾏﾏﾁ,9497313,15
今町新田,ｲﾏﾏﾁｼﾝﾃﾞﾝ,9497254,15
芋赤,ｲﾓｱｶ,9497222,15
岩崎,ｲﾜｻｷ,9496765,15
宇津野新田,ｳﾂﾉｼﾝﾃﾞﾝ,0000000,15
姥沢新田,ｳﾊﾞｻﾜｼﾝﾃﾞﾝ,9496551,15
姥島新田,ｳﾊﾞｼﾏｼﾝﾃﾞﾝ,9496425,15
浦佐,ｳﾗｻ,9497302,15
上野,ｳﾜﾉ,9496373,15
雲洞,ｳﾝﾄｳ,9496542,15
枝吉,ｴﾀﾞﾖｼ,9496544,15
大木六,ｵｵｷﾛｸ,9496416,15
大木六新田,ｵｵｷﾛｸｼﾝﾃﾞﾝ,9496438,15
大倉,ｵｵｸﾗ,9497243,15
大桑原,ｵｵｸﾜﾊﾞﾗ,9497224,15
大崎,ｵｵｻｷ,9497251,15
大里,ｵｵｻﾞﾄ,9496412,15
大沢,ｵｵｻﾜ,9496361,15
大杉新田,ｵｵｽｷﾞｼﾝﾃﾞﾝ,9497103,15
大月,ｵｵﾂﾞｷ,9496682,15
岡,ｵｶ,9497122,15
小川,ｵｶﾞﾜ,9496745,15
奥,ｵｸ,9497102,15
思川,ｵﾓｲｶﾞﾜ,9496403,15
欠之上,ｶｹﾉｳｴ,9496602,15
片田,ｶﾀﾀ,9496404,15
蟹沢新田,ｶﾆｻﾜｼﾝﾃﾞﾝ,9496552,15
樺野沢,ｶﾊﾞﾉｻﾜ,9496431,15
樺野沢新田,ｶﾊﾞﾉｻﾜｼﾝﾃﾞﾝ,9496432,15
上出浦,ｶﾐｲｽﾞﾅ,9497126,15
上十日町,ｶﾐﾄｵｶﾏﾁ,9496411,15
上原,ｶﾐﾊﾗ,9497137,15
上原新田,ｶﾐﾊﾗｼﾝﾃﾞﾝ,9497138,15
上一日市,ｶﾐﾋﾄｲﾁ,9496364,15
上薬師堂,ｶﾐﾔｸｼﾄﾞｳ,9497124,15
川窪,ｶﾜｸﾎﾞ,9496603,15
北田中,ｷﾀﾀﾅｶ,9497143,15
君帰,ｷﾐｶﾞｴﾘ,9496601,15
君沢,ｷﾐｻﾞﾜ,9496366,15
京岡,ｷｮｳｵｶ,9496756,15
京岡新田,ｷｮｳｵｶｼﾝﾃﾞﾝ,9496757,15
桐沢,ｷﾘｻﾜ,9497233,15
黒土,ｸﾛﾂﾁ,9497242,15
黒土新田,ｸﾛﾂﾁｼﾝﾃﾞﾝ,9497241,15
五箇,ｺﾞｶ,9497301,15
小木六,ｺｷﾞﾛｸ,9496413,15
国際町,ｺｸｻｲﾁｮｳ,9497248,15
小栗山,ｺｸﾞﾘﾔﾏ,9496636,15
九日町,ｺｺﾉｶﾏﾁ,9497312,15
小杉新田,ｺｽｷﾞｼﾝﾃﾞﾝ,9496415,15
小松沢,ｺﾏﾂｻﾞﾜ,9496556,15
五郎丸,ｺﾞﾛｳﾏﾙ,9496428,15
坂戸,ｻｶﾄﾞ,9496611,15
三郎丸,ｻﾌﾞﾛｳﾏﾙ,9496541,15
塩沢,ｼｵｻﾞﾜ,9496408,15
四十日,ｼﾄｶ,9497145,15
島新田,ｼﾏｼﾝﾃﾞﾝ,9496407,15
清水,ｼﾐｽﾞ,9496553,15
清水瀬,ｼﾐｽﾞｾ,9496741,15
下出浦,ｼﾓｲｽﾞﾅ,9497127,15
下原,ｼﾓﾊﾗ,9497113,15
下原新田,ｼﾓﾊﾗｼﾝﾃﾞﾝ,9497116,15
下一日市,ｼﾓﾋﾄｲﾁ,9496363,15
下薬師堂,ｼﾓﾔｸｼﾄﾞｳ,9497125,15
城山新田,ｼﾞｮｳﾔﾏｼﾝﾃﾞﾝ,9497314,15
関,ｾｷ,9496371,15
芹田,ｾﾘﾀﾞ,9497311,15
仙石,ｾﾝｺﾞｸ,9496418,15
泉盛寺,ｾﾝｼﾞｮｳｼﾞ,9496433,15
台上,ﾀﾞｲｳｴ,9496557,15
滝谷,ﾀｷﾔ,9496555,15
竹俣,ﾀｹﾏﾀ,9496405,15
竹俣新田,ﾀｹﾏﾀｼﾝﾃﾞﾝ,9496406,15
