another_name,another_name_kana,post_id,prefecture_id
,,0000000,21
あじさいヶ丘,ｱｼﾞｻｲｶﾞｵｶ,5050029,21
伊深町,ｲﾌﾞｶﾁｮｳ,5050008,21
太田町,ｵｵﾀﾁｮｳ,5050041,21
太田本町,ｵｵﾀﾎﾝﾏﾁ,5050042,21
大手町,ｵｵﾃﾏﾁ,5050035,21
加茂川町,ｶﾓｶﾞﾜﾁｮｳ,5050044,21
加茂野町市橋,ｶﾓﾉﾁｮｳｲﾁﾊｼ,5050056,21
加茂野町稲辺,ｶﾓﾉﾁｮｳｲﾅﾍﾞ,5050055,21
加茂野町今泉,ｶﾓﾉﾁｮｳｲﾏｲｽﾞﾐ,5050052,21
加茂野町加茂野,ｶﾓﾉﾁｮｳｶﾓﾉ,5050054,21
加茂野町木野,ｶﾓﾉﾁｮｳｺﾉ,5050053,21
加茂野町鷹之巣,ｶﾓﾉﾁｮｳﾀｶﾉｽ,5050051,21
川合町,ｶﾜｲﾁｮｳ,5050022,21
草笛町,ｸｻﾌﾞｴﾁｮｳ,5050045,21
健康のまち,ｹﾝｺｳﾉﾏﾁ,5050010,21
古井町下古井,ｺﾋﾞﾁｮｳｼﾓｺﾋﾞ,5050034,21
島町,ｼﾏﾁｮｳ,5050025,21
清水町,ｼﾐｽﾞﾁｮｳ,5050026,21
下米田町今,ｼﾓﾖﾈﾀﾞﾁｮｳｲﾏ,5050015,21
下米田町小山,ｼﾓﾖﾈﾀﾞﾁｮｳｺﾔﾏ,5050017,21
下米田町為岡,ｼﾓﾖﾈﾀﾞﾁｮｳﾀﾒｵｶ,5050019,21
下米田町西脇,ｼﾓﾖﾈﾀﾞﾁｮｳﾆｼﾜｷ,5050018,21
下米田町信友,ｼﾓﾖﾈﾀﾞﾁｮｳﾉﾌﾞﾄﾓ,5050013,21
下米田町則光,ｼﾓﾖﾈﾀﾞﾁｮｳﾉﾘﾐﾂ,5050014,21
下米田町東栃井,ｼﾓﾖﾈﾀﾞﾁｮｳﾋｶﾞｼﾄﾁｲ,5050011,21
下米田町山本,ｼﾓﾖﾈﾀﾞﾁｮｳﾔﾏﾓﾄ,5050012,21
新池町,ｼﾝｲｹﾁｮｳ,5050031,21
田島町,ﾀｼﾞﾏﾁｮｳ,5050032,21
中部台,ﾁｭｳﾌﾞﾀﾞｲ,5050038,21
中富町,ﾅｶﾄﾐﾁｮｳ,5050033,21
西町,ﾆｼﾏﾁ,5050046,21
野笹町,ﾉｻﾞｻﾁｮｳ,5050023,21
蜂屋台,ﾊﾁﾔﾀﾞｲ,5050039,21
蜂屋町伊瀬,ﾊﾁﾔﾁｮｳｲｾﾞ,5050006,21
蜂屋町上蜂屋,ﾊﾁﾔﾁｮｳｶﾐﾊﾁﾔ,5050004,21
蜂屋町中蜂屋,ﾊﾁﾔﾁｮｳﾅｶﾊﾁﾔ,5050005,21
蜂屋町下蜂屋,ﾊﾁﾔﾁｮｳｼﾓﾊﾁﾔ,5050007,21
蜂屋町矢田,ﾊﾁﾔﾁｮｳﾔﾀ,5050009,21
深田町,ﾌｶﾀﾁｮｳ,5050043,21
本郷町,ﾎﾝｺﾞｳﾁｮｳ,5050027,21
前平町,ﾏｴﾋﾗﾁｮｳ,5050037,21
牧野,ﾏｷﾉ,5050016,21
御門町,ﾐｶﾄﾞﾁｮｳ,5050024,21
三和町川浦,ﾐﾜﾁｮｳｶﾜｳﾗ,5050002,21
三和町廿屋,ﾐﾜﾁｮｳﾂﾂﾞﾔ,5050001,21
森山町,ﾓﾘﾔﾏﾁｮｳ,5050021,21
山崎町,ﾔﾏｻﾞｷﾁｮｳ,5050028,21
山手町,ﾔﾏﾃﾁｮｳ,5050036,21
山之上町,ﾔﾏﾉｳｴﾁｮｳ,5050003,21
