another_name,another_name_kana,post_id,prefecture_id
,,0000000,21
相生町,ｱｲｵｲﾁｮｳ,5013723,21
藍川,ｱｲｶﾜ,5013762,21
安毛,ｱﾀｹﾞ,5013717,21
生櫛,ｲｸｼ,5013756,21
泉町,ｲｽﾞﾐﾁｮｳ,5013729,21
魚屋町,ｳｵﾔﾁｮｳ,5013724,21
梅山町,ｳﾒﾔﾏﾁｮｳ,5013715,21
乙狩,ｵﾄｶﾞﾘ,5013786,21
大矢田,ｵﾔﾀﾞ,5013771,21
楓台,ｶｴﾃﾞﾀﾞｲ,5013772,21
笠神,ｶｻｶﾞﾐ,5013764,21
加治屋町,ｶｼﾞﾔﾁｮｳ,5013726,21
片知,ｶﾀｼﾞ,5013781,21
上河和,ｶﾐｺｳﾜ,5013702,21
上条,ｶﾐｼﾞｮｳ,5013743,21
上野,ｶﾐﾉ,5013787,21
亀野町,ｶﾒﾉﾁｮｳ,5013733,21
神洞,ｶﾝﾎﾞﾗ,5013783,21
口野々,ｸﾁﾉﾉ,5013712,21
小倉,ｺｸﾗ,5013785,21
極楽寺,ｺﾞｸﾗｸｼﾞ,5013763,21
米屋町,ｺﾒﾔﾁｮｳ,5013736,21
さくらケ丘,ｻｸﾗｶﾞｵｶ,5013754,21
志摩,ｼﾏ,5013755,21
下河和,ｼﾓｺｳﾜ,5013703,21
下渡,ｼﾓﾜﾀﾘ,5013745,21
松栄町,ｼｮｳｴｲﾁｮｳ,5013752,21
新町,ｼﾝﾏﾁ,5013737,21
須原,ｽﾊﾗ,5013706,21
曽代,ｿﾀﾞｲ,5013714,21
立花,ﾀﾁﾊﾞﾅ,5013705,21
俵町,ﾀﾜﾗﾏﾁ,5013725,21
段町,ﾀﾞﾝﾁｮｳ,5013744,21
千畝町,ﾁｳﾈﾁｮｳ,5013734,21
中央,ﾁｭｳｵｳ,5013746,21
常盤町,ﾄｷﾜﾁｮｳ,5013722,21
殿町,ﾄﾉﾏﾁ,5013742,21
富野,ﾄﾐﾉ,5013713,21
永重町,ﾅｶﾞｼｹﾞﾁｮｳ,5013727,21
長瀬,ﾅｶﾞｾ,5013782,21
西市場町,ﾆｼｲﾁﾊﾞﾁｮｳ,5013735,21
東市場町,ﾋｶﾞｼｲﾁﾊﾞﾁｮｳ,5013731,21
樋ケ洞,ﾋｶﾞﾎﾗ,5013711,21
広岡町,ﾋﾛｵｶﾁｮｳ,5013732,21
保木脇,ﾎｷﾜｷ,5013704,21
前野,ﾏｴﾉ,5013716,21
松倉台,ﾏﾂｸﾗﾀﾞｲ,5013751,21
松森,ﾏﾂﾓﾘ,5013753,21
御手洗,ﾐﾀﾗｲ,5013784,21
港町,ﾐﾅﾄﾏﾁ,5013741,21
本住町,ﾓﾄｽﾞﾐﾁｮｳ,5013728,21
もみじが丘,ﾓﾐｼﾞｶﾞｵｶ,5013773,21
横越,ﾖｺｺﾞｼ,5013761,21
吉川町,ﾖｼｶﾜﾁｮｳ,5013721,21
蕨生,ﾜﾗﾋﾞ,5013788,21
