another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
東町,ｱｽﾞﾏﾁｮｳ,3410036,11
泉,ｲｽﾞﾐ,3410054,11
市助,ｲﾁｽｹ,3410033,11
岩野木,ｲﾜﾉｷ,3410031,11
インター南,ｲﾝﾀｰﾐﾅﾐ,3410059,11
後谷,ｳｼﾛﾔ,3410014,11
采女,ｳﾈﾒ,3410011,11
大広戸,ｵｵﾋﾛﾄ,3410022,11
鎌倉,ｶﾏｸﾗ,3410046,11
上口,ｶﾐｸﾞﾁ,3410055,11
上彦川戸,ｶﾐﾋｺｶﾜﾄﾞ,3410006,11
上彦名,ｶﾐﾋｺﾅ,3410004,11
幸房,ｺｳﾎﾞｳ,3410026,11
駒形,ｺﾏｶﾞﾀ,3410008,11
小谷堀,ｺﾔﾎﾞﾘ,3410013,11
栄,ｻｶｴ,3410043,11
笹塚,ｻｻﾂﾞｶ,3410027,11
さつき平,ｻﾂｷﾀﾞｲﾗ,3410021,11
下彦川戸,ｼﾓﾋｺｶﾜﾄﾞ,3410007,11
新三郷ららシティ,ｼﾝﾐｻﾄﾗﾗｼﾃｨ,3410009,11
新和,ｼﾝﾜ,3410034,11
前間,ｾﾞﾝﾏ,3410015,11
高州,ﾀｶｽ,3410037,11
鷹野,ﾀｶﾉ,3410035,11
田中新田,ﾀﾅｶｼﾝﾃﾞﾝ,3410016,11
丹後,ﾀﾝｺﾞ,3410017,11
中央,ﾁｭｳｵｳ,3410038,11
天神,ﾃﾝｼﾞﾝ,3410051,11
戸ケ崎,ﾄｶﾞｻｷ,3410044,11
仁蔵,ﾆｿﾞｳ,3410023,11
花和田,ﾊﾅﾜﾀﾞ,3410041,11
番匠免,ﾊﾞﾝｼｮｳﾒﾝ,3410056,11
半田,ﾊﾝﾀ,3410012,11
ピアラシティ,ﾋﾟｱﾗｼﾃｨ,3410050,11
彦糸,ﾋｺｲﾄ,3410001,11
彦江,ﾋｺｴ,3410058,11
彦音,ﾋｺｵﾄ,3410002,11
彦川戸,ﾋｺｶﾜﾄﾞ,3410005,11
彦倉,ﾋｺｸﾗ,3410053,11
彦沢,ﾋｺｻﾜ,3410057,11
彦成,ﾋｺﾅﾘ,3410003,11
彦野,ﾋｺﾉ,3410052,11
三郷,ﾐｻﾄ,3410024,11
南蓮沼,ﾐﾅﾐﾊｽﾇﾏ,3410028,11
茂田井,ﾓﾀｲ,3410025,11
谷口,ﾔｸﾞﾁ,3410042,11
谷中,ﾔﾅｶ,3410032,11
寄巻,ﾖﾏｷ,3410045,11
早稲田,ﾜｾﾀﾞ,3410018,11
