another_name,another_name_kana,post_id,prefecture_id
,,0000000,2
朝日,ｱｻﾋ,0330166,2
天ケ森,ｱﾏｶﾞﾓﾘ,0330101,2
泉町,ｲｽﾞﾐﾁｮｳ,0330153,2
五川目,ｲﾂｶﾜﾒ,0330131,2
大津,ｵｵﾂ,0330134,2
大町,ｵｵﾏﾁ,0330041,2
岡三沢,ｵｶﾐｻﾜ,0330021,2
織笠,ｵﾘｶｻ,0330104,2
春日台,ｶｽｶﾞﾀﾞｲ,0330053,2
上久保,ｶﾐｸﾎﾞ,0330063,2
越下,ｺｼｼﾀ,0330162,2
幸町,ｻｲﾜｲﾁｮｳ,0330011,2
栄町,ｻｶｴﾁｮｳ,0330042,2
桜町,ｻｸﾗﾁｮｳ,0330031,2
さつきヶ丘,ｻﾂｷｶﾞｵｶ,0330155,2
淋代,ｻﾋﾞｼﾛ,0330113,2
塩釜,ｼｵｶﾞﾏ,0330103,2
鹿中,ｼｶﾅｶ,0330133,2
下久保,ｼﾓｸﾎﾞ,0330023,2
新町,ｼﾝﾁｮｳ,0330062,2
新森,ｼﾝﾓﾘ,0330105,2
砂森,ｽﾅﾓﾘ,0330102,2
高野沢,ﾀｶﾉｻﾜ,0330165,2
中央町,ﾁｭｳｵｳﾁｮｳ,0330001,2
千代田町,ﾁﾖﾀﾞﾁｮｳ,0330043,2
富崎,ﾄﾐｻｷ,0330163,2
根井,ﾈｲ,0330167,2
花園町,ﾊﾅｿﾞﾉﾁｮｳ,0330061,2
東岡三沢,ﾋｶﾞｼｵｶﾐｻﾜ,0330024,2
東町,ﾋｶﾞｼﾁｮｳ,0330034,2
日の出,ﾋﾉﾃﾞ,0330154,2
平畑,ﾋﾗﾊﾀ,0330012,2
深谷,ﾌｶﾔ,0330152,2
古間木,ﾌﾙﾏｷ,0330051,2
古間木山,ﾌﾙﾏｷﾔﾏ,0330044,2
細谷,ﾎｿﾔ,0330112,2
堀口,ﾎﾘｸﾞﾁ,0330123,2
本町,ﾎﾝﾁｮｳ,0330052,2
前平,ﾏｴﾀｲ,0330143,2
松園町,ﾏﾂｿﾞﾉﾁｮｳ,0330037,2
松原町,ﾏﾂﾊﾞﾗﾁｮｳ,0330035,2
三川目,ﾐｶﾜﾒ,0330142,2
三沢,ﾐｻﾜ,0330022,2
緑町,ﾐﾄﾞﾘﾁｮｳ,0330032,2
港町,ﾐﾅﾄﾏﾁ,0330141,2
南町,ﾐﾅﾐﾁｮｳ,0330036,2
南山,ﾐﾅﾐﾔﾏ,0330151,2
美野原,ﾐﾉﾊﾗ,0330033,2
六川目,ﾑｶﾜﾒ,0330111,2
薬師町,ﾔｸｼﾁｮｳ,0330045,2
谷地頭,ﾔﾁｶﾞｼﾗ,0330164,2
八幡,ﾔﾜﾀ,0330161,2
四川目,ﾖｶﾜﾒ,0330132,2
