another_name,another_name_kana,post_id,prefecture_id
,,0000000,15
相田,ｱｲﾀﾞ,9494325,15
尼瀬,ｱﾏｾﾞ,9494308,15
石井町,ｲｼｲﾁｮｳ,9494306,15
市野坪,ｲﾁﾉﾂﾎﾞ,9494335,15
稲川,ｲﾅｶﾞﾜ,9494331,15
井鼻,ｲﾉﾊﾅ,9494302,15
上野山,ｳｴﾉﾔﾏ,9494346,15
大釜谷,ｵｵｶﾞﾏﾔ,9494323,15
大寺,ｵｵﾃﾗ,9494312,15
小木,ｵｷﾞ,9494332,15
乙茂,ｵﾄﾓ,9494311,15
柿木,ｶｷﾉｷ,9494315,15
勝見,ｶﾂﾐ,9494309,15
桂沢,ｶﾂﾗｻﾜ,9494326,15
神条,ｶﾐｼﾞｮｳ,9494318,15
上中条,ｶﾐﾅｶｼﾞｮｳ,9494341,15
川西,ｶﾜﾆｼ,9494353,15
木折町,ｷｵﾘﾁｮｳ,9494303,15
久田,ｸｯﾀ,9494301,15
小釜谷,ｺｶﾞﾏﾔ,9494322,15
小竹,ｺﾀﾞｹ,9494344,15
米田,ｺﾒﾀﾞ,9494342,15
沢田,ｻﾜﾀﾞ,9494351,15
常楽寺,ｼﾞｮｳﾗｸｼﾞ,9494333,15
住吉町,ｽﾐﾖｼﾁｮｳ,9494307,15
大門,ﾀﾞｲﾓﾝ,9494352,15
滝谷,ﾀｷﾔ,9494316,15
立石,ﾀﾃｲｼ,9494343,15
田中,ﾀﾅｶ,9494337,15
豊橋,ﾄﾖﾊﾞｼ,9494334,15
中山,ﾅｶﾔﾏ,9494345,15
鳴滝町,ﾅﾙﾀｷﾁｮｳ,9494304,15
羽黒町,ﾊｸﾞﾛﾁｮｳ,9494305,15
藤巻,ﾌｼﾞﾏｷ,9494314,15
船橋,ﾌﾅﾊﾞｼ,9494336,15
別ケ谷,ﾍﾞﾂｶﾞﾀﾆ,9494327,15
馬草,ﾏｸﾞｻ,9494313,15
松本,ﾏﾂﾓﾄ,9494321,15
山谷,ﾔﾏﾔ,9494328,15
吉川,ﾖｼｶﾜ,9494317,15
吉水,ﾖｼﾐｽﾞ,9494324,15
