another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
尾上町,ｵｶﾞﾐﾁｮｳ,2380246,14
海外町,ｶｲﾄﾁｮｳ,2380245,14
岬陽町,ｺｳﾖｳﾁｮｳ,2380222,14
栄町,ｻｶｴﾁｮｳ,2380236,14
白石町,ｼﾗｲｼﾁｮｳ,2380244,14
城山町,ｼﾛﾔﾏﾁｮｳ,2380235,14
諏訪町,ｽﾜﾁｮｳ,2380234,14
天神町,ﾃﾝｼﾞﾝﾁｮｳ,2380241,14
初声町入江,ﾊｯｾﾏﾁｲﾘｴ,2380113,14
初声町高円坊,ﾊｯｾﾏﾁｺｳｴﾝﾎﾞｳ,2380115,14
初声町下宮田,ﾊｯｾﾏﾁｼﾓﾐﾔﾀﾞ,2380111,14
初声町三戸,ﾊｯｾﾏﾁﾐﾄ,2380112,14
初声町和田,ﾊｯｾﾏﾁﾜﾀﾞ,2380114,14
原町,ﾊﾗﾁｮｳ,2380223,14
晴海町,ﾊﾙﾐﾁｮｳ,2380232,14
東岡町,ﾋｶﾞｼｵｶﾁｮｳ,2380242,14
三崎,ﾐｻｷ,2380243,14
三崎町小網代,ﾐｻｷﾏﾁｺｱｼﾞﾛ,2380225,14
三崎町城ケ島,ﾐｻｷﾏﾁｼﾞｮｳｶﾞｼﾏ,2380237,14
三崎町六合,ﾐｻｷﾏﾁﾑﾂｱｲ,2380221,14
三崎町諸磯,ﾐｻｷﾏﾁﾓﾛｲｿ,2380224,14
南下浦町金田,ﾐﾅﾐｼﾀｳﾗﾏﾁｶﾈﾀﾞ,2380103,14
南下浦町上宮田,ﾐﾅﾐｼﾀｳﾗﾏﾁｶﾐﾐﾔﾀﾞ,2380101,14
南下浦町菊名,ﾐﾅﾐｼﾀｳﾗﾏﾁｷｸﾅ,2380102,14
南下浦町毘沙門,ﾐﾅﾐｼﾀｳﾗﾏﾁﾋﾞｼｬﾓﾝ,2380105,14
南下浦町松輪,ﾐﾅﾐｼﾀｳﾗﾏﾁﾏﾂﾜ,2380104,14
宮川町,ﾐﾔｶﾞﾜﾁｮｳ,2380231,14
向ケ崎町,ﾑｺｳｶﾞｻｷﾁｮｳ,2380233,14
