another_name,another_name_kana,post_id,prefecture_id
,,0000000,3
赤前,ｱｶﾏｴ,0270202,3
愛宕,ｱﾀｺﾞ,0270092,3
新町,ｱﾗﾏﾁ,0270086,3
泉町,ｲｽﾞﾐﾁｮｳ,0270062,3
板屋,ｲﾀﾔ,0270048,3
江繋,ｴﾂﾅｷﾞ,0282421,3
太田,ｵｵﾀ,0270054,3
大通,ｵｵﾄﾞｵﾘ,0270083,3
小国,ｵｸﾞﾆ,0282422,3
音部,ｵﾄﾍﾞ,0270112,3
重茂,ｵﾓｴ,0270111,3
片巣,ｶﾀｽ,0282303,3
門馬,ｶﾄﾞﾏ,0282632,3
金浜,ｶﾈﾊﾏ,0270033,3
河南,ｶﾅﾝ,0270039,3
鴨崎町,ｶﾓｻﾞｷﾁｮｳ,0270078,3
刈屋,ｶﾘﾔ,0282104,3
川井,ｶﾜｲ,0000000,3
川内,ｶﾜｳﾁ,0282513,3
神田沢町,ｶﾝﾀﾞｻﾞﾜﾁｮｳ,0270042,3
上鼻,ｶﾝﾊﾟﾅ,0270044,3
神林,ｶﾝﾊﾞﾔｼ,0270028,3
区界,ｸｻﾞｶｲ,0282631,3
熊野町,ｸﾏﾉﾁｮｳ,0270008,3
黒田町,ｸﾛﾀﾏﾁ,0270085,3
黒森町,ｸﾛﾓﾘﾁｮｳ,0270065,3
鍬ケ崎,ｸﾜｶﾞｻｷ,0270006,3
花原市,ｹﾊﾞﾗｲﾁ,0270046,3
光岸地,ｺｳｶﾞﾝｼﾞ,0270005,3
小沢,ｺｻﾞﾜ,0270071,3
小山田,ｺﾔﾏﾀﾞ,0270038,3
栄町,ｻｶｴﾁｮｳ,0270076,3
崎鍬ケ崎,ｻｷｸﾜｶﾞｻｷ,0270096,3
崎山,ｻｷﾔﾏ,0270097,3
五月町,ｻﾂｷﾁｮｳ,0270072,3
佐原,ｻﾊﾞﾗ,0270095,3
沢田,ｻﾜﾀﾞ,0270088,3
白浜,ｼﾗﾊﾏ,0270201,3
新川町,ｼﾝｶﾜﾁｮｳ,0270081,3
末広町,ｽｴﾋﾛﾁｮｳ,0270084,3
鈴久名,ｽｽﾞｸﾅ,0282512,3
千徳,ｾﾝﾄｸ,0270058,3
