another_name,another_name_kana,post_id,prefecture_id
,,0000000,45
青島,ｱｵｼﾏ,8892162,45
青島西,ｱｵｼﾏﾆｼ,8892163,45
青葉町,ｱｵﾊﾞﾁｮｳ,8800842,45
赤江,ｱｶｴ,8800912,45
旭,ｱｻﾋ,8800803,45
吾妻町,ｱﾂﾞﾏﾁｮｳ,8800864,45
跡江,ｱﾄｴ,8802101,45
有田,ｱﾘﾀ,8802102,45
阿波岐原町,ｱﾜｷｶﾞﾊﾗﾁｮｳ,8800835,45
生目,ｲｷﾒ,8802103,45
生目台東,ｲｷﾒﾀﾞｲﾋｶﾞｼ,8800942,45
生目台西,ｲｷﾒﾀﾞｲﾆｼ,8800943,45
池内町,ｲｹｳﾁﾁｮｳ,8800041,45
一の宮町,ｲﾁﾉﾐﾔﾁｮｳ,8800854,45
糸原,ｲﾄﾊﾞﾙ,8802231,45
浮田,ｳｷﾀ,8802104,45
浮城町,ｳｷﾉｼﾞｮｳﾁｮｳ,8800821,45
内海,ｳﾁｳﾐ,8892301,45
瓜生野,ｳﾘｭｳﾉ,0000000,45
瓜生野下畑,ｳﾘｭｳﾉｼﾓﾊﾀ,8800344,45
永楽町,ｴｲﾗｸﾁｮｳ,8800872,45
江平中町,ｴﾋﾗﾅｶﾏﾁ,8800814,45
江平東町,ｴﾋﾗﾋｶﾞｼﾏﾁ,8800817,45
江平東,ｴﾋﾗﾋｶﾞｼ,8800816,45
江平西,ｴﾋﾗﾆｼ,8800051,45
江平町,ｴﾋﾗﾁｮｳ,8800815,45
老松,ｵｲﾏﾂ,8800801,45
大島町,ｵｵｼﾏﾁｮｳ,8800824,45
大瀬町,ｵｵｾﾏﾁ,0000000,45
大瀬町上畑,ｵｵｾﾏﾁｶﾐﾊﾀ,8800345,45
太田,ｵｵﾀ,8800903,45
大塚台東,ｵｵﾂｶﾀﾞｲﾋｶﾞｼ,8800952,45
大塚台西,ｵｵﾂｶﾀﾞｲﾆｼ,8802105,45
大塚町,ｵｵﾂｶﾁｮｳ,8800951,45
大坪町,ｵｵﾂﾎﾞﾁｮｳ,8800933,45
大坪東,ｵｵﾂﾎﾞﾋｶﾞｼ,8800934,45
大坪西,ｵｵﾂﾎﾞﾆｼ,8800932,45
大橋,ｵｵﾊｼ,8800022,45
大淀,ｵｵﾖﾄﾞ,8800902,45
小戸町,ｵﾄﾞﾁｮｳ,8800857,45
折生迫,ｵﾘｳｻﾞｺ,8892164,45
加江田,ｶｴﾀﾞ,8892161,45
薫る坂,ｶｵﾙｻﾞｶ,8800947,45
鏡洲,ｶｶﾞﾐｽﾞ,8892156,45
学園木花台桜,ｶﾞｸｴﾝｷﾊﾅﾀﾞｲｻｸﾗ,8892154,45
学園木花台西,ｶﾞｸｴﾝｷﾊﾞﾅﾀﾞｲﾆｼ,8892155,45
学園木花台南,ｶﾞｸｴﾝｷﾊﾞﾅﾀﾞｲﾐﾅﾐ,8892153,45
学園木花台北,ｶﾞｸｴﾝｷﾊﾞﾅﾀﾞｲｷﾀ,8892152,45
柏原,ｶｼﾜﾊﾞﾙ,8802111,45
金崎,ｶﾈｻﾞｷ,8802234,45
上北方,ｶﾐｷﾀｶﾀ,8800043,45
上野町,ｶﾐﾉﾏﾁ,8800011,45
川原町,ｶﾜﾗﾏﾁ,8800866,45
祇園,ｷﾞｵﾝ,8800024,45
北川内町,ｷﾀｶﾜｳﾁﾁｮｳ,8800941,45
北権現町,ｷﾀｺﾞﾝｹﾞﾝﾁｮｳ,8800823,45
北高松町,ｷﾀﾀｶﾏﾂﾁｮｳ,8800017,45
希望ケ丘,ｷﾎﾞｳｶﾞｵｶ,8800923,45
京塚,ｷｮｳﾂｶ,8800937,45
京塚町,ｷｮｳﾂﾞｶﾁｮｳ,8800938,45
清武町あさひ,ｷﾖﾀｹﾁｮｳｱｻﾋ,8891609,45
清武町池田台,ｷﾖﾀｹﾁｮｳｲｹﾀﾞﾀﾞｲ,8891606,45
清武町池田台北,ｷﾖﾀｹﾁｮｳｲｹﾀﾞﾀﾞｲｷﾀ,8891608,45
清武町今泉,ｷﾖﾀｹﾁｮｳｲﾏｲｽﾞﾐ,8891602,45
清武町岡,ｷﾖﾀｹﾁｮｳｵｶ,8891612,45
清武町加納,ｷﾖﾀｹﾁｮｳｶﾉｳ,0000000,45
清武町木原,ｷﾖﾀｹﾁｮｳｷﾊﾗ,8891601,45
清武町正手,ｷﾖﾀｹﾁｮｳｼｮｳﾃﾞ,8891603,45
清武町新町,ｷﾖﾀｹﾁｮｳｼﾝﾏﾁ,8891611,45
清武町西新町,ｷﾖﾀｹﾁｮｳﾆｼｼﾝﾏﾁ,8891613,45
清武町船引,ｷﾖﾀｹﾁｮｳﾌﾅﾋｷ,8891604,45
霧島,ｷﾘｼﾏ,8800032,45
郡司分,ｸﾞｼﾞﾌﾞﾝ,8800924,45
熊野,ｸﾏﾉ,8892151,45
源藤町,ｹﾞﾝﾄﾞｳﾁｮｳ,8800927,45
江南,ｺｳﾅﾝ,8800944,45
小松,ｺﾏﾂ,8802112,45
小松台北町,ｺﾏﾂﾀﾞｲｷﾀﾏﾁ,8802113,45
小松台西,ｺﾏﾂﾀﾞｲﾆｼ,8800954,45
小松台東,ｺﾏﾂﾀﾞｲﾋｶﾞｼ,8800953,45
小松台南町,ｺﾏﾂﾀﾞｲﾐﾅﾐﾏﾁ,8800956,45
権現町,ｺﾞﾝｹﾞﾝﾁｮｳ,8800822,45
桜ケ丘町,ｻｸﾗｶﾞｵｶﾁｮｳ,8800955,45
桜町,ｻｸﾗﾏﾁ,8800057,45
佐土原町石崎,ｻﾄﾞﾜﾗﾁｮｳｲｼｻﾞｷ,8800213,45
佐土原町上田島,ｻﾄﾞﾜﾗﾁｮｳｶﾐﾀｼﾞﾏ,8800301,45
佐土原町下田島,ｻﾄﾞﾜﾗﾁｮｳｼﾓﾀｼﾞﾏ,8800211,45
佐土原町下富田,ｻﾄﾞﾜﾗﾁｮｳｼﾓﾄﾝﾀﾞ,8800204,45
佐土原町下那珂,ｻﾄﾞﾜﾗﾁｮｳｼﾓﾅｶ,8800212,45
佐土原町西上那珂,ｻﾄﾞﾜﾗﾁｮｳﾆｼｶﾐﾅｶ,8800302,45
佐土原町東上那珂,ｻﾄﾞﾜﾗﾁｮｳﾋｶﾞｼｶﾐﾅｶ,8800303,45
佐土原町松小路,ｻﾄﾞﾜﾗﾁｮｳﾏﾂｺｳｼﾞ,8800214,45
塩路,ｼｵｼﾞ,8800122,45
潮見町,ｼｵﾐﾁｮｳ,8800862,45
島之内,ｼﾏﾉｳﾁ,8800121,45
清水,ｼﾐｽﾞ,8800021,45
下北方町,ｼﾓｷﾀｶﾀﾏﾁ,8800035,45
下原町,ｼﾓﾊﾗﾁｮｳ,8800843,45
昭栄町,ｼｮｳｴｲﾁｮｳ,8800833,45
城ケ崎,ｼﾞｮｳｶﾞｻｷ,8800917,45
浄土江町,ｼﾞｮｳﾄﾞｴﾁｮｳ,8800876,45
昭和町,ｼｮｳﾜﾁｮｳ,8800874,45
新栄町,ｼﾝｴｲﾁｮｳ,8800831,45
神宮,ｼﾞﾝｸﾞｳ,8800053,45
神宮西,ｼﾞﾝｸﾞｳﾆｼ,8800033,45
神宮東,ｼﾞﾝｸﾞｳﾋｶﾞｼ,8800056,45
神宮町,ｼﾞﾝｸﾞｳﾁｮｳ,8800054,45
新城町,ｼﾝｼﾞｮｳﾁｮｳ,8800845,45
新別府町,ｼﾝﾍﾞｯﾌﾟﾁｮｳ,8800834,45
末広,ｽｴﾋﾛ,8800012,45
瀬頭,ｾｶﾞｼﾗ,8800867,45
瀬頭町,ｾｶﾞｼﾗﾁｮｳ,8800868,45
