another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
生田原,ｲｸﾀﾊﾗ,0990701,1
生田原旭野,ｲｸﾀﾊﾗｱｻﾋﾉ,0990623,1
生田原伊吹,ｲｸﾀﾊﾗｲﾌﾞｷ,0990702,1
生田原岩戸,ｲｸﾀﾊﾗｲﾜﾄ,0990704,1
生田原清里,ｲｸﾀﾊﾗｷﾖｻﾄ,0990705,1
生田原豊原,ｲｸﾀﾊﾗﾄﾖﾊﾗ,0990624,1
生田原水穂,ｲｸﾀﾊﾗﾐｽﾞﾎ,0990621,1
生田原八重,ｲｸﾀﾊﾗﾔｴ,0990703,1
生田原安国,ｲｸﾀﾊﾗﾔｽｸﾆ,0990622,1
岩見通南,ｲﾜﾐﾄﾞｵﾘﾐﾅﾐ,0990415,1
岩見通北,ｲﾜﾐﾄﾞｵﾘｷﾀ,0990405,1
大通南,ｵｵﾄﾞｵﾘﾐﾅﾐ,0990416,1
大通北,ｵｵﾄﾞｵﾘｷﾀ,0990404,1
奥白滝,ｵｸｼﾗﾀｷ,0990126,1
学田,ｶﾞｸﾃﾞﾝ,0990401,1
柏,ｶｼﾜ,0990347,1
上白滝,ｶﾐｼﾗﾀｷ,0990127,1
旧白滝,ｷｭｳｼﾗﾀｷ,0990102,1
清川,ｷﾖｶﾜ,0990422,1
寿町,ｺﾄﾌﾞｷﾁｮｳ,0990413,1
栄野,ｻｶｴﾉ,0990343,1
下白滝,ｼﾓｼﾗﾀｷ,0990101,1
社名淵,ｼｬﾅﾌﾁ,0990426,1
白滝,ｼﾗﾀｷ,0990111,1
白滝上支湧別,ｼﾗﾀｷｶﾐｼｭｳﾍﾞﾂ,0990123,1
白滝北支湧別,ｼﾗﾀｷｷﾀｼｭｳﾍﾞﾂ,0990121,1
白滝支湧別,ｼﾗﾀｷｼｭｳﾍﾞﾂ,0990122,1
白滝天狗平,ｼﾗﾀｷﾃﾝｸﾞﾀﾞｲﾗ,0990125,1
瀬戸瀬東町,ｾﾄｾﾋｶﾞｼﾏﾁ,0990341,1
瀬戸瀬西町,ｾﾄｾﾆｼﾏﾁ,0990342,1
千代田,ﾁﾖﾀﾞ,0990425,1
留岡,ﾄﾒｵｶ,0990408,1
豊里,ﾄﾖｻﾄ,0990412,1
西町,ﾆｼﾏﾁ,0990428,1
野上,ﾉｶﾞﾐ,0990344,1
東白滝,ﾋｶﾞｼｼﾗﾀｷ,0990124,1
東町,ﾋｶﾞｼﾏﾁ,0990410,1
福路,ﾌｸﾛ,0990421,1
丸瀬布金山,ﾏﾙｾｯﾌﾟｶﾅﾔﾏ,0990211,1
丸瀬布上丸,ﾏﾙｾｯﾌﾟｶﾐﾏﾙ,0990212,1
丸瀬布上武利,ﾏﾙｾｯﾌﾟｶﾐﾑﾘｲ,0990213,1
丸瀬布新町,ﾏﾙｾｯﾌﾟｼﾝﾏﾁ,0990201,1
丸瀬布大平,ﾏﾙｾｯﾌﾟﾀｲﾍｲ,0990214,1
丸瀬布天神町,ﾏﾙｾｯﾌﾟﾃﾝｼﾞﾝﾏﾁ,0990202,1
丸瀬布中町,ﾏﾙｾｯﾌﾟﾅｶﾏﾁ,0990203,1
丸瀬布西町,ﾏﾙｾｯﾌﾟﾆｼﾏﾁ,0990204,1
丸瀬布東町,ﾏﾙｾｯﾌﾟﾋｶﾞｼﾏﾁ,0990205,1
丸瀬布水谷町,ﾏﾙｾｯﾌﾟﾐｽﾞﾀﾆﾏﾁ,0990206,1
丸瀬布南丸,ﾏﾙｾｯﾌﾟﾐﾅﾐﾏﾙ,0990215,1
丸瀬布武利,ﾏﾙｾｯﾌﾟﾑﾘｲ,0990216,1
丸瀬布元町,ﾏﾙｾｯﾌﾟﾓﾄﾏﾁ,0990207,1
丸大,ﾏﾙﾀﾞｲ,0990407,1
南町,ﾐﾅﾐﾏﾁ,0990414,1
見晴,ﾐﾊﾗｼ,0990427,1
美山,ﾐﾔﾏ,0990424,1
宮前町,ﾐﾔﾏｴﾁｮｳ,0990406,1
向遠軽,ﾑｶｲｴﾝｶﾞﾙ,0990411,1
湯の里,ﾕﾉｻﾄ,0990345,1
若咲内,ﾜｶｻｸﾅｲ,0990346,1
若松,ﾜｶﾏﾂ,0990423,1
一条通南,1ｼﾞｮｳﾄﾞｵﾘﾐﾅﾐ,0990417,1
一条通北,1ｼﾞｮｳﾄﾞｵﾘｷﾀ,0990403,1
二条通南,2ｼﾞｮｳﾄﾞｵﾘﾐﾅﾐ,0990418,1
二条通北,2ｼﾞｮｳﾄﾞｵﾘｷﾀ,0990402,1
