another_name,another_name_kana,post_id,prefecture_id
,,0000000,39
粟生,ｱｵｳ,7890167,39
穴内,ｱﾅﾅｲ,7890307,39
庵谷,ｲｵﾉﾀﾆ,7890237,39
筏木,ｲｶﾀﾞｷﾞ,7890157,39
磯谷,ｲｿﾀﾞﾆ,7890233,39
岩原,ｲﾜﾊﾗ,7890158,39
馬瀬,ｳﾏｾﾞ,7890323,39
尾生,ｵｳ,7890306,39
大久保,ｵｵｸﾎﾞ,7890248,39
大砂子,ｵｵｽﾅｺﾞ,7890247,39
大平,ｵｵﾀﾞｲﾗ,0000000,39
大平高原,ｵｵﾀﾞｲﾗﾀｶﾊﾗ,7890173,39
大滝,ｵｵﾀﾞｷ,0000000,39
大滝落合,ｵｵﾀﾞｷｵﾁｱｲ,7890170,39
小川,ｵｶﾞﾜ,7890316,39
奥大田,ｵｸｵｵﾀ,7890231,39
角茂谷,ｶｸﾓﾀﾞﾆ,7890321,39
梶ケ内,ｶｼﾞｶﾞｳﾁ,7890232,39
梶ケ内石堂,ｶｼﾞｶﾞｳﾁｲｼﾄﾞｳ,7890232,39
梶ケ内佐賀井,ｶｼﾞｶﾞｳﾁｻｶﾞｲ,7890232,39
葛原,ｶｽﾞﾗﾜﾗ,0000000,39
葛原千野々,ｶｽﾞﾗﾜﾗﾁﾉﾉ,7890428,39
上東,ｶﾐﾋｶﾞｼ,7890252,39
川井,ｶﾜｲ,7890172,39
川口,ｶﾜｸﾞﾁ,7890303,39
川口南,ｶﾜｸﾞﾁﾐﾅﾐ,7890313,39
川戸,ｶﾜﾄﾞ,7890241,39
北川,ｷﾀｶﾞﾜ,7890325,39
久寿軒,ｸｽﾉｷ,7890324,39
黒石,ｸﾛｲｼ,7890250,39
佐賀山,ｻｶﾞﾔﾏ,7890255,39
式岩,ｼｷﾉｲﾜ,7890305,39
杉,ｽｷﾞ,7890311,39
高須,ﾀｶｽﾞ,7890312,39
立川上名,ﾀｼﾞｶﾜｶﾐﾐｮｳ,7890426,39
立川下名,ﾀｼﾞｶﾜｼﾓﾐｮｳ,7890427,39
立野,ﾀﾂﾉ,7890168,39
谷,ﾀﾆ,7890304,39
津家,ﾂｹﾞ,7890301,39
津家桧生,ﾂｹﾞﾋﾉｷｵ,7890301,39
連火,ﾂﾚﾋﾞ,7890242,39
寺内,ﾃﾗｳﾁ,7890234,39
寺内大田口,ﾃﾗｳﾁｵｵﾀｸﾞﾁ,7890234,39
戸手野,ﾄﾃﾞﾉ,7890322,39
中内,ﾅｶｳﾁ,7890174,39
中村大王,ﾅｶﾑﾗﾀﾞｲｵｳ,7890315,39
中屋,ﾅｶﾔ,7890251,39
永淵,ﾅｶﾞﾌﾁ,7890245,39
西川,ﾆｼｶﾞﾜ,7890165,39
西久保,ﾆｼｸﾎﾞ,7890243,39
西土居,ﾆｼﾄﾞｲ,7890254,39
西峰,ﾆｼﾐﾈ,0000000,39
西峰三谷,ﾆｼﾐﾈﾐﾀﾆ,7890159,39
怒田,ﾇﾀ,7890162,39
日浦,ﾋｳﾗ,7890314,39
東土居,ﾋｶﾞｼﾄﾞｲ,7890166,39
船戸,ﾌﾅﾄ,7890235,39
南大王,ﾐﾅﾐﾀﾞｲｵｳ,7890163,39
桃原,ﾓﾓﾊﾗ,7890244,39
八川,ﾔｶﾜ,7890156,39
安野々,ﾔｽﾉﾉ,7890253,39
柳野,ﾔﾅｷﾞﾉ,7890246,39
柚木,ﾕﾉｷ,7890161,39
八畝,ﾖｳﾈ,7890164,39
和田,ﾜﾀﾞ,7890236,39
和田目付,ﾜﾀﾞﾒﾂｹ,7890236,39
