another_name,another_name_kana,post_id,prefecture_id
,,0000000,23
青柳町,ｱｵﾔｷﾞﾁｮｳ,4640852,23
赤坂町,ｱｶｻｶﾁｮｳ,4640094,23
揚羽町,ｱｹﾞﾊﾁｮｳ,4640019,23
朝岡町,ｱｻｵｶﾁｮｳ,4640811,23
池上町,ｲｹｶﾞﾐﾁｮｳ,4640029,23
池下,ｲｹｼﾀ,4640067,23
池下町,ｲｹｼﾀﾁｮｳ,4640066,23
池園町,ｲｹｿﾉﾁｮｳ,4640818,23
猪高町猪子石猪々道,ｲﾀｶﾁｮｳｲﾉｺｲｼｼｼﾐﾁ,4640012,23
稲舟通,ｲﾅﾌﾈﾄｵﾘ,4640824,23
井上町,ｲﾉｳｴﾁｮｳ,4640026,23
今池,ｲﾏｲｹ,4640850,23
今池南,ｲﾏｲｹﾐﾅﾐ,4640851,23
上野,ｳｴﾉ,4640082,23
内山,ｳﾁﾔﾏ,4640075,23
大久手町,ｵｵｸﾃﾁｮｳ,4640854,23
大島町,ｵｵｼﾏﾁｮｳ,4640833,23
丘上町,ｵｶｳｴﾁｮｳ,4640837,23
御棚町,ｵﾀﾅﾁｮｳ,4640835,23
鏡池通,ｶｶﾞﾐｲｹﾄｵﾘ,4640816,23
覚王山通,ｶｸｵｳｻﾞﾝﾄｵﾘ,4640841,23
霞ケ丘,ｶｽﾐｶﾞｵｶ,4640041,23
香流橋,ｶﾅﾚﾊﾞｼ,4640002,23
鹿子町,ｶﾉｺﾁｮｳ,4640033,23
鹿子殿,ｶﾉｺﾃﾞﾝ,4640021,23
萱場,ｶﾔﾊﾞ,4640086,23
唐山町,ｶﾗﾔﾏﾁｮｳ,4640806,23
川崎町,ｶﾜｻｷﾁｮｳ,4640826,23
観月町,ｶﾝｹﾞﾂﾁｮｳ,4640831,23
神田町,ｶﾝﾀﾞﾁｮｳ,4640077,23
菊坂町,ｷｸｻﾞｶﾁｮｳ,4640836,23
北千種,ｷﾀﾁｸｻ,4640083,23
希望ケ丘,ｷﾎﾞｳｶﾞｵｶ,4640016,23
京命,ｷｮｳﾒｲ,4640004,23
清住町,ｷﾖｽﾞﾐﾁｮｳ,4640034,23
桐林町,ｷﾘﾊﾞﾔｼﾁｮｳ,4640842,23
楠元町,ｸｽﾓﾄﾁｮｳ,4640037,23
幸川町,ｺｳｶﾞﾜﾁｮｳ,4640815,23
向陽,ｺｳﾖｳ,4640061,23
向陽町,ｺｳﾖｳﾁｮｳ,4640062,23
古出来,ｺﾃﾞｷ,4640085,23
小松町,ｺﾏﾂﾁｮｳ,4640853,23
桜が丘,ｻｸﾗｶﾞｵｶ,4640025,23
山門町,ｻﾝﾓﾝﾁｮｳ,4640064,23
下方町,ｼﾓｶﾀﾁｮｳ,4640096,23
自由ケ丘,ｼﾞﾕｳｶﾞｵｶ,4640044,23
松軒,ｼｮｳｹﾝ,4640084,23
松竹町,ｼｮｳﾁｸﾁｮｳ,4640823,23
汁谷町,ｼﾙﾀﾆﾁｮｳ,4640013,23
城山新町,ｼﾛﾔﾏｼﾝﾏﾁ,4640046,23
城木町,ｼﾛｷﾁｮｳ,4640846,23
城山町,ｼﾛﾔﾏﾁｮｳ,4640045,23
新池町,ｼﾝｲｹﾁｮｳ,4640027,23
新栄,ｼﾝｻｶｴ,4640859,23
振甫町,ｼﾝﾎﾟﾁｮｳ,4640072,23
新西,ｼﾝﾆｼ,4640003,23
末盛通,ｽｴﾓﾘﾄｵﾘ,4640821,23
清明山,ｾｲﾒｲﾔﾏ,4640087,23
園山町,ｿﾉﾔﾏﾁｮｳ,4640812,23
高見,ﾀｶﾐ,4640073,23
竹越,ﾀｹｺｼ,4640007,23
田代町,ﾀｼﾛﾁｮｳ,0000000,23
田代町岩谷,ﾀｼﾛﾁｮｳｲﾜﾔ,4640053,23
田代町鹿子殿,ﾀｼﾛﾁｮｳｶﾉｺﾃﾞﾝ,4640023,23
田代町瓶杁,ﾀｼﾛﾁｮｳｶﾒｲﾘ,4640803,23
田代町四観音道東,ﾀｼﾛﾁｮｳｼｶﾝﾉﾝﾐﾁﾋｶﾞｼ,4640051,23
田代町四観音道西,ﾀｼﾛﾁｮｳｼｶﾝﾉﾝﾐﾁﾆｼ,4640052,23
田代町蝮ケ池上,ﾀｼﾛﾁｮｳﾏﾑｼｶﾞｲｹｶﾞﾐ,4640054,23
田代本通,ﾀｼﾛﾎﾝﾄｵﾘ,4640827,23
谷口町,ﾀﾆｸﾞﾁﾁｮｳ,4640081,23
千種,ﾁｸｻ,4640858,23
千種通,ﾁｸｻﾄｵﾘ,4640855,23
茶屋が坂,ﾁｬﾔｶﾞｻｶ,4640092,23
茶屋坂通,ﾁｬﾔｻｶﾄｵﾘ,4640093,23
千代が丘,ﾁﾖｶﾞｵｶ,4640005,23
千代田橋,ﾁﾖﾀﾞﾊﾞｼ,4640011,23
月ケ丘,ﾂｷｶﾞｵｶ,4640043,23
月見坂町,ﾂｷﾐｻﾞｶﾁｮｳ,4640056,23
天白町植田,ﾃﾝﾊﾟｸﾁｮｳｳｴﾀﾞ,4640871,23
天満通,ﾃﾝﾏﾄﾞｵﾘ,4640095,23
東明町,ﾄｳﾒｲﾁｮｳ,4640028,23
徳川山町,ﾄｸｶﾞﾜﾔﾏﾁｮｳ,4640031,23
仲田,ﾅｶﾀ,4640074,23
鍋屋上野町,ﾅﾍﾞﾔｳｴﾉﾁｮｳ,0000000,23
鍋屋上野町汁谷,ﾅﾍﾞﾔｳｴﾉﾁｮｳｼﾙﾀﾆ,4640017,23
鍋屋上野町東脇,ﾅﾍﾞﾔｳｴﾉﾁｮｳﾋｶﾞｼﾜｷ,4640097,23
鍋屋上野町北山,ﾅﾍﾞﾔｳｴﾉﾁｮｳｷﾀﾔﾏ,4640018,23
南明町,ﾅﾝﾒｲﾁｮｳ,4640845,23
仁座町,ﾆｻﾞﾁｮｳ,4640813,23
西崎町,ﾆｼｻｷﾁｮｳ,4640825,23
