another_name,another_name_kana,post_id,prefecture_id
,,0000000,23
曙町,ｱｹﾎﾞﾉﾁｮｳ,4660003,23
阿由知通,ｱﾕﾁﾄｵﾘ,4660027,23
荒田町,ｱﾗﾀﾁｮｳ,4660844,23
伊勝町,ｲｶﾂﾁｮｳ,4660805,23
池端町,ｲｹﾊﾞﾀﾁｮｳ,4660043,23
石仏町,ｲｼﾎﾞﾄｹﾁｮｳ,4660023,23
永金町,ｴｲｷﾝﾁｮｳ,4660047,23
恵方町,ｴﾎｳﾁｮｳ,4660037,23
円上町,ｴﾝｼﾞｮｳﾁｮｳ,4660054,23
折戸町,ｵﾘﾄﾞﾁｮｳ,4660858,23
神村町,ｶﾐﾑﾗﾁｮｳ,4660802,23
上山町,ｶﾐﾔﾏﾁｮｳ,4660836,23
川名町,ｶﾜﾅﾁｮｳ,4660856,23
川名本町,ｶﾜﾅﾎﾝﾏﾁ,4660855,23
川名山町,ｶﾜﾅﾔﾏﾁｮｳ,4660827,23
川原通,ｶﾜﾊﾗﾄｵﾘ,4660853,23
菊園町,ｷｸｿﾞﾉﾁｮｳ,4660843,23
北山町,ｷﾀﾔﾏﾁｮｳ,4660006,23
北山本町,ｷﾀﾔﾏﾎﾝﾏﾁ,4660016,23
車田町,ｸﾙﾏﾀﾞﾁｮｳ,4660001,23
紅梅町,ｺｳﾊﾞｲﾁｮｳ,4660031,23
御器所,ｺﾞｷｿ,4660051,23
御器所町,ｺﾞｷｿﾁｮｳ,4660061,23
御器所通,ｺﾞｷｿﾄｵﾘ,4660015,23
五軒家町,ｺﾞｹﾝﾔﾁｮｳ,4660838,23
小坂町,ｺｻｶﾁｮｳ,4660021,23
小桜町,ｺｻｸﾗﾁｮｳ,4660012,23
駒方町,ｺﾏｶﾞﾀﾁｮｳ,4660832,23
桜山町,ｻｸﾗﾔﾏﾁｮｳ,4660044,23
塩付通,ｼｵﾂｹﾄｵﾘ,4660022,23
汐見町,ｼｵﾐﾁｮｳ,4660837,23
下構町,ｼﾓｶﾞﾏｴﾁｮｳ,4660025,23
白金,ｼﾗｶﾈ,4660058,23
台町,ﾀﾞｲﾏﾁ,4660033,23
田面町,ﾀｵﾓﾁｮｳ,4660801,23
高辻町,ﾀｶﾂｼﾞﾁｮｳ,4660057,23
高峯町,ﾀｶﾐﾈﾁｮｳ,4660811,23
滝川町,ﾀｷｶﾜﾁｮｳ,4660826,23
滝子町,ﾀｷｺﾁｮｳ,4660053,23
滝子通,ﾀｷｺﾞﾄｵﾘ,4660055,23
檀溪通,ﾀﾞﾝｹｲﾄｵﾘ,4660842,23
鶴羽町,ﾂﾙﾊﾁｮｳ,4660011,23
鶴舞,ﾂﾙﾏｲ,4660064,23
鶴舞町,ﾂﾙﾏｲﾁｮｳ,4660065,23
出口町,ﾃﾞｸﾞﾁﾁｮｳ,4660041,23
天神町,ﾃﾝｼﾞﾝﾁｮｳ,4660032,23
東郊通,ﾄｳｺｳﾄｵﾘ,4660056,23
陶生町,ﾄｳｾｲﾁｮｳ,4660026,23
東畑町,ﾄｳﾊﾀﾁｮｳ,4660014,23
戸田町,ﾄﾀﾞﾁｮｳ,4660846,23
長池町,ﾅｶﾞｲｹﾁｮｳ,4660847,23
長戸町,ﾅｶﾞﾄﾁｮｳ,4660848,23
西畑町,ﾆｼﾊﾞﾀﾁｮｳ,4660806,23
萩原町,ﾊｷﾞﾜﾗﾁｮｳ,4660852,23
狭間町,ﾊｻﾞﾏﾁｮｳ,4660062,23
花見通,ﾊﾅﾐﾄｵﾘ,4660831,23
隼人町,ﾊﾔﾄﾁｮｳ,4660833,23
広池町,ﾋﾛｲｹﾁｮｳ,4660042,23
広路町,ﾋﾛｼﾞﾁｮｳ,4660834,23
広路通,ﾋﾛｼﾞﾄｵﾘ,4660854,23
広路本町,ﾋﾛｼﾞﾎﾝﾏﾁ,4660841,23
広瀬町,ﾋﾛｾﾁｮｳ,4660004,23
広見町,ﾋﾛﾐﾁｮｳ,4660046,23
吹上町,ﾌｷｱｹﾞﾁｮｳ,4660002,23
福江,ﾌｸｴ,4660059,23
福原町,ﾌｸﾊﾗﾁｮｳ,4660803,23
藤成通,ﾌｼﾞﾅﾘﾄｵﾘ,4660845,23
前山町,ﾏｴﾔﾏﾁｮｳ,4660821,23
松風町,ﾏﾂｶｾﾞﾁｮｳ,4660035,23
丸屋町,ﾏﾙﾔﾁｮｳ,4660045,23
緑町,ﾐﾄﾞﾘﾁｮｳ,4660013,23
南山町,ﾐﾅﾐﾔﾏﾁｮｳ,4660835,23
南分町,ﾐﾅﾐﾜｹﾁｮｳ,4660849,23
宮東町,ﾐﾔﾋｶﾞｼﾁｮｳ,4660804,23
妙見町,ﾐｮｳｹﾝﾁｮｳ,4660814,23
向山町,ﾑｶｲﾔﾏﾁｮｳ,4660829,23
村雲町,ﾑﾗｸﾓﾁｮｳ,4660052,23
明月町,ﾒｲｹﾞﾂﾁｮｳ,4660034,23
元宮町,ﾓﾄﾐﾔﾁｮｳ,4660851,23
八雲町,ﾔｸﾓﾁｮｳ,4660823,23
八事富士見,ﾔｺﾞﾄﾌｼﾞﾐ,4660812,23
八事本町,ﾔｺﾞﾄﾎﾝﾏﾁ,4660825,23
安田通,ﾔｽﾀﾞﾄｵﾘ,4660857,23
山里町,ﾔﾏｻﾞﾄﾁｮｳ,4660824,23
大和町,ﾔﾏﾄﾁｮｳ,4660024,23
