another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
青山,ｱｵﾔﾏ,0830044,1
旭町,ｱｻﾋﾏﾁ,0830001,1
大通,ｵｵﾄﾞｵﾘ,0830090,1
大通南,ｵｵﾄﾞｵﾘﾐﾅﾐ,0830020,1
大森,ｵｵﾓﾘ,0893151,1
川合,ｶﾜｲ,0830041,1
清見,ｷﾖﾐ,0830002,1
清見ケ丘,ｷﾖﾐｶﾞｵｶ,0830003,1
様舞,ｻﾏﾏｲ,0830004,1
昭栄,ｼｮｳｴｲ,0830047,1
高島,ﾀｶｼﾏ,0893152,1
近牛,ﾁｶｳｼ,0893153,1
千代田,ﾁﾖﾀﾞ,0830042,1
東台,ﾄｳﾀﾞｲ,0830046,1
常盤,ﾄｷﾜ,0893156,1
利別東町,ﾄｼﾍﾞﾂﾋｶﾞｼﾏﾁ,0830032,1
利別西町,ﾄｼﾍﾞﾂﾆｼﾏﾁ,0830031,1
利別南町,ﾄｼﾍﾞﾂﾐﾅﾐﾏﾁ,0830033,1
利別本町,ﾄｼﾍﾞﾂﾓﾄﾏﾁ,0830034,1
富岡,ﾄﾐｵｶ,0830045,1
豊田,ﾄﾖﾀ,0830043,1
西一条,ﾆｼ1ｼﾞｮｳ,0830021,1
西二条,ﾆｼ2ｼﾞｮｳ,0830022,1
西三条,ﾆｼ3ｼﾞｮｳ,0830023,1
信取,ﾉﾌﾞﾄﾘ,0893154,1
東一条,ﾋｶﾞｼ1ｼﾞｮｳ,0830091,1
東二条,ﾋｶﾞｼ2ｼﾞｮｳ,0830092,1
美加登,ﾐｶﾄﾞ,0893155,1
