another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
安徳,ｱﾝﾄｸ,8111224,40
市ノ瀬,ｲﾁﾉｾ,8111233,40
今光,ｲﾏﾐﾂ,8111211,40
後野,ｳｼﾛﾉ,8111241,40
埋金,ｳﾒｶﾞﾈ,8111232,40
恵子,ｴｺ,8111255,40
王塚台,ｵｳﾂｶﾀﾞｲ,8111221,40
片縄,ｶﾀﾅﾜ,8111201,40
片縄北,ｶﾀﾅﾜｷﾀ,8111203,40
片縄西,ｶﾀﾅﾜﾆｼ,8111202,40
片縄東,ｶﾀﾅﾜﾋｶﾞｼ,8111204,40
上梶原,ｶﾐｶｼﾞﾜﾗ,8111223,40
五ケ山,ｺﾞｶﾔﾏ,8111234,40
五郎丸,ｺﾞﾛｳﾏﾙ,8111252,40
下梶原,ｼﾓｶｼﾞﾜﾗ,8111222,40
仲,ﾁｭｳ,8111253,40
仲丸,ﾁｭｳﾏﾙ,8111256,40
道善,ﾄﾞｳｾﾞﾝ,8111254,40
中原,ﾅｶﾊﾞﾙ,8111213,40
中原東,ﾅｶﾊﾞﾙﾋｶﾞｼ,8111214,40
南面里,ﾅﾒﾘ,8111236,40
成竹,ﾅﾙﾀｹ,8111235,40
西隈,ﾆｼｸﾞﾏ,8111242,40
西畑,ﾆｼﾊﾀ,8111246,40
東隈,ﾋｶﾞｼｸﾞﾏ,8111243,40
不入道,ﾌﾆｭｳﾄﾞｳ,8111231,40
別所,ﾍﾞｯｼｮ,8111245,40
松木,ﾏﾂﾉｷ,8111251,40
松原,ﾏﾂﾊﾞﾙ,8111215,40
観晴が丘,ﾐﾊﾙｶﾞｵｶ,8111216,40
山田,ﾔﾏﾀﾞ,8111244,40
