another_name,another_name_kana,post_id,prefecture_id
,,0000000,37
生間,ｲｶﾏ,7690313,37
後山,ｳｼﾛﾔﾏ,7690315,37
追上,ｵｲｱｹﾞ,7690319,37
大口,ｵｵｸﾁ,7690316,37
買田,ｶｲﾀ,7690311,37
勝浦,ｶﾂｳﾗ,7660204,37
川東,ｶﾜﾋｶﾞｼ,7660203,37
神野,ｶﾝﾉ,7660024,37
岸上,ｷｼﾉｳｴ,7660026,37
公文,ｸﾓﾝ,7660011,37
五條,ｺﾞｼﾞｮｳ,7660027,37
佐文,ｻﾌﾞﾐ,7690301,37
塩入,ｼｵｲﾘ,7690302,37
四條,ｼｼﾞｮｳ,7660021,37
七箇,ｼﾁｶ,7690303,37
新目,ｼﾝﾒ,7690317,37
炭所西,ｽﾐｼｮﾆｼ,7660017,37
炭所東,ｽﾐｼｮﾋｶﾞｼ,7660016,37
造田,ｿｳﾀﾞ,7660201,37
長尾,ﾅｶﾞｵ,7660015,37
中通,ﾅｶﾄ,7660202,37
西高篠,ﾆｼﾀｶｼﾉ,7660012,37
羽間,ﾊｻﾞﾏ,7660014,37
東高篠,ﾋｶﾞｼﾀｶｼﾉ,7660013,37
帆山,ﾎﾉﾔﾏ,7690314,37
真野,ﾏﾉ,7660025,37
宮田,ﾐﾔﾀﾞ,7690312,37
山脇,ﾔﾏﾜｷ,7690318,37
吉野,ﾖｼﾉ,7660023,37
吉野下,ﾖｼﾉｼﾓ,7660022,37
