another_name,another_name_kana,post_id,prefecture_id
,,0000000,21
阿木,ｱｷﾞ,0000000,21
阿木川上,ｱｷﾞｶｵﾚ,5080002,21
飯沼,ｲｲﾇﾏ,5097322,21
上野,ｳｴﾉ,5099231,21
えびす町,ｴﾋﾞｽﾁｮｳ,5080037,21
太田町,ｵｵﾀﾏﾁ,5080033,21
小川町,ｵｶﾞﾜﾁｮｳ,5080023,21
落合,ｵﾁｱｲ,5080006,21
加子母,ｶｼﾓ,5080421,21
かやの木町,ｶﾔﾉｷﾁｮｳ,5080045,21
川上,ｶﾜｳｴ,5099201,21
北野町,ｷﾀﾉﾁｮｳ,5080022,21
駒場,ｺﾏﾝﾊﾞ,5080011,21
駒場町,ｺﾏﾝﾊﾞﾁｮｳ,5080014,21
栄町,ｻｶｴﾏﾁ,5080032,21
坂下,ｻｶｼﾀ,5099232,21
下野,ｼﾓﾉ,5080202,21
昭和町,ｼｮｳﾜﾏﾁ,5080044,21
新町,ｼﾝﾏﾁ,5080038,21
瀬戸,ｾﾄ,5080111,21
千旦林,ｾﾝﾀﾞﾝﾊﾞﾔｼ,5099131,21
高山,ﾀｶﾔﾏ,5080204,21
田瀬,ﾀｾ,5080201,21
付知町,ﾂｹﾁﾁｮｳ,5080351,21
津島町,ﾂｼﾏﾁｮｳ,5080012,21
手賀野,ﾃｶﾞﾉ,5080015,21
苗木,ﾅｴｷﾞ,5080101,21
中一色町,ﾅｶｲｯｼｷﾁｮｳ,5080003,21
中川町,ﾅｶｶﾞﾜﾁｮｳ,5080021,21
中津川,ﾅｶﾂｶﾞﾜ,5080001,21
茄子川,ﾅｽﾋﾞｶﾞﾜ,5099132,21
西宮町,ﾆｼﾐﾔﾏﾁ,5080042,21
八幡町,ﾊﾁﾏﾝﾁｮｳ,5080043,21
花戸町,ﾊﾅﾄﾞﾁｮｳ,5080004,21
東町,ﾋｶﾞｼﾏﾁ,5080035,21
東宮町,ﾋｶﾞｼﾐﾔﾏﾁ,5080036,21
日の出町,ﾋﾉﾃﾞﾁｮｳ,5080005,21
蛭川,ﾋﾙｶﾜ,5098301,21
福岡,ﾌｸｵｶ,5080203,21
本町,ﾎﾝﾏﾁ,5080041,21
馬籠,ﾏｺﾞﾒ,5080502,21
神坂,ﾐｻｶ,5080007,21
宮前町,ﾐﾔﾏｴﾁｮｳ,5080031,21
桃山町,ﾓﾓﾔﾏﾁｮｳ,5080024,21
柳町,ﾔﾅｷﾞﾏﾁ,5080013,21
山口,ﾔﾏｸﾞﾁ,5080501,21
淀川町,ﾖﾄﾞｶﾞﾜﾁｮｳ,5080034,21
