another_name,another_name_kana,post_id,prefecture_id
,,0000000,16
赤浜,ｱｶﾊﾏ,9360843,16
赤浜栄町,ｱｶﾊﾏｻｶｴﾏﾁ,9360842,16
吾妻町,ｱﾂﾞﾏﾁｮｳ,0000000,16
荒俣,ｱﾗﾏﾀ,9360006,16
荒俣新町,ｱﾗﾏﾀｼﾝﾏﾁ,9360007,16
荒町,ｱﾗﾏﾁ,9360042,16
有金,ｱﾘｶﾈ,9360855,16
泉ケ丘,ｲｽﾞﾐｶﾞｵｶ,9360055,16
稲泉,ｲﾅｲｽﾞﾐ,9360877,16
稲泉新,ｲﾅｲｽﾞﾐｼﾝ,9360876,16
今町,ｲﾏﾏﾁ,9360031,16
魚躬,ｳｵﾉﾐ,9360077,16
馬町,ｳﾏﾏﾁ,9360044,16
江尻,ｴｼﾞﾘ,9360075,16
夷子町,ｴﾋﾞｽﾏﾁ,9360039,16
追分,ｵｲﾜｹ,9360808,16
大浦,ｵｵｳﾗ,9360811,16
大榎,ｵｵｴﾉｷ,9360874,16
大掛,ｵｵｶﾞｹ,9360802,16
大窪,ｵｵｸﾎﾞ,9360805,16
大崎野,ｵｵｻｷﾉ,9360833,16
大島,ｵｵｼﾞﾏ,9360801,16
大島新,ｵｵｼﾞﾏｼﾝ,9360871,16
大林,ｵｵﾊﾞﾔｼ,9360818,16
大町,ｵｵﾏﾁ,9360047,16
沖田新,ｵｷﾀﾞｼﾝ,9360851,16
改養寺,ｶｲﾖｳｼﾞ,9360836,16
笠木,ｶｻｷﾞ,9360004,16
加島町,ｶｼﾏﾁｮｳ,9360068,16
金屋,ｶﾅﾔ,9360864,16
上梅沢,ｶﾐｳﾒｻﾞﾜ,9360853,16
上大浦,ｶﾐｵｵｳﾗ,9360811,16
上小泉,ｶﾐｺｲｽﾞﾐ,0000000,16
上島,ｶﾐｼﾞﾏ,9360852,16
河浦町,ｶﾜｳﾗﾁｮｳ,9360046,16
河端町,ｶﾜﾊﾞﾀﾏﾁ,9360064,16
北野,ｷﾀﾉ,9360806,16
北町,ｷﾀﾏﾁ,9360038,16
栗山,ｸﾘﾔﾏ,9360803,16
公園通り,ｺｳｴﾝﾄﾞｵﾘ,9360026,16
小林,ｺﾊﾞﾔｼ,9360854,16
菰原,ｺﾓﾊﾗ,9360066,16
菰原台,ｺﾓﾊﾗﾀﾞｲ,9360067,16
小森,ｺﾓﾘ,9360822,16
幸町,ｻｲﾜｲﾁｮｳ,9360073,16
晒屋,ｻﾗｼﾔ,9360059,16
三ケ,ｻﾝｶﾞ,9360001,16
山王町,ｻﾝﾉｳﾏﾁ,9360069,16
寺家町,ｼﾞｹｲﾏﾁ,9360051,16
四間町,ｼｹﾝﾁｮｳ,9360035,16
七間町,ｼﾁｹﾝﾁｮｳ,9360045,16
柴,ｼﾊﾞ,9360841,16
清水町,ｼﾐｽﾞﾁｮｳ,9360052,16
下梅沢,ｼﾓｳﾒｻﾞﾜ,9360857,16
下大浦,ｼﾓｵｵｳﾗ,9360811,16
下小泉町,ｼﾓｺｲｽﾞﾐﾏﾁ,9360058,16
下島,ｼﾓｼﾞﾏ,9360065,16
下野,ｼﾓﾉ,9360817,16
常光寺,ｼﾞｮｳｺｳｼﾞ,9360848,16
神家町,ｼﾞﾝｶﾏﾁ,9360060,16
新富町,ｼﾝﾄﾐﾁｮｳ,9360074,16
神明町,ｼﾝﾒｲﾁｮｳ,9360032,16
杉本,ｽｷﾞﾓﾄ,9360804,16
瀬羽町,ｾﾜﾏﾁ,9360063,16
大日,ﾀﾞｲﾆﾁ,9360813,16
大門,ﾀﾞｲﾓﾝ,9360856,16
高塚,ﾀｶﾂｶ,9360011,16
高塚曙町,ﾀｶﾂｶｱｹﾎﾞﾉﾁｮｳ,9360012,16
高塚寿町,ﾀｶﾂｶｺﾄﾌﾞｷﾏﾁ,9360015,16
高塚新市営住宅,ﾀｶﾂｶｼﾝｼｴｲｼﾞｭｳﾀｸ,9360013,16
高塚新町,ﾀｶﾂｶｼﾝﾏﾁ,9360014,16
高月町,ﾀｶﾂｷﾏﾁ,9360078,16
高月南台,ﾀｶﾂｷﾐﾅﾐﾀﾞｲ,9360076,16
高柳,ﾀｶﾔﾅｷﾞ,9360849,16
辰野,ﾀﾂﾉ,9360024,16
辰野新町,ﾀﾂﾉｼﾝﾏﾁ,9360022,16
田中新町,ﾀﾅｶｼﾝﾏﾁ,9360056,16
田中町,ﾀﾅｶﾏﾁ,9360057,16
田林,ﾀﾊﾞﾔｼ,9360826,16
千鳥,ﾁﾄﾞﾘ,9360814,16
坪川,ﾂﾎﾞｶﾜ,9360018,16
坪川新,ﾂﾎﾞｶﾜｼﾝ,9360019,16
寺町,ﾃﾗﾏﾁ,9360844,16
天望町,ﾃﾝﾎﾞｳﾁｮｳ,9360847,16
道寺,ﾄﾞｳｼﾞ,9360838,16
東福寺,ﾄｳﾌｸｼﾞ,9360827,16
東福寺野,ﾄｳﾌｸｼﾞﾉ,9360823,16
東福寺開,ﾄｳﾌｸｼﾞﾋﾞﾗｷ,9360834,16
