another_name,another_name_kana,post_id,prefecture_id
,,0000000,17
相生町,ｱｲｵｲﾁｮｳ,9260044,17
青葉台町,ｱｵﾊﾞﾀﾞｲﾏﾁ,9260823,17
青山町,ｱｵﾔﾏﾏﾁ,9260831,17
赤浦町,ｱｶｳﾗﾏﾁ,9260843,17
旭町,ｱｻﾋﾏﾁ,9260833,17
麻生町,ｱｿｳﾏﾁ,9260372,17
阿良町,ｱﾗﾏﾁ,9260807,17
新屋町,ｱﾗﾔﾏﾁ,9292105,17
庵町,ｲｵﾘﾏﾁ,0000000,17
庵町白鳥町,ｲｵﾘﾏﾁｼﾗﾄﾘﾏﾁ,9260364,17
庵町百海町,ｲｵﾘﾏﾁﾄﾞｳﾐﾏﾁ,9260365,17
庵町虫崎町,ｲｵﾘﾏﾁﾑｼｻｷﾏﾁ,9260367,17
飯川町,ｲｶﾞﾜﾏﾁ,9260826,17
伊久留町,ｲｸﾛﾏﾁ,9292114,17
池崎町,ｲｹｻﾞｷﾏﾁ,9260831,17
生駒町,ｲｺﾏﾁｮｳ,9260804,17
石崎町,ｲｼｻﾞｷﾏﾁ,0000000,17
石崎町香島,ｲｼｻﾞｷﾏﾁｶｼﾏ,9260178,17
石崎町西,ｲｼｻﾞｷﾏﾁﾆｼ,9260173,17
石崎町東,ｲｼｻﾞｷﾏﾁﾋｶﾞｼ,9260172,17
一本杉町,ｲｯﾎﾟﾝｽｷﾞﾏﾁ,9260806,17
今町,ｲﾏﾏﾁ,9260055,17
岩屋町,ｲﾜﾔﾏﾁ,9260816,17
魚町,ｳｵﾏﾁ,9260864,17
後畠町,ｳｼﾛﾊﾞﾀｹﾏﾁ,9260027,17
鵜浦町,ｳﾉｳﾗﾏﾁ,9260001,17
馬出町,ｳﾏﾀﾞｼﾏﾁ,9260818,17
上野ケ丘町,ｳﾜﾉｶﾞｵｶﾏﾁ,9292122,17
江曽町,ｴｿﾏﾁ,9260825,17
江泊町,ｴﾉﾄﾏﾘﾏﾁ,0000000,17
江泊町白鳥町,ｴﾉﾄﾏﾘﾏﾁｼﾗﾄﾏﾘﾏﾁ,9260364,17
江泊町日室町,ｴﾉﾄﾏﾘﾏﾁﾋﾑﾛﾏﾁ,9260361,17
大田新町,ｵｵﾀｼﾝﾏﾁ,9260006,17
大田町,ｵｵﾀﾏﾁ,9260006,17
大津町,ｵｵﾂﾏﾁ,9292126,17
大手町,ｵｵﾃﾏﾁ,9260047,17
大泊町,ｵｵﾄﾏﾘﾏﾁ,9260384,17
大野木町,ｵｵﾉｷﾞﾏﾁ,9260362,17
岡町,ｵｶﾏﾁ,9260005,17
奥原町,ｵｸﾊﾗﾏﾁ,9260174,17
小栗町,ｵｸﾞﾘﾏﾁ,9260373,17
垣吉町,ｶｷﾖｼﾏﾁ,9292104,17
鍛冶町,ｶｼﾞﾏﾁ,9260057,17
上府中町,ｶﾐﾌﾁｭｳﾏﾁ,9260053,17
亀山町,ｶﾒﾔﾏﾁｮｳ,9260805,17
川尻町,ｶﾜｼﾘﾏﾁ,9292101,17
川原町,ｶﾜﾗﾏﾁ,9260054,17
北藤橋町,ｷﾀﾌｼﾞﾊｼﾏﾁ,9260812,17
木町,ｷﾏﾁ,9260808,17
熊淵町,ｸﾏﾌﾞﾁﾏﾁ,0000000,17
熊淵町滝の尻町,ｸﾏﾌﾞﾁﾏﾁﾀｷﾉｼﾘﾏﾁ,9260389,17
熊淵町水上町,ｸﾏﾌﾞﾁﾏﾁﾐｽﾞｶﾐﾏﾁ,9260388,17
黒崎町,ｸﾛｻｷﾏﾁ,9260381,17
小池川原町,ｺｲｹｶﾞﾜﾗﾏﾁ,9260026,17
柑子町,ｺｳｼﾞﾏﾁ,9260375,17
光陽台,ｺｳﾖｳﾀﾞｲ,9260177,17
郡町,ｺｵﾘﾏﾁ,9260051,17
国下町,ｺｸｶﾞﾏﾁ,9260037,17
国分町,ｺｸﾌﾞﾏﾁ,9260821,17
小島町,ｺｼﾞﾏﾏﾁ,9260852,17
寿町,ｺﾄﾌﾞｷﾁｮｳ,9260861,17
小丸山台,ｺﾏﾙﾔﾏﾀﾞｲ,9260855,17
米町,ｺﾒﾏﾁ,9260803,17
栄町,ｻｶｴﾏﾁ,9260815,17
作事町,ｻｸｼﾞﾏﾁ,9260042,17
桜町,ｻｸﾗﾏﾁ,9260867,17
佐々波町,ｻｻﾞﾅﾐﾏﾁ,9260371,17
佐野町,ｻﾉﾏﾁ,9260013,17
佐味町,ｻﾐﾏﾁ,9260011,17
沢野町,ｻﾜﾉﾏﾁ,9260003,17
山王町,ｻﾝﾉｳﾏﾁ,9260052,17
七原町,ｼﾂﾊﾗﾏﾁ,9292115,17
清水平町,ｼﾐｽﾞﾀﾞｲﾗﾏﾁ,9260374,17
下町,ｼﾓﾏﾁ,9260824,17
昭和町,ｼｮｳﾜﾏﾁ,9260801,17
白浜町,ｼﾗﾊﾏﾏﾁ,9292124,17
白馬町,ｼﾛｳﾏﾏﾁ,9260828,17
白銀町,ｼﾛｶﾞﾈﾁｮｳ,9260863,17
新保町,ｼﾝﾎﾞﾏﾁ,9260845,17
神明町,ｼﾝﾒｲﾁｮｳ,9260046,17
杉森町,ｽｷﾞﾓﾘﾏﾁ,9292112,17
泉南台,ｾﾝﾅﾝﾀﾞｲ,9260179,17
袖ケ江町,ｿﾃﾞｶﾞｴﾁｮｳ,9260045,17
外林町,ｿﾄﾊﾞﾔｼﾏﾁ,9260376,17
祖浜町,ｿﾊﾏﾏﾁ,9260846,17
高田町,ﾀｶﾀﾏﾁ,9292111,17
竹町,ﾀｹﾏﾁ,9260023,17
直津町,ﾀﾀﾞﾂﾏﾁ,9260844,17
橘町,ﾀﾁﾊﾞﾅﾁｮｳ,9260043,17
田鶴浜町,ﾀﾂﾙﾊﾏﾏﾁ,9292121,17
多根町,ﾀﾈﾏﾁ,9260034,17
千野町,ﾁﾉﾏﾁ,9260033,17
つつじが浜,ﾂﾂｼﾞｶﾞﾊﾏ,9260851,17
津向町,ﾂﾑｷﾞﾏﾁ,9260853,17
天神川原町,ﾃﾝｼﾞﾝｶﾜﾗﾏﾁ,9260022,17
東浜町,ﾄｳﾉﾊﾏﾏﾁ,9260383,17
常盤町,ﾄｷﾜﾏﾁ,9260862,17
徳田新町,ﾄｸﾀﾞｼﾝﾏﾁ,9260829,17
徳田町,ﾄｸﾀﾞﾏﾁ,9260824,17
所口町,ﾄｺﾛｸﾞﾁﾏﾁ,9260814,17
殿町,ﾄﾉﾏﾁ,9260004,17
富岡町,ﾄﾐｵｶﾁｮｳ,9260866,17
巴町,ﾄﾓｴﾏﾁ,9260021,17
中島町上畠,ﾅｶｼﾞﾏﾏﾁｳﾜﾊﾞﾀｹ,9292204,17
中島町大平,ﾅｶｼﾞﾏﾏﾁｵｵﾀﾞｲﾗ,9292207,17
中島町奥吉田,ﾅｶｼﾞﾏﾏﾁｵｸﾖｼﾀ,9292231,17
中島町小牧,ﾅｶｼﾞﾏﾏﾁｵﾏｷ,9292214,17
中島町笠師,ﾅｶｼﾞﾏﾏﾁｶｻｼ,9292233,17
中島町鹿島台,ﾅｶｼﾞﾏﾏﾁｶｼﾏﾀﾞｲ,9292217,17
中島町河崎,ﾅｶｼﾞﾏﾏﾁｶﾜｻﾞｷ,9292243,17
中島町河内,ﾅｶｼﾞﾏﾏﾁｶﾜﾁ,9292201,17
中島町上町,ﾅｶｼﾞﾏﾏﾁｶﾝﾏﾁ,9292223,17
中島町北免田,ﾅｶｼﾞﾏﾏﾁｷﾀﾒﾝﾃﾞﾝ,9292203,17
中島町崎山,ﾅｶｼﾞﾏﾏﾁｻｷﾔﾏ,9292242,17
中島町塩津,ﾅｶｼﾞﾏﾏﾁｼｵﾂ,9292234,17
中島町瀬嵐,ﾅｶｼﾞﾏﾏﾁｾｱﾗｼ,9292218,17
中島町外,ﾅｶｼﾞﾏﾏﾁｿﾃﾞ,9292213,17
中島町外原,ﾅｶｼﾞﾏﾏﾁｿﾄﾞﾊﾗ,9292247,17
中島町田岸,ﾅｶｼﾞﾏﾏﾁﾀｷﾞｼ,9292212,17
中島町土川,ﾅｶｼﾞﾏﾏﾁﾂﾁｶﾜ,9292246,17
中島町豊田,ﾅｶｼﾞﾏﾏﾁﾄﾖﾀ,9292245,17
中島町豊田町,ﾅｶｼﾞﾏﾏﾁﾄﾖﾀﾏﾁ,9292244,17
中島町鳥越,ﾅｶｼﾞﾏﾏﾁﾄﾘｺﾞｴ,9292206,17
中島町長浦,ﾅｶｼﾞﾏﾏﾁﾅｶﾞｳﾗ,9292216,17
中島町中島,ﾅｶｼﾞﾏﾏﾁﾅｶｼﾞﾏ,9292222,17
中島町西谷内,ﾅｶｼﾞﾏﾏﾁﾆｼﾔﾁ,9292209,17
中島町浜田,ﾅｶｼﾞﾏﾏﾁﾊﾏﾀﾞ,9292241,17
中島町深浦,ﾅｶｼﾞﾏﾏﾁﾌｶｳﾗ,9292215,17
中島町藤瀬,ﾅｶｼﾞﾏﾏﾁﾌｼﾞﾉｾ,9292227,17
中島町筆染,ﾅｶｼﾞﾏﾏﾁﾌﾃﾞｿﾒ,9292232,17
