another_name,another_name_kana,post_id,prefecture_id
,,0000000,39
上倉,ｱｹﾞｸﾗ,7830074,39
伊達野,ｲﾀﾁﾉ,7830008,39
稲生,ｲﾅﾌﾞ,7830084,39
植田,ｳｴﾀ,7830063,39
植野,ｳｴﾉ,7830061,39
駅前町,ｴｷﾏｴﾁｮｳ,7830002,39
大改野,ｵｵｶﾞｲﾉ,7830077,39
大そね甲,ｵｵｿﾈｺｳ,7830004,39
大そね乙,ｵｵｿﾈｵﾂ,7830005,39
岡豊町江村,ｵｺｳﾁｮｳｴﾑﾗ,7830046,39
岡豊町笠ノ川,ｵｺｳﾁｮｳｶｻﾉｶﾜ,7830051,39
岡豊町蒲原,ｵｺｳﾁｮｳｶﾓﾊﾗ,7830042,39
岡豊町小篭,ｵｺｳﾁｮｳｺｺﾞﾒ,7830048,39
岡豊町小蓮,ｵｺｳﾁｮｳｺﾊｽ,7830043,39
岡豊町常通寺島,ｵｺｳﾁｮｳｼﾞｮｳﾂｳｼﾞｼﾏ,7830047,39
岡豊町定林寺,ｵｺｳﾁｮｳｼﾞｮｳﾘﾝｼﾞ,7830041,39
岡豊町滝本,ｵｺｳﾁｮｳﾀｷﾓﾄ,7830040,39
岡豊町中島,ｵｺｳﾁｮｳﾅｶｼﾞﾏ,7830049,39
岡豊町八幡,ｵｺｳﾁｮｳﾔﾊﾀ,7830044,39
岡豊町吉田,ｵｺｳﾁｮｳﾖｼﾀﾞ,7830045,39
片山,ｶﾀﾔﾏ,7830081,39
金地,ｶﾅｼﾞ,7830035,39
包末,ｶﾉｽｴ,7830033,39
上末松,ｶﾐｽｴﾏﾂ,7830026,39
上野田,ｶﾐﾉﾀﾞ,7830032,39
亀岩,ｶﾒｲﾜ,7830071,39
久礼田,ｸﾚﾀﾞ,7830062,39
黒滝,ｸﾛﾀｷ,7830076,39
桑ノ川,ｸﾜﾉｶﾜ,7830075,39
国分,ｺｸﾌﾞ,7830053,39
小籠,ｺｺﾞﾒ,7830022,39
後免町,ｺﾞﾒﾝﾏﾁ,7830011,39
才谷,ｻｲﾀﾞﾆ,7830068,39
幸町,ｻｲﾜｲﾁｮｳ,7830013,39
里改田,ｻﾄｶｲﾀﾞ,7830082,39
三畠,ｻﾝﾊﾞｸ,7830027,39
宍崎,ｼｼｻﾞｷ,7830064,39
篠原,ｼﾉﾊﾗ,7830006,39
下島,ｼﾓｼﾞﾏ,7830095,39
下末松,ｼﾓｽｴﾏﾂ,7830025,39
下野田,ｼﾓﾉﾀﾞ,7830031,39
白木谷,ｼﾗｷﾀﾞﾆ,7830058,39
陣山,ｼﾞﾝﾔﾏ,7830028,39
左右山,ｿﾔﾏ,7830052,39
蔵福寺島,ｿﾞｳﾌｸｼﾞｼﾞﾏ,7830037,39
立田,ﾀﾃﾀﾞ,7830091,39
田村,ﾀﾑﾗ,7830092,39
天行寺,ﾃﾝｷﾞｮｳｼﾞ,7830067,39
十市,ﾄｵﾁ,7830085,39
外山,ﾄﾔﾏ,7830065,39
中谷,ﾅｶﾀﾞﾆ,7830073,39
中ノ川,ﾅｶﾉｶﾜ,7830078,39
成合,ﾅﾚｱｲ,7830066,39
奈路,ﾅﾛ,7830072,39
西野田町,ﾆｼﾉﾀﾞﾁｮｳ,7830003,39
西山,ﾆｼﾔﾏ,7830029,39
野中,ﾉﾅｶ,7830021,39
廿枝,ﾊﾀｴﾀﾞ,7830023,39
浜改田,ﾊﾏｶｲﾀﾞ,7830083,39
比江,ﾋｴ,7830054,39
東崎,ﾋｶﾞｼｻﾞｷ,7830024,39
東山町,ﾋｶﾞｼﾔﾏﾏﾁ,7830012,39
久枝,ﾋｻｴﾀﾞ,7830096,39
日吉町,ﾋﾖｼﾁｮｳ,7830001,39
福船,ﾌｸﾌﾞﾈ,7830036,39
双葉台,ﾌﾀﾊﾞﾀﾞｲ,7830055,39
蛍が丘,ﾎﾀﾙｶﾞｵｶ,7830060,39
堀ノ内,ﾎﾘﾉｳﾁ,7830034,39
前浜,ﾏｴﾊﾏ,7830094,39
緑ケ丘,ﾐﾄﾞﾘｶﾞｵｶ,7830086,39
明見,ﾐｮｳｹﾝ,7830007,39
三和琴平,ﾐﾜｺﾄﾋﾗ,7830087,39
元町,ﾓﾄﾏﾁ,7830014,39
物部,ﾓﾉﾍﾞ,7830093,39
八京,ﾔｷｮｳ,7830057,39
領石,ﾘｮｳｾｷ,7830056,39
