another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
青山,ｱｵﾔﾏ,2890112,12
赤荻,ｱｶｵｷﾞ,2860832,12
赤坂,ｱｶｻｶ,2860017,12
芦田,ｱｼﾀﾞ,2860831,12
東町,ｱｽﾞﾏﾁｮｳ,2860025,12
吾妻,ｱﾂﾞﾏ,2860018,12
荒海,ｱﾗｳﾐ,2860818,12
安西,ｱﾝｻｲ,2860803,12
飯田町,ｲｲﾀﾞﾁｮｳ,2860041,12
飯仲,ｲｲﾅｶ,2860046,12
囲護台,ｲｺﾞﾀﾞｲ,2860035,12
磯部,ｲｿﾍﾞ,2860811,12
伊能,ｲﾉｳ,2870204,12
飯岡,ｲﾉｵｶ,2860813,12
ウイング土屋,ｳｲﾝｸﾞﾂﾁﾔ,2860029,12
臼作,ｳｽｸﾘ,2870235,12
江弁須,ｴﾍﾞｽ,2860047,12
大生,ｵｵｳ,2860817,12
大清水,ｵｵｼﾐｽﾞ,2860122,12
大菅,ｵｵｽｹﾞ,2890121,12
大竹,ｵｵﾀﾞｹ,2860841,12
大沼,ｵｵﾇﾏ,2870213,12
大袋,ｵｵﾌﾞｸﾛ,2860043,12
大室,ｵｵﾑﾛ,2860821,12
大山,ｵｵﾔﾏ,2860131,12
大和田,ｵｵﾜﾀﾞ,2890109,12
押畑,ｵｼﾊﾀ,2860845,12
小野,ｵﾉ,2890106,12
上町,ｶﾐﾁｮｳ,2860032,12
上福田,ｶﾐﾌｸﾀﾞ,2860842,12
加良部,ｶﾗﾍﾞ,2860036,12
川上,ｶﾜｶﾐ,2870244,12
川栗,ｶﾜｸﾞﾘ,2860125,12
官林,ｶﾝﾘﾝ,2870221,12
北須賀,ｷﾀｽｶ,2860006,12
北羽鳥,ｷﾀﾊﾄﾞﾘ,2860807,12
吉岡,ｷﾁｵｶ,0000000,12
木の根,ｷﾉﾈ,0000000,12
久井崎,ｸｲｻﾞｷ,2870232,12
久住中央,ｸｽﾞﾐﾁｭｳｵｳ,2860819,12
久米,ｸﾒ,2860136,12
久米野,ｸﾒﾉ,2860126,12
倉水,ｸﾗﾐｽﾞ,2890113,12
小泉,ｺｲｽﾞﾐ,2860823,12
公津の杜,ｺｳﾂﾞﾉﾓﾘ,2860048,12
郷部,ｺﾞｳﾌﾞ,2860014,12
御所の内,ｺﾞｼｮﾉｳﾁ,2860137,12
小菅,ｺｽｹﾞ,0000000,12
小浮,ｺﾌﾞｹ,2890101,12
駒井野,ｺﾏｲﾉ,0000000,12
幸町,ｻｲﾜｲﾁｮｳ,2860028,12
桜田,ｻｸﾗﾀﾞ,2870217,12
佐野,ｻﾉ,2860808,12
猿山,ｻﾙﾔﾏ,2890107,12
三里塚御料,ｻﾝﾘﾂﾞｶｺﾞﾘｮｳ,2860116,12
