another_name,another_name_kana,post_id,prefecture_id
,,0000000,9
芦野,ｱｼﾉ,3293443,9
梓,ｱｽﾞｻ,3293432,9
伊王野,ｲｵｳﾉ,3293436,9
稲沢,ｲﾅｻﾞﾜ,3293447,9
漆塚,ｳﾙｼﾂｶ,3293221,9
大島,ｵｵｼﾏ,3293223,9
大畑,ｵｵﾊﾀ,3293431,9
大和須,ｵｵﾜｽ,3293433,9
高久甲,ﾀｶｸｺｳ,0000000,9
高久乙,ﾀｶｸｵﾂ,3250303,9
高久丙,ﾀｶｸﾍｲ,0000000,9
高久丙穂積,ﾀｶｸﾍｲﾎﾂﾞﾐ,3250002,9
高久丙山梨子,ﾀｶｸﾍｲﾔﾏﾅｼ,3250002,9
寺子,ﾃﾗｺ,3293444,9
寺子乙,ﾃﾗｺｵﾂ,0000000,9
寺子丙,ﾃﾗｺﾍｲ,3293222,9
富岡,ﾄﾐｵｶ,3293212,9
豊原,ﾄﾖﾊﾗ,3293213,9
豊原甲,ﾄﾖﾊﾗｺｳ,3293211,9
豊原乙,ﾄﾖﾊﾗｵﾂ,3293224,9
豊原丙,ﾄﾖﾊﾗﾍｲ,3293225,9
沼野井,ﾇﾏﾉｲ,3293446,9
東岩崎,ﾋｶﾞｼｲﾜｻﾞｷ,3293445,9
蓑沢,ﾐﾉｻﾞﾜ,3293437,9
睦家,ﾑﾂﾔ,3293435,9
梁瀬,ﾔﾅｾﾞ,3293434,9
湯本,ﾕﾓﾄ,3250301,9
横岡,ﾖｺｵｶ,0000000,9
寄居,ﾖﾘｲ,3293441,9
