another_name,another_name_kana,post_id,prefecture_id
,,0000000,9
青木,ｱｵｷ,3250103,9
東町,ｱｽﾞﾏﾁｮｳ,3292721,9
あたご町,ｱﾀｺﾞﾁｮｳ,3292725,9
阿波町,ｱﾜﾁｮｳ,3250073,9
安藤町,ｱﾝﾄﾞｳﾁｮｳ,3250021,9
井口,ｲｸﾞﾁ,3292763,9
石林,ｲｼﾊﾞﾔｼ,3292711,9
板室,ｲﾀﾑﾛ,3250111,9
一区町,ｲｯｸﾁｮｳ,3292732,9
宇都野,ｳﾂﾉ,3292816,9
扇町,ｵｳｷﾞﾁｮｳ,3292726,9
大原間,ｵｵﾊﾗﾏ,3293153,9
大原間西,ｵｵﾊﾗﾏﾆｼ,3293157,9
遅野沢,ｵｿﾉｻﾜ,3292803,9
折戸,ｵﾘﾄﾞ,3292804,9
春日町,ｶｽｶﾞﾁｮｳ,3250075,9
金沢,ｶﾈｻﾞﾜ,3292812,9
鹿野崎,ｶﾉｻｷ,3293121,9
鹿野崎新田,ｶﾉｻｷｼﾝﾃﾞﾝ,3250104,9
上赤田,ｶﾐｱｶﾀﾞ,3292748,9
上厚崎,ｶﾐｱﾂｻｷ,3250026,9
上大塚新田,ｶﾐｵｵﾂｶｼﾝﾃﾞﾝ,3293134,9
上大貫,ｶﾐｵｵﾇｷ,3292814,9
上郷屋,ｶﾐｺﾞｳﾔ,3293127,9
上塩原,ｶﾐｼｵﾊﾞﾗ,3292923,9
上中野,ｶﾐﾅｶﾉ,3293154,9
上横林,ｶﾐﾖｺﾊﾞﾔｼ,3292805,9
亀山,ｶﾒﾔﾏ,3250102,9
唐杉,ｶﾗｽｷﾞ,3293131,9
木曾畑中,ｷｿﾊﾀﾅｶ,3293145,9
北赤田,ｷﾀｱｶﾀﾞ,3292741,9
北栄町,ｷﾀｻｶｴﾁｮｳ,3250039,9
北二つ室,ｷﾀﾌﾀﾂﾑﾛ,3292734,9
北弥六,ｷﾀﾔﾛｸ,3293132,9
北和田,ｷﾀﾜﾀﾞ,3293151,9
共墾社,ｷｮｳｺﾝｼｬ,3250027,9
清住町,ｷﾖｽﾐﾁｮｳ,3250067,9
木綿畑,ｷﾜﾀﾊﾀ,3250116,9
沓掛,ｸﾂｶｹ,3293133,9
黒磯,ｸﾛｲｿ,3250017,9
黒磯幸町,ｸﾛｲｿｻｲﾜｲﾁｮｳ,3250057,9
越堀,ｺｴﾎﾞﾘ,3250012,9
五軒町,ｺﾞｹﾝﾁｮｳ,3292753,9
小結,ｺﾕｲ,3250035,9
材木町,ｻﾞｲﾓｸﾁｮｳ,3250048,9
埼玉,ｻｷﾀﾏ,3250033,9
桜町,ｻｸﾗﾁｮｳ,3250042,9
笹沼,ｻｻﾇﾏ,3293155,9
佐野,ｻﾉ,3293142,9
三区町,ｻﾝｸﾁｮｳ,3292745,9
三本木,ｻﾝﾎﾞﾝｷﾞ,3293143,9
塩野崎,ｼｵﾉｻｷ,3293122,9
塩野崎新田,ｼｵﾉｻｷｼﾝﾃﾞﾝ,3293123,9
塩原,ｼｵﾊﾞﾗ,3292921,9
鴫内,ｼｷﾞｳﾁ,3250118,9
島方,ｼﾏｶﾀ,3293152,9
下厚崎,ｼﾓｱﾂｻｷ,3250025,9
下大貫,ｼﾓｵｵﾇｷ,3292815,9
下田野,ｼﾓﾀﾉ,3292811,9
下永田,ｼﾓﾅｶﾞﾀ,3292712,9
下中野,ｼﾓﾅｶﾉ,3293146,9
新朝日,ｼﾝｱｻﾋ,3250054,9
新南,ｼﾝﾅﾝ,3292704,9
新町,ｼﾝﾏﾁ,3250071,9
新緑町,ｼﾝﾐﾄﾞﾘﾁｮｳ,3250066,9
末広町,ｽｴﾋﾛﾁｮｳ,3250061,9
住吉町,ｽﾐﾖｼﾁｮｳ,3250062,9
関根,ｾｷﾈ,3292701,9
関谷,ｾｷﾔ,3292801,9
千本松,ｾﾝﾎﾞﾝﾏﾂ,3292747,9
大黒町,ﾀﾞｲｺｸﾁｮｳ,3250046,9
高阿津,ﾀｶｱﾂ,3292813,9
高砂町,ﾀｶｻｺﾞﾁｮｳ,3250045,9
高林,ﾀｶﾊﾞﾔｼ,3250107,9
高柳,ﾀｶﾔﾅｷﾞ,3292707,9
太夫塚,ﾀﾕｳﾂﾞｶ,3292735,9
中央町,ﾁｭｳｵｳﾁｮｳ,3250052,9
槻沢,ﾂｷﾇｷｻﾞﾜ,3292703,9
寺子,ﾃﾗｺﾞ,3250011,9
東栄,ﾄｳｴｲ,3250016,9
洞島,ﾄﾞｳｼﾞﾏ,3250106,9
戸田,ﾄﾀﾞ,3250114,9
豊浦,ﾄﾖｳﾗ,3250023,9
豊浦北町,ﾄﾖｳﾗｷﾀﾏﾁ,3250038,9
豊浦町,ﾄﾖｳﾗﾁｮｳ,3250064,9
豊浦中町,ﾄﾖｳﾗﾅｶﾏﾁ,3250063,9
豊浦南町,ﾄﾖｳﾗﾐﾅﾐﾁｮｳ,3250065,9
豊住町,ﾄﾖｽﾐﾁｮｳ,3250072,9
鳥野目,ﾄﾘﾉﾒ,3250036,9
中内,ﾅｶｳﾁ,3293126,9
中塩原,ﾅｶｼｵﾊﾞﾗ,3292924,9
永田町,ﾅｶﾞﾀﾁｮｳ,3292727,9
鍋掛,ﾅﾍﾞｶｹ,3250013,9
並木町,ﾅﾐｷﾁｮｳ,3250031,9
二区町,ﾆｸﾁｮｳ,3292733,9
西赤田,ﾆｼｱｶﾀﾞ,3292744,9
西朝日町,ﾆｼｱｻﾋﾁｮｳ,3292722,9
西岩崎,ﾆｼｲﾜｻﾞｷ,3250101,9
西遅沢,ﾆｼｵｿｻﾞﾜ,3292764,9
錦町,ﾆｼｷﾁｮｳ,3250058,9
西幸町,ﾆｼｻｲﾜｲﾁｮｳ,3292724,9
西栄町,ﾆｼｻｶｴﾁｮｳ,3292728,9
西新町,ﾆｼｼﾝﾏﾁ,3250076,9
西富山,ﾆｼﾄﾐﾔﾏ,3292762,9
西原町,ﾆｼﾊﾗﾁｮｳ,3292755,9
西三島,ﾆｼﾐｼﾏ,3292756,9
西大和,ﾆｼﾔﾏﾄ,3292754,9
接骨木,ﾆﾜﾄｺ,3292807,9
沼野田和,ﾇﾏﾉﾀﾜ,3293144,9
野間,ﾉﾏ,3250014,9
橋本町,ﾊｼﾓﾄﾁｮｳ,3250043,9
波立,ﾊｯﾀﾁ,3293124,9
原町,ﾊﾗﾏﾁ,3250015,9
東赤田,ﾋｶﾞｼｱｶﾀﾞ,3292742,9
東遅沢,ﾋｶﾞｼｵｿｻﾞﾜ,3292761,9
東小屋,ﾋｶﾞｼｺﾔ,3293147,9
東関根,ﾋｶﾞｼｾｷﾈ,3292702,9
東豊浦,ﾋｶﾞｼﾄﾖｳﾗ,3250022,9
東原,ﾋｶﾞｼﾊﾗ,3250034,9
東三島,ﾋｶﾞｼﾐｼﾏ,3292751,9
東大和町,ﾋｶﾞｼﾔﾏﾄﾁｮｳ,3250041,9
蟇沼,ﾋｷﾇﾏ,3292802,9
二つ室,ﾌﾀﾂﾑﾛ,3292731,9
方京,ﾎｳｷｮｳ,3293156,9
細竹,ﾎｿﾀﾞｹ,3250113,9
本郷町,ﾎﾝｺﾞｳﾁｮｳ,3250053,9
本町,ﾎﾝﾁｮｳ,3250056,9
前弥六,ﾏｴﾔﾛｸ,3293135,9
前弥六南町,ﾏｴﾔﾛｸﾐﾅﾐﾁｮｳ,3293136,9
松浦町,ﾏﾂｳﾗﾁｮｳ,3250074,9
三島,ﾐｼﾏ,3292752,9
緑,ﾐﾄﾞﾘ,3292713,9
南赤田,ﾐﾅﾐｱｶﾀﾞ,3292743,9
南郷屋,ﾐﾅﾐｺﾞｳﾔ,3292705,9
南町,ﾐﾅﾐﾁｮｳ,3292723,9
箕輪,ﾐﾉﾜ,3250105,9
美原町,ﾐﾊﾗﾁｮｳ,3250037,9
宮町,ﾐﾔﾁｮｳ,3250055,9
無栗屋,ﾑｸﾘﾔ,3293125,9
睦,ﾑﾂﾐ,3292706,9
百村,ﾓﾑﾗ,3250115,9
箭坪,ﾔﾂﾎﾞ,3250108,9
山中新田,ﾔﾏﾅｶｼﾝﾃﾞﾝ,3293141,9
弥生町,ﾔﾖｲﾁｮｳ,3250044,9
油井,ﾕｲ,3250112,9
湯宮,ﾕｸﾞｳ,3250117,9
豊町,ﾕﾀｶﾁｮｳ,3250051,9
湯本塩原,ﾕﾓﾄｼｵﾊﾞﾗ,3292922,9
横林,ﾖｺﾊﾞﾔｼ,3292806,9
四区町,ﾖﾝｸﾁｮｳ,3292746,9
若草町,ﾜｶｸｻﾁｮｳ,3250032,9
若葉町,ﾜｶﾊﾞﾁｮｳ,3250047,9
渡辺,ﾜﾀﾅﾍﾞ,3250024,9
