another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
曙,ｱｹﾎﾞﾉ,0960075,1
朝日,ｱｻﾋ,0960061,1
大通南,ｵｵﾄﾞｵﾘﾐﾅﾐ,0960010,1
大通北,ｵｵﾄﾞｵﾘｷﾀ,0960030,1
大橋,ｵｵﾊｼ,0960065,1
共和,ｷｮｳﾜ,0960073,1
旭東,ｷｮｸﾄｳ,0960064,1
智恵文,ﾁｴﾌﾞﾝ,0982181,1
徳田,ﾄｸﾀﾞ,0960071,1
砺波,ﾄﾅﾐ,0960076,1
内淵,ﾅｲﾌﾞﾁ,0960078,1
西一条南,ﾆｼ1ｼﾞｮｳﾐﾅﾐ,0960011,1
西一条北,ﾆｼ1ｼﾞｮｳｷﾀ,0960031,1
西二条南,ﾆｼ2ｼﾞｮｳﾐﾅﾐ,0960012,1
西二条北,ﾆｼ2ｼﾞｮｳｷﾀ,0960032,1
西三条南,ﾆｼ3ｼﾞｮｳﾐﾅﾐ,0960013,1
西三条北,ﾆｼ3ｼﾞｮｳｷﾀ,0960033,1
西四条南,ﾆｼ4ｼﾞｮｳﾐﾅﾐ,0960014,1
西四条北,ﾆｼ4ｼﾞｮｳｷﾀ,0960034,1
西五条南,ﾆｼ5ｼﾞｮｳﾐﾅﾐ,0960015,1
西五条北,ﾆｼ5ｼﾞｮｳｷﾀ,0960035,1
西六条南,ﾆｼ6ｼﾞｮｳﾐﾅﾐ,0960016,1
西六条北,ﾆｼ6ｼﾞｮｳｷﾀ,0960036,1
西七条南,ﾆｼ7ｼﾞｮｳﾐﾅﾐ,0960017,1
西七条北,ﾆｼ7ｼﾞｮｳｷﾀ,0960037,1
西八条南,ﾆｼ8ｼﾞｮｳﾐﾅﾐ,0960018,1
西八条北,ﾆｼ8ｼﾞｮｳｷﾀ,0960038,1
西九条南,ﾆｼ9ｼﾞｮｳﾐﾅﾐ,0960019,1
西九条北,ﾆｼ9ｼﾞｮｳｷﾀ,0960039,1
西十条南,ﾆｼ10ｼﾞｮｳﾐﾅﾐ,0960020,1
西十条北,ﾆｼ10ｼﾞｮｳｷﾀ,0960040,1
西十一条南,ﾆｼ11ｼﾞｮｳﾐﾅﾐ,0960021,1
西十一条北,ﾆｼ11ｼﾞｮｳｷﾀ,0960041,1
西十二条南,ﾆｼ12ｼﾞｮｳﾐﾅﾐ,0960022,1
西十二条北,ﾆｼ12ｼﾞｮｳｷﾀ,0960042,1
西十三条南,ﾆｼ13ｼﾞｮｳﾐﾅﾐ,0960023,1
西十三条北,ﾆｼ13ｼﾞｮｳｷﾀ,0960043,1
西十四条南,ﾆｼ14ｼﾞｮｳﾐﾅﾐ,0960024,1
西十五条南,ﾆｼ15ｼﾞｮｳﾐﾅﾐ,0960025,1
日彰,ﾆｯｼｮｳ,0960062,1
日進,ﾆｯｼﾝ,0960066,1
東一条南,ﾋｶﾞｼ1ｼﾞｮｳﾐﾅﾐ,0960001,1
東一条北,ﾋｶﾞｼ1ｼﾞｮｳｷﾀ,0960051,1
東二条南,ﾋｶﾞｼ2ｼﾞｮｳﾐﾅﾐ,0960002,1
東二条北,ﾋｶﾞｼ2ｼﾞｮｳｷﾀ,0960052,1
東三条南,ﾋｶﾞｼ3ｼﾞｮｳﾐﾅﾐ,0960003,1
東三条北,ﾋｶﾞｼ3ｼﾞｮｳｷﾀ,0960053,1
東四条南,ﾋｶﾞｼ4ｼﾞｮｳﾐﾅﾐ,0960004,1
東四条北,ﾋｶﾞｼ4ｼﾞｮｳｷﾀ,0960054,1
東五条南,ﾋｶﾞｼ5ｼﾞｮｳﾐﾅﾐ,0960005,1
東五条北,ﾋｶﾞｼ5ｼﾞｮｳｷﾀ,0960055,1
東六条南,ﾋｶﾞｼ6ｼﾞｮｳﾐﾅﾐ,0960006,1
東六条北,ﾋｶﾞｼ6ｼﾞｮｳｷﾀ,0960056,1
東七条南,ﾋｶﾞｼ7ｼﾞｮｳﾐﾅﾐ,0960007,1
東八条南,ﾋｶﾞｼ8ｼﾞｮｳﾐﾅﾐ,0960008,1
東九条南,ﾋｶﾞｼ9ｼﾞｮｳﾐﾅﾐ,0960009,1
風連町旭,ﾌｳﾚﾝﾁｮｳｱｻﾋ,0980514,1
風連町池の上,ﾌｳﾚﾝﾁｮｳｲｹﾉｳｴ,0980513,1
風連町大町,ﾌｳﾚﾝﾁｮｳｵｵﾏﾁ,0980503,1
風連町新生町,ﾌｳﾚﾝﾁｮｳｼﾝｾｲﾁｮｳ,0980511,1
風連町瑞生,ﾌｳﾚﾝﾁｮｳｽﾞｲｼｮｳ,0980508,1
風連町中央,ﾌｳﾚﾝﾁｮｳﾁｭｳｵｳ,0980515,1
風連町東生,ﾌｳﾚﾝﾁｮｳﾄｳｾｲ,0980632,1
風連町豊里,ﾌｳﾚﾝﾁｮｳﾄﾖｻﾄ,0980501,1
風連町仲町,ﾌｳﾚﾝﾁｮｳﾅｶﾏﾁ,0980506,1
風連町西風連,ﾌｳﾚﾝﾁｮｳﾆｼﾌｳﾚﾝ,0980509,1
風連町西町,ﾌｳﾚﾝﾁｮｳﾆｼﾏﾁ,0980507,1
風連町日進,ﾌｳﾚﾝﾁｮｳﾆｯｼﾝ,0980631,1
風連町東風連,ﾌｳﾚﾝﾁｮｳﾋｶﾞｼﾌｳﾚﾝ,0980512,1
風連町北栄町,ﾌｳﾚﾝﾁｮｳﾎｸｴｲﾁｮｳ,0980502,1
風連町緑町,ﾌｳﾚﾝﾁｮｳﾐﾄﾞﾘﾏﾁ,0980516,1
風連町南町,ﾌｳﾚﾝﾁｮｳﾐﾅﾐﾏﾁ,0980505,1
風連町本町,ﾌｳﾚﾝﾁｮｳﾓﾄﾏﾁ,0980504,1
豊栄,ﾎｳｴｲ,0960072,1
瑞穂,ﾐｽﾞﾎ,0960077,1
緑丘,ﾐﾄﾞﾘｵｶ,0960063,1
弥生,ﾔﾖｲ,0960074,1
