another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
明郷,ｱｹｻﾄ,0860061,1
曙町,ｱｹﾎﾞﾉﾁｮｳ,0870006,1
朝日町,ｱｻﾋﾁｮｳ,0870014,1
厚床,ｱｯﾄｺ,0860064,1
有磯町,ｱﾘｲｿﾁｮｳ,0870008,1
梅ケ枝町,ｳﾒｶﾞｴﾁｮｳ,0870052,1
落石東,ｵﾁｲｼﾋｶﾞｼ,0881782,1
落石西,ｵﾁｲｼﾆｼ,0881781,1
温根沼,ｵﾝﾈﾄｳ,0870035,1
温根元,ｵﾝﾈﾓﾄ,0870166,1
海岸町,ｶｲｶﾞﾝﾁｮｳ,0870054,1
桂木,ｶﾂﾗｷﾞ,0870023,1
川口,ｶﾜｸﾞﾁ,0860072,1
北浜町,ｷﾀﾊﾏﾁｮｳ,0870001,1
清隆町,ｷﾖﾀｶﾁｮｳ,0870042,1
光洋町,ｺｳﾖｳﾁｮｳ,0870004,1
光和町,ｺｳﾜﾁｮｳ,0870027,1
琴平町,ｺﾄﾋﾗﾁｮｳ,0870055,1
湖南,ｺﾅﾝ,0860062,1
駒場町,ｺﾏﾊﾞﾁｮｳ,0870012,1
珸瑤瑁,ｺﾞﾖｳﾏｲ,0870164,1
昆布盛,ｺﾝﾌﾞﾓﾘ,0881784,1
幸町,ｻｲﾜｲﾁｮｳ,0870021,1
栄町,ｻｶｴﾁｮｳ,0870010,1
定基町,ｻﾀﾞﾓﾄﾁｮｳ,0870047,1
汐見町,ｼｵﾐﾁｮｳ,0870019,1
敷島町,ｼｷｼﾏﾁｮｳ,0870026,1
昭和町,ｼｮｳﾜﾁｮｳ,0870022,1
大正町,ﾀｲｼｮｳﾁｮｳ,0870028,1
宝町,ﾀｶﾗﾁｮｳ,0870005,1
千島町,ﾁｼﾏﾁｮｳ,0870018,1
長節,ﾁｮｳﾌﾞｼ,0881785,1
月岡町,ﾂｷｵｶﾁｮｳ,0870031,1
月見町,ﾂｷﾐﾁｮｳ,0870007,1
東梅,ﾄｳﾊﾞｲ,0860074,1
常盤町,ﾄｷﾜﾁｮｳ,0870041,1
友知,ﾄﾓｼﾘ,0870161,1
豊里,ﾄﾖｻﾄ,0870167,1
鳴海町,ﾅﾙﾐﾁｮｳ,0870017,1
西厚床,ﾆｼｱｯﾄｺ,0860065,1
西浜町,ﾆｼﾊﾏﾁｮｳ,0870025,1
西和田,ﾆｼﾜﾀﾞ,0870033,1
納沙布,ﾉｻｯﾌﾟ,0870165,1
初田牛,ﾊｯﾀｳｼ,0860076,1
花咲町,ﾊﾅｻｷﾁｮｳ,0870015,1
花咲港,ﾊﾅｻｷﾐﾅﾄ,0870032,1
花園町,ﾊﾅｿﾞﾉﾁｮｳ,0870045,1
歯舞,ﾊﾎﾞﾏｲ,0870163,1
浜松,ﾊﾏﾏﾂ,0881783,1
東厚床,ﾋｶﾞｼｱｯﾄｺ,0860063,1
東和田,ﾋｶﾞｼﾜﾀﾞ,0870034,1
双沖,ﾌﾀｵｷ,0870162,1
平内町,ﾍｲﾅｲﾁｮｳ,0870048,1
別当賀,ﾍﾞﾂﾄｳｶﾞ,0860075,1
弁天町,ﾍﾞﾝﾃﾝﾁｮｳ,0870011,1
宝林町,ﾎｳﾘﾝﾁｮｳ,0870024,1
北斗町,ﾎｸﾄﾁｮｳ,0870043,1
穂香,ﾎﾆｵｲ,0870037,1
幌茂尻,ﾎﾛﾓｼﾘ,0870036,1
本町,ﾎﾝﾁｮｳ,0870053,1
牧の内,ﾏｷﾉｳﾁ,0870002,1
松ケ枝町,ﾏﾂｶﾞｴﾁｮｳ,0870016,1
松本町,ﾏﾂﾓﾄﾁｮｳ,0870044,1
岬町,ﾐｻｷﾁｮｳ,0870046,1
緑町,ﾐﾄﾞﾘﾁｮｳ,0870051,1
明治町,ﾒｲｼﾞﾁｮｳ,0870003,1
弥栄町,ﾔｻｶｴﾁｮｳ,0870009,1
弥生町,ﾔﾖｲﾁｮｳ,0870049,1
槍昔,ﾔﾘﾑｶｼ,0860071,1
酪陽,ﾗｸﾖｳ,0860073,1
