another_name,another_name_kana,post_id,prefecture_id
,,0000000,27
池田,ｲｹﾀﾞ,5720039,27
池田旭町,ｲｹﾀﾞｱｻﾋﾏﾁ,5720035,27
池田東町,ｲｹﾀﾞﾋｶﾞｼﾏﾁ,5720033,27
池田西町,ｲｹﾀﾞﾆｼﾏﾁ,5720036,27
池田南町,ｲｹﾀﾞﾐﾅﾐﾏﾁ,5720034,27
池田北町,ｲｹﾀﾞｷﾀﾏﾁ,5720073,27
池田新町,ｲｹﾀﾞｼﾝﾏﾁ,5720038,27
池田中町,ｲｹﾀﾞﾅｶﾏﾁ,5720074,27
池田本町,ｲｹﾀﾞﾎﾝﾏﾁ,5720030,27
池の瀬町,ｲｹﾉｾﾁｮｳ,5720012,27
石津中町,ｲｼﾂﾞﾅｶﾏﾁ,5720026,27
石津東町,ｲｼﾂﾞﾋｶﾞｼﾏﾁ,5720027,27
石津南町,ｲｼﾂﾞﾐﾅﾐﾏﾁ,5720024,27
石津元町,ｲｼﾂﾞﾓﾄﾏﾁ,5720025,27
出雲町,ｲｽﾞﾓﾁｮｳ,5720821,27
太秦桜が丘,ｳｽﾞﾏｻｻｸﾗｶﾞｵｶ,5720840,27
太秦高塚町,ｳｽﾞﾏｻﾀｶﾂｶﾁｮｳ,5720842,27
太秦中町,ｳｽﾞﾏｻﾅｶﾏﾁ,5720843,27
太秦東が丘,ｳｽﾞﾏｻﾋｶﾞｼｶﾞｵｶ,5720841,27
太秦緑が丘,ｳｽﾞﾏｻﾐﾄﾞﾘｶﾞｵｶ,5720844,27
太秦元町,ｳｽﾞﾏｻﾓﾄﾏﾁ,5720849,27
宇谷町,ｳﾀﾆﾁｮｳ,5720856,27
打上新町,ｳﾁｱｹﾞｼﾝﾏﾁ,5720859,27
打上高塚町,ｳﾁｱｹﾞﾀｶﾂｶﾁｮｳ,5720850,27
打上中町,ｳﾁｱｹﾞﾅｶﾏﾁ,5720857,27
打上南町,ｳﾁｱｹﾞﾐﾅﾐﾏﾁ,5720861,27
打上宮前町,ｳﾁｱｹﾞﾐﾔﾏｴﾁｮｳ,5720862,27
打上元町,ｳﾁｱｹﾞﾓﾄﾏﾁ,5720858,27
梅が丘,ｳﾒｶﾞｵｶ,5720803,27
大谷町,ｵｵﾀﾆﾁｮｳ,5720853,27
大利町,ｵｵﾄｼﾁｮｳ,5720048,27
大利元町,ｵｵﾄｼﾓﾄﾏﾁ,5720047,27
音羽町,ｵﾄﾜﾁｮｳ,5720023,27
春日町,ｶｽｶﾞﾁｮｳ,5720063,27
上神田,ｶﾐｶﾐﾀﾞ,5720052,27
萱島桜園町,ｶﾔｼﾏｻｸﾗｴﾝﾁｮｳ,5720828,27
萱島信和町,ｶﾔｼﾏｼﾝﾜﾁｮｳ,5720829,27
萱島本町,ｶﾔｼﾏﾎﾝﾏﾁ,5720827,27
萱島南町,ｶﾔｼﾏﾐﾅﾐﾏﾁ,5720825,27
萱島東,ｶﾔｼﾏﾋｶﾞｼ,5720824,27
川勝町,ｶﾜｶﾂﾁｮｳ,5720015,27
河北中町,ｶﾜｷﾀﾅｶﾏﾁ,5720816,27
河北東町,ｶﾜｷﾀﾋｶﾞｼﾏﾁ,5720815,27
河北西町,ｶﾜｷﾀﾆｼﾏﾁ,5720817,27
菅相塚町,ｶﾝｿｳﾂﾞｶﾁｮｳ,5720008,27
北大利町,ｷﾀｵｵﾄｼﾁｮｳ,5720032,27
木田町,ｷﾀﾞﾁｮｳ,5720836,27
木田元宮,ｷﾀﾞﾓﾄﾐﾔ,5720822,27
楠根南町,ｸｽﾈﾐﾅﾐﾏﾁ,5720811,27
楠根北町,ｸｽﾈｷﾀﾏﾁ,5720845,27
葛原,ｸｽﾞﾊﾗ,5720075,27
葛原新町,ｸｽﾞﾊﾗｼﾝﾏﾁ,5720037,27
国松町,ｸﾆﾏﾂﾁｮｳ,5720016,27
黒原旭町,ｸﾛﾊﾗｱｻﾋﾏﾁ,5720057,27
黒原新町,ｸﾛﾊﾗｼﾝﾏﾁ,5720059,27
黒原城内町,ｸﾛﾊﾗｼﾞｮｳﾅｲﾁｮｳ,5720050,27
黒原橘町,ｸﾛﾊﾗﾀﾁﾊﾞﾅﾁｮｳ,5720058,27
香里新町,ｺｵﾘｼﾝﾏﾁ,5720085,27
香里本通町,ｺｵﾘﾎﾝﾄﾞｵﾘﾁｮｳ,5720082,27
香里西之町,ｺｵﾘﾆｼﾉﾁｮｳ,5720089,27
香里南之町,ｺｵﾘﾐﾅﾐﾉﾁｮｳ,5720084,27
香里北之町,ｺｵﾘｷﾀﾉﾁｮｳ,5720080,27
郡元町,ｺｵﾘﾓﾄﾏﾁ,5720083,27
寿町,ｺﾄﾌﾞｷﾁｮｳ,5720029,27
木屋町,ｺﾔﾁｮｳ,5720087,27
木屋元町,ｺﾔﾓﾄﾏﾁ,5720088,27
幸町,ｻｲﾜｲﾁｮｳ,5720017,27
境橋町,ｻｶｲﾊﾞｼﾁｮｳ,5720018,27
桜木町,ｻｸﾗｷﾞﾁｮｳ,5720041,27
讃良東町,ｻﾝﾗﾋｶﾞｼﾏﾁ,5720813,27
讃良西町,ｻﾝﾗﾆｼﾏﾁ,5720818,27
清水町,ｼﾐｽﾞﾁｮｳ,5720044,27
点野,ｼﾒﾉ,5720077,27
下神田町,ｼﾓｶﾐﾀﾞﾁｮｳ,5720054,27
下木田町,ｼﾓｷﾀﾞﾁｮｳ,5720823,27
昭栄町,ｼｮｳｴｲﾁｮｳ,5720834,27
小路北町,ｼｮｳｼﾞｷﾀﾏﾁ,5720865,27
小路南町,ｼｮｳｼﾞﾐﾅﾐﾏﾁ,5720866,27
新家,ｼﾝｹ,5720812,27
末広町,ｽｴﾋﾛﾁｮｳ,5720009,27
成美町,ｾｲﾋﾞﾁｮｳ,5720046,27
大成町,ﾀｲｾｲﾁｮｳ,5720819,27
田井町,ﾀｲﾁｮｳ,5720021,27
田井西町,ﾀｲﾆｼﾏﾁ,5720020,27
太間町,ﾀｲﾏﾁｮｳ,5720078,27
太間東町,ﾀｲﾏﾋｶﾞｼﾏﾁ,5720072,27
高倉,ﾀｶｸﾗ,5720864,27
高宮,ﾀｶﾐﾔ,5720806,27
高宮あさひ丘,ﾀｶﾐﾔｱｻﾋｵｶ,5720867,27
