another_name,another_name_kana,post_id,prefecture_id
,,0000000,38
明浜町狩浜,ｱｹﾊﾏﾁｮｳｶﾘﾊﾏ,7970113,38
明浜町高山,ｱｹﾊﾏﾁｮｳﾀｶﾔﾏ,7970201,38
明浜町田之浜,ｱｹﾊﾏﾁｮｳﾀﾉﾊﾏ,7970203,38
明浜町俵津,ｱｹﾊﾏﾁｮｳﾀﾜﾗﾂﾞ,7970111,38
明浜町渡江,ｱｹﾊﾏﾁｮｳﾄﾉｴ,7970112,38
明浜町宮野浦,ｱｹﾊﾏﾁｮｳﾐﾔﾉｳﾗ,7970202,38
宇和町明間,ｳﾜﾁｮｳｱｶﾝﾏ,7970010,38
宇和町明石,ｳﾜﾁｮｳｱｹﾞｲｼ,7970007,38
宇和町伊賀上,ｳﾜﾁｮｳｲｶﾞｼﾞｮｳ,7970014,38
宇和町伊崎,ｳﾜﾁｮｳｲｻｷ,7970004,38
宇和町稲生,ｳﾜﾁｮｳｲﾉｳ,7970013,38
宇和町伊延,ｳﾜﾁｮｳｲﾉﾍﾞ,7970034,38
宇和町岩木,ｳﾜﾁｮｳｲﾜｷ,7970026,38
宇和町卯之町,ｳﾜﾁｮｳｳﾉﾏﾁ,7970015,38
宇和町大江,ｳﾜﾁｮｳｵｵｴ,7970043,38
宇和町岡山,ｳﾜﾁｮｳｵｶﾔﾏ,7970033,38
宇和町小野田,ｳﾜﾁｮｳｵﾉﾀﾞ,7970022,38
宇和町小原,ｳﾜﾁｮｳｵﾊﾞﾗ,7970027,38
宇和町皆田,ｳﾜﾁｮｳｶｲﾀﾞ,7970012,38
宇和町上松葉,ｳﾜﾁｮｳｶﾐﾏﾂﾊﾞ,7970046,38
宇和町加茂,ｳﾜﾁｮｳｶﾓ,7970044,38
宇和町河内,ｳﾜﾁｮｳｶﾜﾁ,7970035,38
宇和町清沢,ｳﾜﾁｮｳｷﾖｻﾜ,7970030,38
宇和町久保,ｳﾜﾁｮｳｸﾎﾞ,7970036,38
宇和町窪,ｳﾜﾁｮｳｺﾞｳﾅｲ,7970003,38
宇和町郷内,ｳﾜﾁｮｳｻｶﾄﾞ,7970025,38
宇和町坂戸,ｳﾜﾁｮｳｻｸﾗ,7970045,38
宇和町さくら,ｳﾜﾁｮｳｼﾓﾏﾂﾊﾞ,7970008,38
宇和町下松葉,ｳﾜﾁｮｳｼﾞｮｳｼﾞｮｳｼﾞ,7970018,38
宇和町常定寺,ｳﾜﾁｮｳｼﾝｼﾞｮｳ,7970005,38
宇和町新城,ｳﾜﾁｮｳｼﾞﾝﾘｮｳ,7970006,38
宇和町神領,ｳﾜﾁｮｳｾﾄ,7970016,38
宇和町瀬戸,ｳﾜﾁｮｳﾀﾅｴﾏﾂﾁ,7970042,38
宇和町田苗真土,ｳﾜﾁｮｳﾀﾉﾅｶ,7970032,38
宇和町田野中,ｳﾜﾁｮｳﾅｶﾞｵｻ,7970001,38
宇和町永長,ｳﾜﾁｮｳﾆｼﾔﾏﾀﾞ,7970029,38
宇和町西山田,ｳﾜﾁｮｳﾉﾀﾞ,7970024,38
宇和町野田,ｳﾜﾁｮｳﾉﾌﾞｻﾄ,7970021,38
宇和町信里,ｳﾜﾁｮｳﾋｶﾞｼﾀﾀﾞ,7970037,38
宇和町東多田,ｳﾜﾁｮｳﾋｻｴﾀﾞ,7970041,38
宇和町久枝,ｳﾜﾁｮｳﾋﾄｳｶﾞﾜ,7970020,38
宇和町下川,ｳﾜﾁｮｳﾋﾏﾜﾘ,7970011,38
宇和町ひまわり,ｳﾜﾁｮｳﾋﾗﾉ,7970017,38
宇和町平野,ｳﾜﾁｮｳﾓｸｼｮ,7970002,38
宇和町杢所,ｳﾜﾁｮｳﾔﾏﾀﾞ,7970031,38
宇和町山田,ｳﾜﾁｮｳﾚﾝｹﾞ,7970023,38
宇和町れんげ,ｼﾛｶﾜﾁｮｳｳｵﾅｼ,7970028,38
城川町魚成,ｼﾛｶﾜﾁｮｳｵﾘｱｲ,7971716,38
城川町下相,ｼﾛｶﾜﾁｮｳｵﾝｶﾞﾜﾁ,7971717,38
城川町男河内,ｼﾛｶﾜﾁｮｳｶｷﾞｵ,7971714,38
城川町嘉喜尾,ｼﾛｶﾜﾁｮｳｶﾜﾂﾞﾐﾅﾐ,7971713,38
