another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
相生町,ｱｲｵｲﾁｮｳ,6620063,28
青木町,ｱｵｷﾁｮｳ,6620862,28
青葉台,ｱｵﾊﾞﾀﾞｲ,6691122,28
上鳴尾町,ｱｹﾞﾅﾙｵﾁｮｳ,6638186,28
朝凪町,ｱｻﾅｷﾞﾁｮｳ,6620925,28
芦原町,ｱｼﾊﾗﾁｮｳ,6620842,28
愛宕山,ｱﾀｺﾞﾔﾏ,6620871,28
荒戎町,ｱﾗｴﾋﾞｽﾁｮｳ,6620946,28
荒木町,ｱﾗｷﾁｮｳ,6638025,28
池田町,ｲｹﾀﾞﾁｮｳ,6620911,28
池開町,ｲｹﾋﾞﾗｷﾁｮｳ,6638137,28
石在町,ｲｼｻﾞｲﾁｮｳ,6620928,28
石刎町,ｲｼﾊﾞﾈﾁｮｳ,6620074,28
泉町,ｲｽﾞﾐﾁｮｳ,6620932,28
一ケ谷町,ｲﾁｶﾞﾔﾁｮｳ,6620873,28
市庭町,ｲﾁﾆﾜﾁｮｳ,6620975,28
一里山町,ｲﾁﾘﾔﾏﾁｮｳ,6638002,28
今在家町,ｲﾏｻﾞｲｹﾁｮｳ,6620972,28
今津曙町,ｲﾏﾂﾞｱｹﾎﾞﾉﾁｮｳ,6638214,28
今津上野町,ｲﾏﾂﾞｳｴﾉﾁｮｳ,6638213,28
今津大東町,ｲﾏﾂﾞｵｵﾋｶﾞｼﾁｮｳ,6638221,28
今津久寿川町,ｲﾏﾂﾞｸｽｶﾞﾜﾁｮｳ,6638222,28
今津社前町,ｲﾏﾂﾞｼｬｾﾞﾝﾁｮｳ,6638229,28
今津巽町,ｲﾏﾂﾞﾀﾂﾐﾁｮｳ,6638223,28
今津出在家町,ｲﾏﾂﾞﾃﾞｻﾞｲｹﾁｮｳ,6638227,28
今津西浜町,ｲﾏﾂﾞﾆｼﾊﾏﾁｮｳ,6638225,28
今津野田町,ｲﾏﾂﾞﾉﾀﾞﾁｮｳ,6638212,28
今津二葉町,ｲﾏﾂﾞﾌﾀﾊﾞﾁｮｳ,6638228,28
今津真砂町,ｲﾏﾂﾞﾏｻｺﾞﾁｮｳ,6638224,28
今津水波町,ｲﾏﾂﾞﾐｽﾞﾅﾐﾁｮｳ,6638215,28
今津港町,ｲﾏﾂﾞﾐﾅﾄﾁｮｳ,6638226,28
今津山中町,ｲﾏﾂﾞﾔﾏﾅｶﾁｮｳ,6638211,28
