another_name,another_name_kana,post_id,prefecture_id
,,0000000,7
石塚南,ｲｼﾂﾞｶﾐﾅﾐ,9618043,7
石塚北,ｲｼﾂﾞｶｷﾀ,9618044,7
裏山南,ｳﾗﾔﾏﾐﾅﾐ,9618047,7
小田倉,ｵﾀﾞｸﾗ,9618061,7
柏野,ｶｼﾜﾉ,9618011,7
熊倉,ｸﾏｸﾗ,9618091,7
下前田東,ｼﾓﾏｴﾀﾞﾋｶﾞｼ,9618051,7
下前田西,ｼﾓﾏｴﾀﾞﾆｼ,9618056,7
鶴生,ﾂﾘｭｳ,9618081,7
道南東,ﾄﾞｳﾅﾝﾋｶﾞｼ,9618052,7
道南西,ﾄﾞｳﾅﾝﾆｼ,9618055,7
豊作東,ﾄﾖｻｸﾋｶﾞｼ,9618041,7
豊作西,ﾄﾖｻｸﾆｼ,9618042,7
長坂,ﾅｶﾞｻｶ,9618021,7
羽太,ﾊﾌﾞﾄ,9618001,7
前山東,ﾏｴﾔﾏﾋｶﾞｼ,9618053,7
前山西,ﾏｴﾔﾏﾆｼ,9618054,7
真船,ﾏﾌﾞﾈ,9618071,7
屋敷裏東,ﾔｼｷｳﾗﾋｶﾞｼ,9618046,7
屋敷裏西,ﾔｼｷｳﾗﾆｼ,9618045,7
米,ﾖﾈ,9618031,7
