another_name,another_name_kana,post_id,prefecture_id
,,0000000,13
泉町,ｲｽﾞﾐﾁｮｳ,2020011,13
北原町,ｷﾀﾊﾗﾁｮｳ,1880003,13
北町,ｷﾀﾏﾁ,2020003,13
栄町,ｻｶｴﾁｮｳ,2020006,13
芝久保町,ｼﾊﾞｸﾎﾞﾁｮｳ,1880014,13
下保谷,ｼﾓﾎｳﾔ,2020004,13
新町,ｼﾝﾏﾁ,2020023,13
住吉町,ｽﾐﾖｼﾁｮｳ,2020005,13
田無町,ﾀﾅｼﾁｮｳ,1880011,13
中町,ﾅｶﾏﾁ,2020013,13
西原町,ﾆｼﾊﾗﾁｮｳ,1880004,13
東町,ﾋｶﾞｼﾁｮｳ,2020012,13
東伏見,ﾋｶﾞｼﾌｼﾐ,2020021,13
ひばりが丘,ﾋﾊﾞﾘｶﾞｵｶ,2020001,13
ひばりが丘北,ﾋﾊﾞﾘｶﾞｵｶｷﾀ,2020002,13
富士町,ﾌｼﾞﾏﾁ,2020014,13
保谷町,ﾎｳﾔﾁｮｳ,2020015,13
緑町,ﾐﾄﾞﾘﾁｮｳ,1880002,13
南町,ﾐﾅﾐﾁｮｳ,1880012,13
向台町,ﾑｺｳﾀﾞｲﾁｮｳ,1880013,13
柳沢,ﾔｷﾞｻﾜ,2020022,13
谷戸町,ﾔﾄﾁｮｳ,1880001,13
