another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
合山町,ｱﾔﾏﾁｮｳ,6770061,28
板波町,ｲﾀﾊﾞﾁｮｳ,6770056,28
市原町,ｲﾁﾊﾗﾁｮｳ,6770004,28
上野,ｳｴﾉ,6770044,28
大垣内,ｵｵｶﾞﾁ,6770038,28
大木町,ｵｵｷﾞﾁｮｳ,6770001,28
大野,ｵｵﾉ,6770025,28
岡崎町,ｵｶｻﾞｷﾁｮｳ,6770065,28
落方町,ｵﾁｶﾀﾁｮｳ,6770068,28
上王子町,ｶﾐｵｳｼﾞﾁｮｳ,6770069,28
上戸田,ｶﾐﾄﾀﾞ,6770035,28
上比延町,ｶﾐﾋｴﾁｮｳ,6770039,28
黒田庄町石原,ｸﾛﾀﾞｼｮｳﾁｮｳｲｼﾊﾗ,6790322,28
黒田庄町大伏,ｸﾛﾀﾞｼｮｳﾁｮｳｵｵﾌｼ,6790324,28
黒田庄町岡,ｸﾛﾀﾞｼｮｳﾁｮｳｵｶ,6790313,28
黒田庄町喜多,ｸﾛﾀﾞｼｮｳﾁｮｳｷﾀ,6790311,28
黒田庄町黒田,ｸﾛﾀﾞｼｮｳﾁｮｳｸﾛﾀﾞ,6790302,28
黒田庄町小苗,ｸﾛﾀﾞｼｮｳﾁｮｳｺﾅｴ,6790301,28
黒田庄町大門,ｸﾛﾀﾞｼｮｳﾁｮｳﾀﾞｲﾓﾝ,6790316,28
黒田庄町田高,ｸﾛﾀﾞｼｮｳﾁｮｳﾀｺｳ,6790321,28
黒田庄町津万井,ｸﾛﾀﾞｼｮｳﾁｮｳﾂﾏｲ,6790315,28
黒田庄町西澤,ｸﾛﾀﾞｼｮｳﾁｮｳﾆｼｻﾞﾜ,6790323,28
黒田庄町福地,ｸﾛﾀﾞｼｮｳﾁｮｳﾌｸｼﾞ,6790314,28
黒田庄町船町,ｸﾛﾀﾞｼｮｳﾁｮｳﾌﾅﾏﾁ,6790304,28
黒田庄町前坂,ｸﾛﾀﾞｼｮｳﾁｮｳﾏｴｻｶ,6790303,28
黒田庄町門柳,ｸﾛﾀﾞｼｮｳﾁｮｳﾓﾝﾘｭｳ,6790312,28
高田井町,ｺｳﾀﾞｲﾁｮｳ,6770016,28
小坂町,ｺｻｶﾁｮｳ,6770017,28
郷瀬町,ｺﾞﾉｾﾁｮｳ,6770014,28
蒲江,ｺﾓｴ,6770021,28
坂本,ｻｶﾓﾄ,6770026,28
鹿野町,ｼｶﾉﾁｮｳ,6770033,28
嶋,ｼﾏ,6770024,28
下戸田,ｼﾓﾄﾀﾞ,6770043,28
住吉町,ｽﾐﾖｼﾁｮｳ,6770031,28
高嶋町,ﾀｶｼﾏﾁｮｳ,6770041,28
高松町,ﾀｶﾏﾂﾁｮｳ,6770055,28
谷町,ﾀﾆﾁｮｳ,6770051,28
塚口町,ﾂｶｸﾞﾁﾁｮｳ,6770034,28
津万,ﾂﾏ,6770036,28
出会町,ﾃﾞｱｲﾁｮｳ,6770062,28
寺内,ﾃﾗｳﾁ,6770022,28
富田町,ﾄﾐﾀﾁｮｳ,6770018,28
富吉上町,ﾄﾐﾖｼｶﾐﾏﾁ,6770011,28
富吉南町,ﾄﾐﾖｼﾐﾅﾐﾁｮｳ,6770012,28
中畑町,ﾅｶﾊﾀﾁｮｳ,6770032,28
西嶋,ﾆｼｼﾞﾏ,6770023,28
西田町,ﾆｼﾀﾞﾁｮｳ,6770003,28
西脇,ﾆｼﾜｷ,6770015,28
野中町,ﾉﾅｶﾁｮｳ,6770005,28
野村町,ﾉﾑﾗﾁｮｳ,6770054,28
野村町茜が丘,ﾉﾑﾗﾁｮｳｱｶﾈｶﾞｵｶ,6770057,28
羽安町,ﾊﾔｽﾁｮｳ,6770006,28
比延町,ﾋｴﾁｮｳ,6770037,28
日野町,ﾋﾉﾁｮｳ,6770013,28
平野町,ﾋﾗﾉﾁｮｳ,6770063,28
堀町,ﾎﾘﾁｮｳ,6770042,28
前島町,ﾏｴｼﾞﾏﾁｮｳ,6770002,28
水尾町,ﾐｽﾞｵﾁｮｳ,6770066,28
明楽寺町,ﾐｮｳﾗｸｼﾞﾁｮｳ,6770067,28
八坂町,ﾔｻｶﾁｮｳ,6770064,28
和田町,ﾜﾀﾞﾁｮｳ,6770052,28
和布町,ﾜﾌﾞﾁｮｳ,6770053,28
