another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
相生町,ｱｲｵｲﾁｮｳ,0493113,1
旭丘,ｱｻﾋｵｶ,0492561,1
熱田,ｱﾂﾀ,0493125,1
出雲町,ｲｽﾞﾓﾁｮｳ,0493115,1
入沢,ｲﾘｻﾜ,0492564,1
内浦町,ｳﾁｳﾗﾁｮｳ,0493104,1
大新,ｵｵｼﾝ,0493126,1
落部,ｵﾄｼﾍﾞ,0492562,1
春日,ｶｽｶﾞ,0493127,1
上の湯,ｶﾐﾉﾕ,0492566,1
上八雲,ｶﾐﾔｸﾓ,0493121,1
熊石相沼町,ｸﾏｲｼｱｲﾇﾏﾁｮｳ,0430332,1
熊石鮎川町,ｸﾏｲｼｱﾕｶﾜﾁｮｳ,0430402,1
熊石雲石町,ｸﾏｲｼｳﾝｾｷﾁｮｳ,0430416,1
熊石大谷町,ｸﾏｲｼｵｵﾀﾆﾁｮｳ,0430405,1
熊石折戸町,ｸﾏｲｼｵﾘﾄﾁｮｳ,0430331,1
熊石黒岩町,ｸﾏｲｼｸﾛｲﾜﾁｮｳ,0430335,1
熊石見日町,ｸﾏｲｼｹﾝﾆﾁﾁｮｳ,0430401,1
熊石関内町,ｸﾏｲｼｾｷﾅｲﾁｮｳ,0430418,1
熊石平町,ｸﾏｲｼﾀｲﾗﾁｮｳ,0430403,1
熊石畳岩町,ｸﾏｲｼﾀﾀﾐｲﾜﾁｮｳ,0430404,1
熊石館平町,ｸﾏｲｼﾀﾃﾋﾗﾁｮｳ,0430333,1
熊石泊川町,ｸﾏｲｼﾄﾏﾘｶﾜﾁｮｳ,0430334,1
熊石鳴神町,ｸﾏｲｼﾅﾙｶﾐﾁｮｳ,0430417,1
熊石西浜町,ｸﾏｲｼﾆｼﾊﾏﾁｮｳ,0430419,1
熊石根崎町,ｸﾏｲｼﾈｻｷﾁｮｳ,0430415,1
黒岩,ｸﾛｲﾜ,0493341,1
栄町,ｻｶｴﾁｮｳ,0493117,1
栄浜,ｻｶｴﾊﾏ,0492563,1
桜野,ｻｸﾗﾉ,0492675,1
東雲町,ｼﾉﾉﾒﾁｮｳ,0493105,1
下の湯,ｼﾓﾉﾕ,0492565,1
末広町,ｽｴﾋﾛﾁｮｳ,0493112,1
住初町,ｽﾐｿﾞﾒﾁｮｳ,0493111,1
立岩,ﾀﾃｲﾜ,0493123,1
富咲,ﾄﾐｻｷ,0493121,1
豊河町,ﾄﾖｶﾜﾁｮｳ,0493103,1
鉛川,ﾅﾏﾘｶﾜ,0493128,1
野田生,ﾉﾀﾞｵｲ,0492672,1
花浦,ﾊﾅｳﾗ,0493122,1
浜松,ﾊﾏﾏﾂ,0493124,1
東町,ﾋｶﾞｼﾁｮｳ,0493102,1
東野,ﾋｶﾞｼﾉ,0492673,1
富士見町,ﾌｼﾞﾐﾁｮｳ,0493106,1
本町,ﾎﾝﾁｮｳ,0493107,1
三杉町,ﾐｽｷﾞﾁｮｳ,0493114,1
緑町,ﾐﾄﾞﾘﾁｮｳ,0493118,1
宮園町,ﾐﾔｿﾞﾉﾁｮｳ,0493116,1
元町,ﾓﾄﾏﾁ,0493101,1
山越,ﾔﾏｺｼ,0492671,1
山崎,ﾔﾏｻﾞｷ,0493342,1
わらび野,ﾜﾗﾋﾞﾉ,0492674,1
