another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
青葉町,ｱｵﾊﾞﾁｮｳ,0590027,1
柏木町,ｶｼﾜｷﾞﾁｮｳ,0590017,1
片倉町,ｶﾀｸﾗﾁｮｳ,0590016,1
上登別町,ｶﾐﾉﾎﾞﾘﾍﾞﾂﾁｮｳ,0590552,1
上鷲別町,ｶﾐﾜｼﾍﾞﾂﾁｮｳ,0590031,1
カルルス町,ｶﾙﾙｽﾁｮｳ,0590553,1
川上町,ｶﾜｶﾐﾁｮｳ,0590022,1
鉱山町,ｺｳｻﾞﾝﾁｮｳ,0590021,1
幸町,ｻｲﾜｲﾁｮｳ,0590002,1
栄町,ｻｶｴﾁｮｳ,0590033,1
桜木町,ｻｸﾗｷﾞﾁｮｳ,0590023,1
札内町,ｻﾂﾅｲﾁｮｳ,0000000,1
新栄町,ｼﾝｴｲﾁｮｳ,0590001,1
新川町,ｼﾝｶﾜﾁｮｳ,0590015,1
新生町,ｼﾝｾｲﾁｮｳ,0590032,1
千歳町,ﾁﾄｾﾁｮｳ,0590003,1
中央町,ﾁｭｳｵｳﾁｮｳ,0590012,1
常盤町,ﾄｷﾜﾁｮｳ,0590011,1
富浦町,ﾄﾐｳﾗﾁｮｳ,0590462,1
富岸町,ﾄﾝｹｼﾁｮｳ,0590028,1
中登別町,ﾅｶﾉﾎﾞﾘﾍﾞﾂﾁｮｳ,0590463,1
登別温泉町,ﾉﾎﾞﾘﾍﾞﾂｵﾝｾﾝﾁｮｳ,0590551,1
登別東町,ﾉﾎﾞﾘﾍﾞﾂﾋｶﾞｼﾁｮｳ,0590464,1
登別本町,ﾉﾎﾞﾘﾍﾞﾂﾎﾝﾁｮｳ,0590465,1
登別港町,ﾉﾎﾞﾘﾍﾞﾂﾐﾅﾄﾁｮｳ,0590466,1
富士町,ﾌｼﾞﾁｮｳ,0590014,1
幌別町,ﾎﾛﾍﾞﾂﾁｮｳ,0590013,1
美園町,ﾐｿﾉﾁｮｳ,0590036,1
緑町,ﾐﾄﾞﾘﾁｮｳ,0590024,1
大和町,ﾔﾏﾄﾁｮｳ,0590025,1
来馬町,ﾗｲﾊﾞﾁｮｳ,0590004,1
若草町,ﾜｶｸｻﾁｮｳ,0590035,1
若山町,ﾜｶﾔﾏﾁｮｳ,0590026,1
鷲別町,ﾜｼﾍﾞﾂﾁｮｳ,0590034,1
