another_name,another_name_kana,post_id,prefecture_id
,,0000000,17
粟生町,ｱｵﾏﾁ,9231101,17
赤井町,ｱｶｲﾏﾁ,9290101,17
秋常町,ｱｷﾂﾈﾏﾁ,9231103,17
旭台,ｱｻﾋﾀﾞｲ,9231211,17
莇生町,ｱｿﾞｳﾏﾁ,9231202,17
荒屋町,ｱﾗﾔﾏﾁ,9231233,17
石子町,ｲｼｺﾏﾁ,9231105,17
泉台町,ｲｽﾞﾐﾀﾞｲﾏﾁ,9231111,17
岩内町,ｲﾜｳﾁﾏﾁ,9231201,17
岩本町,ｲﾜﾓﾄﾏﾁ,9231207,17
牛島町,ｳｼｼﾞﾏﾏﾁ,9231113,17
大口町,ｵｵｸﾁﾏﾁ,9231212,17
大長野町,ｵｵﾅｶﾞﾉﾏﾁ,9231115,17
大浜町,ｵｵﾊﾏﾏﾁ,9290122,17
上開発町,ｶﾐｶｲﾊﾂﾏﾁ,9231231,17
上清水町,ｶﾐｼﾐｽﾞﾏﾁ,9231237,17
北市町,ｷﾀｲﾁﾏﾁ,9231236,17
倉重町,ｸﾗｼｹﾞﾏﾁ,9231246,17
高座町,ｺｳｻﾞﾏﾁ,9231234,17
五間堂町,ｺﾞｹﾝﾄﾞｳﾏﾁ,9290103,17
小杉町,ｺｽｷﾞﾏﾁ,9231114,17
小長野町,ｺﾅｶﾞﾉﾏﾁ,9231116,17
金剛寺町,ｺﾝｺﾞｳｼﾞﾏﾁ,9231214,17
佐野町,ｻﾉﾏﾁ,9231112,17
三道山町,ｻﾝﾄﾞｳﾔﾏﾏﾁ,9231124,17
下開発町,ｼﾓｶｲﾊﾂﾏﾁ,9231232,17
下清水町,ｼﾓｼﾐｽﾞﾏﾁ,9231238,17
下ノ江町,ｼﾓﾉｺﾞｳﾏﾁ,9290115,17
新保町,ｼﾝﾎﾞﾏﾁ,9231102,17
末信町,ｽｴﾉﾌﾞﾏﾁ,9231117,17
大成町,ﾀｲｾｲﾏﾁ,9290113,17
高坂町,ﾀｶｻｶﾏﾁ,9290116,17
舘町,ﾀﾁﾏﾁ,9231215,17
辰口町,ﾀﾂﾉｸﾁﾏﾁ,9231245,17
坪野町,ﾂﾎﾞﾉﾏﾁ,9231213,17
出口町,ﾃﾞｸﾞﾁﾏﾁ,9231247,17
寺井町,ﾃﾗｲﾏﾁ,9231121,17
寺畠町,ﾃﾗﾊﾞﾀｹﾏﾁ,9231223,17
道林町,ﾄﾞｳﾘﾝﾏﾁ,9290125,17
徳山町,ﾄｸｻﾝﾏﾁ,9231222,17
徳久町,ﾄｸﾋｻﾏﾁ,9231235,17
灯台笹町,ﾄﾀﾞｼﾉﾏﾁ,9231206,17
長滝町,ﾅｶﾞﾀｷﾏﾁ,9231204,17
中ノ江町,ﾅｶﾉｺﾞｳﾏﾁ,9290105,17
中庄町,ﾅｶﾉｼｮｳﾏﾁ,9290104,17
中町,ﾅｶﾏﾁ,9290123,17
鍋谷町,ﾅﾍﾞﾀﾆﾏﾁ,9231216,17
西任田町,ﾆｼﾄｳﾀﾞﾏﾁ,9290102,17
西二口町,ﾆｼﾌﾀｸﾁﾏﾁ,9290106,17
根上町,ﾈｱｶﾞﾘﾏﾁ,9290116,17
能美,ﾉﾐ,9290108,17
浜開発町,ﾊﾏｶｲﾊﾂﾏﾁ,9290114,17
浜町,ﾊﾏﾏﾁ,9290124,17
東任田町,ﾋｶﾞｼﾄｳﾀﾞﾏﾁ,9231122,17
火釜町,ﾋｶﾞﾏﾏﾁ,9231242,17
福岡町,ﾌｸｵｶﾏﾁ,9290107,17
福島町,ﾌｸｼﾏﾏﾁ,9290112,17
仏大寺町,ﾌﾞﾂﾀｲｼﾞﾏﾁ,9231217,17
松が岡,ﾏﾂｶﾞｵｶ,9231225,17
末寺町,ﾏﾂｼﾞﾏﾁ,9231107,17
三ツ口町,ﾐﾂｸﾁﾏﾁ,9231203,17
三ツ屋町,ﾐﾂﾔﾏﾁ,9231243,17
緑が丘,ﾐﾄﾞﾘｶﾞｵｶ,9231226,17
宮竹町,ﾐﾔﾀｹﾏﾁ,9231205,17
山口町,ﾔﾏｸﾞﾁﾏﾁ,9290126,17
山田町,ﾔﾏﾀﾞﾏﾁ,9231241,17
湯谷町,ﾕﾉﾀﾆﾏﾁ,9231104,17
湯屋町,ﾕﾉﾔﾏﾁ,9231221,17
吉原釜屋町,ﾖｼﾊﾗｶﾞﾏﾔﾏﾁ,9290121,17
吉原町,ﾖｼﾊﾗﾏﾁ,9290111,17
吉光町,ﾖｼﾐﾂﾏﾁ,9231123,17
来丸町,ﾗｲﾏﾙﾏﾁ,9231244,17
和気町,ﾜｹﾏﾁ,9231224,17
和光台,ﾜｺｳﾀﾞｲ,9231227,17
和佐谷町,ﾜｻﾀﾞﾆﾏﾁ,9231208,17
和田町,ﾜﾀﾞﾏﾁ,9231106,17
