another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
赤地,ｱｶｼﾞ,8220012,40
植木,ｳｴｷ,8220031,40
永満寺,ｴｲﾏﾝｼﾞ,8220005,40
上境,ｶﾐｻﾞｶｲ,8220006,40
上新入,ｶﾐｼﾝﾆｭｳ,8220033,40
上頓野,ｶﾐﾄﾝﾉ,8220003,40
感田,ｶﾞﾝﾀﾞ,8220001,40
下境,ｼﾓｻﾞｶｲ,8220007,40
下新入,ｼﾓｼﾝﾆｭｳ,8220032,40
神正町,ｼﾝｾｲﾏﾁ,8220023,40
新知町,ｼﾝﾁﾏﾁ,8220021,40
新町,ｼﾝﾏﾁ,8220015,40
須崎町,ｽｻｷﾏﾁ,8220024,40
知古,ﾁｺ,8220022,40
津田町,ﾂﾀﾞﾏﾁ,8220026,40
殿町,ﾄﾉﾏﾁ,8220017,40
頓野,ﾄﾝﾉ,8220002,40
中泉,ﾅｶｲｽﾞﾐ,8220011,40
直方,ﾉｵｶﾞﾀ,8220016,40
畑,ﾊﾀ,8220004,40
日吉町,ﾋﾖｼﾏﾁ,8220025,40
古町,ﾌﾙﾏﾁ,8220027,40
丸山町,ﾏﾙﾔﾏﾏﾁ,8220014,40
溝堀,ﾐｿﾞﾎﾘ,8220013,40
山部,ﾔﾏﾍﾞ,8220034,40
湯野原,ﾕﾉﾊﾗ,8220008,40
