another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
愛国町,ｱｲｺｸﾁｮｳ,0891181,1
泉町,ｲｽﾞﾐﾁｮｳ,0891245,1
以平町,ｲﾀｲﾗﾁｮｳ,0891244,1
稲田町,ｲﾅﾀﾞﾁｮｳ,0800835,1
稲田町基線,ｲﾅﾀﾞﾁｮｳｷｾﾝ,0800833,1
稲田町西,ｲﾅﾀﾞﾁｮｳﾆｼ,0800834,1
稲田町東,ｲﾅﾀﾞﾁｮｳﾋｶﾞｼ,0800832,1
稲田町南,ｲﾅﾀﾞﾁｮｳﾐﾅﾐ,0800831,1
岩内町,ｲﾜﾅｲﾁｮｳ,0802121,1
岩内町第１基線,ｲﾜﾅｲﾁｮｳﾀﾞｲ1ｷｾﾝ,0802122,1
岩内町西,ｲﾜﾅｲﾁｮｳﾆｼ,0802123,1
岩内町東,ｲﾜﾅｲﾁｮｳﾋｶﾞｼ,0802124,1
大川町,ｵｵｶﾜﾁｮｳ,0800816,1
大空町,ｵｵｿﾞﾗﾁｮｳ,0800838,1
大通北,ｵｵﾄﾞｵﾘｷﾀ,0800030,1
大通南,ｵｵﾄﾞｵﾘﾐﾅﾐ,0800010,1
上帯広町,ｶﾐｵﾋﾞﾋﾛﾁｮｳ,0802334,1
上清川町,ｶﾐｷﾖｶﾜﾁｮｳ,0802111,1
上清川町基線,ｶﾐｷﾖｶﾜﾁｮｳｷｾﾝ,0802112,1
上清川町西,ｶﾐｷﾖｶﾜﾁｮｳﾆｼ,0802113,1
上清川町東,ｶﾐｷﾖｶﾜﾁｮｳﾋｶﾞｼ,0802114,1
川西町,ｶﾜﾆｼﾁｮｳ,0891182,1
清川町,ｷﾖｶﾜﾁｮｳ,0802101,1
清川町基線,ｷﾖｶﾜﾁｮｳｷｾﾝ,0802102,1
清川町仲通,ｷﾖｶﾜﾁｮｳﾅｶﾄﾞｵﾘ,0802115,1
清川町西,ｷﾖｶﾜﾁｮｳﾆｼ,0802103,1
清川町東,ｷﾖｶﾜﾁｮｳﾋｶﾞｼ,0802104,1
清川町本通,ｷﾖｶﾜﾁｮｳﾎﾝﾄﾞｵﾘ,0802116,1
空港南町,ｸｳｺｳﾐﾅﾐﾏﾁ,0800836,1
空港南町南,ｸｳｺｳﾐﾅﾐﾏﾁﾐﾅﾐ,0800837,1
公園東町,ｺｳｴﾝﾋｶﾞｼﾏﾁ,0800847,1
幸福町,ｺｳﾌｸﾁｮｳ,0891246,1
桜木町,ｻｸﾗｷﾞﾁｮｳ,0891243,1
自由が丘,ｼﾞﾕｳｶﾞｵｶ,0000000,1
昭和町,ｼｮｳﾜﾁｮｳ,0891247,1
白樺十六条西,ｼﾗｶﾊﾞ16ｼﾞｮｳﾆｼ,0800051,1
白樺十六条東,ｼﾗｶﾊﾞ16ｼﾞｮｳﾋｶﾞｼ,0800050,1
新町西,ｼﾝﾏﾁﾆｼ,0800053,1
新町東,ｼﾝﾏﾁﾋｶﾞｼ,0800052,1
清流西,ｾｲﾘｭｳﾆｼ,0800872,1
清流東,ｾｲﾘｭｳﾋｶﾞｼ,0800871,1
大正町,ﾀｲｼｮｳﾁｮｳ,0891242,1
大正本町,ﾀｲｼｮｳﾎﾝﾁｮｳ,0891241,1
太平町,ﾀｲﾍｲﾁｮｳ,0802105,1
太平町西,ﾀｲﾍｲﾁｮｳﾆｼ,0802117,1
拓成町,ﾀｸｾｲﾁｮｳ,0802337,1
豊西町,ﾄﾖﾆｼﾁｮｳ,0891183,1
中島町,ﾅｶｼﾞﾏﾁｮｳ,0891252,1
西一条北,ﾆｼ1ｼﾞｮｳｷﾀ,0800031,1
西一条南,ﾆｼ1ｼﾞｮｳﾐﾅﾐ,0800011,1
西二条北,ﾆｼ2ｼﾞｮｳｷﾀ,0800032,1
西二条南,ﾆｼ2ｼﾞｮｳﾐﾅﾐ,0800012,1
西三条北,ﾆｼ3ｼﾞｮｳｷﾀ,0800033,1
西三条南,ﾆｼ3ｼﾞｮｳﾐﾅﾐ,0800013,1
西四条北,ﾆｼ4ｼﾞｮｳｷﾀ,0800034,1
西四条南,ﾆｼ4ｼﾞｮｳﾐﾅﾐ,0800014,1
西五条北,ﾆｼ5ｼﾞｮｳｷﾀ,0800035,1
西五条南,ﾆｼ5ｼﾞｮｳﾐﾅﾐ,0800015,1
西六条北,ﾆｼ6ｼﾞｮｳｷﾀ,0800036,1
西六条南,ﾆｼ6ｼﾞｮｳﾐﾅﾐ,0800016,1
西七条北,ﾆｼ7ｼﾞｮｳｷﾀ,0800037,1
西七条南,ﾆｼ7ｼﾞｮｳﾐﾅﾐ,0800017,1
西八条北,ﾆｼ8ｼﾞｮｳｷﾀ,0800038,1
西八条南,ﾆｼ8ｼﾞｮｳﾐﾅﾐ,0800018,1
西九条北,ﾆｼ9ｼﾞｮｳｷﾀ,0800039,1
西九条南,ﾆｼ9ｼﾞｮｳﾐﾅﾐ,0800019,1
西十条北,ﾆｼ10ｼﾞｮｳｷﾀ,0800040,1
西十条南,ﾆｼ10ｼﾞｮｳﾐﾅﾐ,0800020,1
西十一条北,ﾆｼ11ｼﾞｮｳｷﾀ,0800041,1
西十一条南,ﾆｼ11ｼﾞｮｳﾐﾅﾐ,0800021,1
西十二条北,ﾆｼ12ｼﾞｮｳｷﾀ,0800042,1
西十二条南,ﾆｼ12ｼﾞｮｳﾐﾅﾐ,0800022,1
西十三条北,ﾆｼ13ｼﾞｮｳｷﾀ,0800043,1
西十三条南,ﾆｼ13ｼﾞｮｳﾐﾅﾐ,0800023,1
西十四条北,ﾆｼ14ｼﾞｮｳｷﾀ,0800044,1
西十四条南,ﾆｼ14ｼﾞｮｳﾐﾅﾐ,0800024,1
西十五条北,ﾆｼ15ｼﾞｮｳｷﾀ,0800045,1
西十五条南,ﾆｼ15ｼﾞｮｳﾐﾅﾐ,0800025,1
西十六条北,ﾆｼ16ｼﾞｮｳｷﾀ,0800046,1
西十六条南,ﾆｼ16ｼﾞｮｳﾐﾅﾐ,0800026,1
西十七条北,ﾆｼ17ｼﾞｮｳｷﾀ,0800047,1
西十七条南,ﾆｼ17ｼﾞｮｳﾐﾅﾐ,0800027,1
西十八条北,ﾆｼ18ｼﾞｮｳｷﾀ,0800048,1
西十八条南,ﾆｼ18ｼﾞｮｳﾐﾅﾐ,0800028,1
西十九条北,ﾆｼ19ｼﾞｮｳｷﾀ,0802459,1
西十九条南,ﾆｼ19ｼﾞｮｳﾐﾅﾐ,0000000,1
西二十条北,ﾆｼ20ｼﾞｮｳｷﾀ,0802460,1
西二十条南,ﾆｼ20ｼﾞｮｳﾐﾅﾐ,0802470,1
西二十一条北,ﾆｼ21ｼﾞｮｳｷﾀ,0802461,1
西二十一条南,ﾆｼ21ｼﾞｮｳﾐﾅﾐ,0802471,1
西二十二条北,ﾆｼ22ｼﾞｮｳｷﾀ,0802462,1
西二十二条南,ﾆｼ22ｼﾞｮｳﾐﾅﾐ,0802472,1
西二十三条北,ﾆｼ23ｼﾞｮｳｷﾀ,0802463,1
西二十三条南,ﾆｼ23ｼﾞｮｳﾐﾅﾐ,0802473,1
西二十四条北,ﾆｼ24ｼﾞｮｳｷﾀ,0802464,1
西二十四条南,ﾆｼ24ｼﾞｮｳﾐﾅﾐ,0802474,1
西二十五条北,ﾆｼ25ｼﾞｮｳｷﾀ,0802465,1
西二十五条南,ﾆｼ25ｼﾞｮｳﾐﾅﾐ,0802475,1
柏林台北町,ﾊｸﾘﾝﾀﾞｲｷﾀﾏﾁ,0800054,1
柏林台中町,ﾊｸﾘﾝﾀﾞｲﾅｶﾏﾁ,0800057,1
柏林台西町,ﾊｸﾘﾝﾀﾞｲﾆｼﾏﾁ,0800058,1
柏林台東町,ﾊｸﾘﾝﾀﾞｲﾋｶﾞｼﾏﾁ,0800055,1
柏林台南町,ﾊｸﾘﾝﾀﾞｲﾐﾅﾐﾏﾁ,0800056,1
美栄町,ﾋﾞｴｲﾁｮｳ,0000000,1
東一条北,ﾋｶﾞｼ1ｼﾞｮｳｷﾀ,0800821,1
東一条南,ﾋｶﾞｼ1ｼﾞｮｳﾐﾅﾐ,0800801,1
東二条北,ﾋｶﾞｼ2ｼﾞｮｳｷﾀ,0800822,1
東二条南,ﾋｶﾞｼ2ｼﾞｮｳﾐﾅﾐ,0800802,1
東三条北,ﾋｶﾞｼ3ｼﾞｮｳｷﾀ,0800823,1
東三条南,ﾋｶﾞｼ3ｼﾞｮｳﾐﾅﾐ,0800803,1
東四条北,ﾋｶﾞｼ4ｼﾞｮｳｷﾀ,0800824,1
東四条南,ﾋｶﾞｼ4ｼﾞｮｳﾐﾅﾐ,0800804,1
東五条南,ﾋｶﾞｼ5ｼﾞｮｳﾐﾅﾐ,0800805,1
東六条南,ﾋｶﾞｼ6ｼﾞｮｳﾐﾅﾐ,0800806,1
東七条南,ﾋｶﾞｼ7ｼﾞｮｳﾐﾅﾐ,0800807,1
東八条南,ﾋｶﾞｼ8ｼﾞｮｳﾐﾅﾐ,0800808,1
東九条南,ﾋｶﾞｼ9ｼﾞｮｳﾐﾅﾐ,0800809,1
東十条南,ﾋｶﾞｼ10ｼﾞｮｳﾐﾅﾐ,0800810,1
東十一条南,ﾋｶﾞｼ11ｼﾞｮｳﾐﾅﾐ,0800811,1
東十二条南,ﾋｶﾞｼ12ｼﾞｮｳﾐﾅﾐ,0800812,1
東十三条南,ﾋｶﾞｼ13ｼﾞｮｳﾐﾅﾐ,0800813,1
東十四条南,ﾋｶﾞｼ14ｼﾞｮｳﾐﾅﾐ,0800814,1
東十五条南,ﾋｶﾞｼ15ｼﾞｮｳﾐﾅﾐ,0800815,1
広野町,ﾋﾛﾉﾁｮｳ,0802335,1
富士町,ﾌｼﾞﾁｮｳ,0000000,1
別府町,ﾍﾞｯﾌﾟﾁｮｳ,0891184,1
緑ケ丘,ﾐﾄﾞﾘｶﾞｵｶ,0800846,1
緑ケ丘一条通,ﾐﾄﾞﾘｶﾞｵｶ1ｼﾞｮｳﾄﾞｵﾘ,0800841,1
緑ケ丘二条通,ﾐﾄﾞﾘｶﾞｵｶ2ｼﾞｮｳﾄﾞｵﾘ,0800842,1
緑ケ丘三条通,ﾐﾄﾞﾘｶﾞｵｶ3ｼﾞｮｳﾄﾞｵﾘ,0800843,1
緑ケ丘東通西,ﾐﾄﾞﾘｶﾞｵｶﾋｶﾞｼﾄﾞｵﾘﾆｼ,0800845,1
緑ケ丘東通東,ﾐﾄﾞﾘｶﾞｵｶﾋｶﾞｼﾄﾞｵﾘﾋｶﾞｼ,0800844,1
南の森西,ﾐﾅﾐﾉﾓﾘﾆｼ,0800862,1
南の森東,ﾐﾅﾐﾉﾓﾘﾋｶﾞｼ,0800861,1
南町,ﾐﾅﾐﾏﾁ,0800857,1
南町南,ﾐﾅﾐﾏﾁﾐﾅﾐ,0800856,1
基松町,ﾓﾄｲﾏﾂﾁｮｳ,0802331,1
八千代町,ﾔﾁﾖﾁｮｳ,0802336,1
依田町,ﾖﾀﾞﾁｮｳ,0800817,1
