another_name,another_name_kana,post_id,prefecture_id
,,0000000,33
青江,ｱｵｴ,7000941,33
飽浦,ｱｸﾗ,7028013,33
あけぼの町,ｱｹﾎﾞﾉﾁｮｳ,7028057,33
阿津,ｱﾂ,7028015,33
泉田,ｲｽﾞﾐﾀﾞ,7000944,33
植松,ｳｴﾏﾂ,7100151,33
内尾,ｳﾁｵ,7010212,33
浦安西町,ｳﾗﾔｽﾆｼﾏﾁ,7028025,33
浦安本町,ｳﾗﾔｽﾎﾝﾏﾁ,7028026,33
浦安南町,ｳﾗﾔｽﾐﾅﾐﾏﾁ,7028024,33
大福,ｵｵﾌｸ,7010204,33
奥迫川,ｵｸﾊｻﾞｶﾜ,7091212,33
海岸通,ｶｲｶﾞﾝﾄﾞｵﾘ,7028045,33
片岡,ｶﾀｵｶ,7091215,33
川張,ｶﾜﾊﾘ,7091214,33
北浦,ｷﾀｳﾗ,7028012,33
北七区,ｷﾀﾅﾅｸ,7091201,33
郡,ｺｵﾘ,7028011,33
小串,ｺｸﾞｼ,7028016,33
古新田,ｺｼﾝﾃﾞﾝ,7010203,33
市場,ｼｼﾞｮｳ,7028052,33
下中野,ｼﾓﾅｶﾉ,7000973,33
新福,ｼﾝﾌﾟｸ,7000943,33
新保,ｼﾝﾎﾞｳ,7000945,33
洲崎,ｽｻﾞｷ,7028042,33
妹尾,ｾﾉｵ,7010205,33
妹尾崎,ｾﾉｵｻﾞｷ,7010201,33
宗津,ｿｳﾂﾞ,7091216,33
曽根,ｿﾈ,7010214,33
立川町,ﾀﾁｶﾜﾁｮｳ,7028046,33
築港栄町,ﾁｯｺｳｻｶｴﾏﾁ,7028053,33
築港新町,ﾁｯｺｳｼﾝﾏﾁ,7028056,33
築港ひかり町,ﾁｯｺｳﾋｶﾘﾏﾁ,7028054,33
築港緑町,ﾁｯｺｳﾐﾄﾞﾘﾏﾁ,7028055,33
築港元町,ﾁｯｺｳﾓﾄﾏﾁ,7028051,33
千鳥町,ﾁﾄﾞﾘﾁｮｳ,7028037,33
当新田,ﾄｳｼﾝﾃﾞﾝ,7000956,33
富浜町,ﾄﾐﾊﾏﾁｮｳ,7028041,33
豊成,ﾄﾖﾅﾘ,7000942,33
豊浜町,ﾄﾖﾊﾏﾁｮｳ,7000853,33
中畦,ﾅｶｳﾈ,7010213,33
並木町,ﾅﾐｷﾁｮｳ,7028058,33
南輝,ﾅﾝｷ,7028023,33
西市,ﾆｼｲﾁ,7000953,33
西畦,ﾆｼｳﾈ,7010215,33
西紅陽台,ﾆｼｺｳﾖｳﾀﾞｲ,7091203,33
西高崎,ﾆｼﾀｶｻｷ,7091204,33
西七区,ﾆｼﾅﾅｸ,7091202,33
迫川,ﾊｻﾞｶﾜ,7091211,33
浜野,ﾊﾏﾉ,7000845,33
東畦,ﾋｶﾞｼｳﾈ,7010211,33
彦崎,ﾋｺｻｷ,7091213,33
平福,ﾋﾗﾌｸ,7028043,33
福島,ﾌｸｼﾏ,7028044,33
福田,ﾌｸﾀﾞ,7028021,33
福富中,ﾌｸﾄﾐﾅｶ,7028032,33
福富西,ﾌｸﾄﾐﾆｼ,7028031,33
福富東,ﾌｸﾄﾐﾋｶﾞｼ,7028033,33
福成,ﾌｸﾅﾘ,7028022,33
福浜町,ﾌｸﾊﾏﾁｮｳ,7028035,33
福浜西町,ﾌｸﾊﾏﾆｼﾏﾁ,7028034,33
福吉町,ﾌｸﾖｼﾁｮｳ,7028048,33
藤田,ﾌｼﾞﾀ,7010221,33
芳泉,ﾎｳｾﾝ,7028027,33
松浜町,ﾏﾂﾊﾏﾁｮｳ,7028038,33
万倍,ﾏﾝﾊﾞｲ,7000955,33
箕島,ﾐｼﾏ,7010206,33
三浜町,ﾐﾊﾏﾁｮｳ,7028036,33
宮浦,ﾐﾔｳﾗ,7028014,33
山田,ﾔﾏﾀﾞ,7010202,33
米倉,ﾖﾈｸﾞﾗ,7000954,33
若葉町,ﾜｶﾊﾞﾁｮｳ,7028047,33
