another_name,another_name_kana,post_id,prefecture_id
,,0000000,33
赤坂本町,ｱｶｻｶﾎﾝﾏﾁ,7038288,33
赤坂南新町,ｱｶｻｶﾐﾅﾐｼﾝﾏﾁ,7038283,33
赤坂台,ｱｶｻｶﾀﾞｲ,7038287,33
赤田,ｱｺﾀﾞ,7038231,33
網浜,ｱﾐﾉﾊﾏ,7038284,33
今在家,ｲﾏｻﾞｲｹ,7038208,33
今谷,ｲﾏﾀﾞﾆ,7038226,33
江崎,ｴｻﾞｷ,7028005,33
江並,ｴﾅﾐ,7028004,33
沖元,ｵｷﾓﾄ,7028001,33
奥市,ｵｸｲﾁ,7038272,33
乙多見,ｵﾀﾐ,7038228,33
御成町,ｵﾅﾘﾁｮｳ,7038277,33
雄町,ｵﾏﾁ,7038204,33
門田文化町,ｶﾄﾞﾀﾌﾞﾝｶﾏﾁ,7038273,33
門田本町,ｶﾄﾞﾀﾎﾝﾏﾁ,7038274,33
門田屋敷,ｶﾄﾞﾀﾔｼｷ,7038275,33
門田屋敷本町,ｶﾄﾞﾀﾔｼｷﾎﾝﾏﾁ,7038276,33
兼基,ｶﾈﾓﾄ,7038227,33
祇園,ｷﾞｵﾝ,7038207,33
旭東町,ｷｮｸﾄｳﾁｮｳ,7038286,33
国富,ｸﾆﾄﾐ,7038236,33
倉田,ｸﾗﾀ,7038265,33
倉富,ｸﾗﾄﾐ,7038264,33
倉益,ｸﾗﾏｽ,7038263,33
桑野,ｸﾜﾉ,7028002,33
神下,ｺｳｼﾀ,7038225,33
国府市場,ｺｸﾌｲﾁﾊﾞ,7038203,33
小橋町,ｺﾊﾞｼﾁｮｳ,7038293,33
さい,ｻｲ,7038248,33
さい東町,ｻｲﾋｶﾞｼﾏﾁ,7038247,33
さくら住座,ｻｸﾗｼﾞｭｳｻﾞ,7038296,33
桜橋,ｻｸﾗﾊﾞｼ,7038285,33
沢田,ｻﾜﾀﾞ,7038234,33
四御神,ｼﾉｺﾞｾﾞ,7038201,33
清水,ｼﾐｽﾞ,7038243,33
下,ｼﾓ,7038222,33
賞田,ｼｮｳﾀﾞ,7038206,33
新京橋,ｼﾝｷｮｳﾊﾞｼ,7038294,33
新築港,ｼﾝﾁｯｺｳ,7028003,33
住吉町,ｽﾐﾖｼﾁｮｳ,7038238,33
関,ｾｷ,7038232,33
高島,ﾀｶｼﾏ,7038242,33
高島新屋敷,ﾀｶｼﾏｼﾝﾔｼｷ,7038241,33
高屋,ﾀｶﾔ,7038233,33
竹田,ﾀｹﾀﾞ,7038251,33
中納言町,ﾁｭｳﾅｺﾞﾝﾁｮｳ,7038292,33
土田,ﾂﾁﾀﾞ,7038217,33
徳吉町,ﾄｸﾖｼﾁｮｳ,7038291,33
中井,ﾅｶｲ,7038205,33
長岡,ﾅｶﾞｵｶ,7038221,33
中島,ﾅｶｼﾏ,7038252,33
長利,ﾅｶﾞﾄｼ,7038223,33
西川原,ﾆｼｶﾞﾜﾗ,7038258,33
西中島町,ﾆｼﾅｶｼﾞﾏﾁｮｳ,7038298,33
浜,ﾊﾏ,7038256,33
原尾島,ﾊﾗｵｼﾏ,7038235,33
東川原,ﾋｶﾞｼｶﾞﾜﾗ,7038255,33
東中島町,ﾋｶﾞｼﾅｶｼﾞﾏﾁｮｳ,7038297,33
東山,ﾋｶﾞｼﾔﾏ,7038281,33
平井,ﾋﾗｲ,7038282,33
福泊,ﾌｸﾄﾞﾏﾘ,7038262,33
藤崎,ﾌｼﾞｻｷ,7028006,33
藤原,ﾌｼﾞﾜﾗ,7038245,33
藤原西町,ﾌｼﾞﾜﾗﾆｼﾏﾁ,7038244,33
藤原光町,ﾌｼﾞﾜﾗﾋｶﾘﾏﾁ,7038246,33
古京町,ﾌﾙｷﾞｮｳﾁｮｳ,7038278,33
円山,ﾏﾙﾔﾏ,7038271,33
湊,ﾐﾅﾄ,7038266,33
御幸町,ﾐﾕｷﾁｮｳ,7038295,33
海吉,ﾐﾖｼ,7038261,33
森下町,ﾓﾘｼﾀﾁｮｳ,7038237,33
八幡,ﾔﾊﾀ,7038254,33
八幡東町,ﾔﾊﾀﾋｶﾞｼﾏﾁ,7038253,33
山崎,ﾔﾏｻｷ,7038267,33
湯迫,ﾕﾊﾞ,7038202,33
米田,ﾖﾈﾀﾞ,7038224,33
