another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
赤堀,ｱｶﾎﾞﾘ,3630002,11
朝日,ｱｻﾋ,3630023,11
泉,ｲｽﾞﾐ,3630021,11
加納,ｶﾉｳ,3630001,11
上日出谷,ｶﾐﾋﾃﾞﾔ,3630026,11
鴨川,ｶﾓｶﾞﾜ,3630024,11
川田谷,ｶﾜﾀﾔ,3630027,11
北,ｷﾀ,3630011,11
倉田,ｸﾗﾀ,3630006,11
五町台,ｺﾞﾁｮｳﾀﾞｲ,3630004,11
寿,ｺﾄﾌﾞｷ,3630016,11
小針領家,ｺﾊﾞﾘﾘｮｳｹ,3630007,11
坂田,ｻｶﾀ,3630008,11
坂田西,ｻｶﾀﾆｼ,3630018,11
坂田東,ｻｶﾀﾋｶﾞｼ,3630009,11
篠津,ｼﾉﾂﾞ,3630003,11
下日出谷,ｼﾓﾋﾃﾞﾔ,3630025,11
下日出谷西,ｼﾓﾋﾃﾞﾔﾆｼ,3630028,11
神明,ｼﾝﾒｲ,3630014,11
末広,ｽｴﾋﾛ,3630012,11
舎人新田,ﾄﾈﾘｼﾝﾃﾞﾝ,3630005,11
西,ﾆｼ,3630017,11
東,ﾋｶﾞｼ,3630013,11
南,ﾐﾅﾐ,3630015,11
若宮,ﾜｶﾐﾔ,3630022,11
