another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
伊左座,ｲｻｻﾞ,8070056,40
猪熊,ｲﾉｸﾏ,8070001,40
梅ノ木団地,ｳﾒﾉｷﾀﾞﾝﾁ,8070006,40
杁,ｴﾌﾞﾘ,8070031,40
おかの台,ｵｶﾉﾀﾞｲ,8070003,40
鯉口,ｺｲｸﾞﾁ,8070047,40
古賀,ｺｶﾞ,8070012,40
頃末,ｺﾛｽｴ,8070021,40
頃末北,ｺﾛｽｴｷﾀ,8070022,40
頃末南,ｺﾛｽｴﾐﾅﾐ,8070025,40
下二,ｼﾓﾌﾀ,8070043,40
下二東,ｼﾓﾌﾀﾋｶﾞｼ,8070053,40
下二西,ｼﾓﾌﾀﾆｼ,8070052,40
高尾,ﾀｶｵ,8070024,40
高松,ﾀｶﾏﾂ,8070005,40
立屋敷,ﾀﾃﾔｼｷ,8070051,40
中央,ﾁｭｳｵｳ,8070023,40
樋口,ﾋｸﾞﾁ,8070002,40
樋口東,ﾋｸﾞﾁﾋｶﾞｼ,8070004,40
二東,ﾌﾀﾋｶﾞｼ,8070054,40
二西,ﾌﾀﾆｼ,8070055,40
緑ケ丘,ﾐﾄﾞﾘｶﾞｵｶ,8070011,40
宮尾台,ﾐﾔｵﾀﾞｲ,8070041,40
美吉野,ﾐﾖｼﾉ,8070044,40
牟田,ﾑﾀ,8070007,40
吉田,ﾖｼﾀﾞ,8070042,40
吉田団地,ﾖｼﾀﾞﾀﾞﾝﾁ,8070042,40
吉田西,ﾖｼﾀﾞﾆｼ,8070046,40
吉田東,ﾖｼﾀﾞﾋｶﾞｼ,8070045,40
吉田南,ﾖｼﾀﾞﾐﾅﾐ,8070048,40
