another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
池田,ｲｹﾀﾞ,2993245,12
砂田,ｲｻｺﾞﾀﾞ,2993249,12
上谷新田,ｳﾜﾔｼﾝﾃﾞﾝ,2993268,12
大網,ｵｵｱﾐ,2993251,12
大竹,ｵｵﾀﾞｹ,2993243,12
柿餅,ｶｷﾓﾁ,2993264,12
桂山,ｶﾂﾗﾔﾏ,2993262,12
金谷郷,ｶﾅﾔｺﾞｳ,2993242,12
上貝塚,ｶﾐｶｲﾂﾞｶ,2993265,12
萱野,ｶﾔﾉ,2993248,12
神房,ｶﾝﾎﾞｳ,2993247,12
木崎,ｷｻｷ,2993217,12
北飯塚,ｷﾀｲｲﾂﾞｶ,2993218,12
北今泉,ｷﾀｲﾏｲｽﾞﾐ,2993201,12
北横川,ｷﾀﾖｺｶﾜ,2993266,12
北吉田,ｷﾀﾖｼﾀﾞ,2993216,12
季美の森南,ｷﾐﾉﾓﾘﾐﾅﾐ,2993241,12
経田,ｷｮｳﾃﾞﾝ,2993231,12
九十根,ｸｼﾞｭｳﾈ,2993261,12
小中,ｺﾅｶ,2993246,12
小西,ｺﾆｼ,2993253,12
駒込,ｺﾏｺﾞﾒ,2993235,12
下ヶ傍示,ｻｹﾞﾎｳｼﾞ,2993214,12
四天木,ｼﾃﾝｷﾞ,2993203,12
清水,ｼﾐｽﾞ,2993212,12
清名幸谷,ｾｲﾅｺﾞｳﾔ,2993267,12
富田,ﾄﾐﾀﾞ,2993221,12
長国,ﾅｶﾞｸﾆ,2993215,12
永田,ﾅｶﾞﾀ,2993233,12
ながた野,ﾅｶﾞﾀﾉ,2993232,12
二之袋,ﾆﾉﾌｸﾛ,2993213,12
星谷,ﾎｼﾔ,2993222,12
細草,ﾎｿｸｻ,2993211,12
仏島,ﾎﾄｹｼﾏ,2993237,12
みずほ台,ﾐｽﾞﾎﾀﾞｲ,2993234,12
みどりが丘,ﾐﾄﾞﾘｶﾞｵｶ,2993255,12
南飯塚,ﾐﾅﾐｲｲﾂﾞｶ,2993219,12
南今泉,ﾐﾅﾐｲﾏｲｽﾞﾐ,2993202,12
南玉,ﾐﾅﾐﾀﾞﾏ,2993244,12
南横川,ﾐﾅﾐﾖｺｶﾜ,2993223,12
みやこ野,ﾐﾔｺﾉ,2993236,12
餅木,ﾓﾁﾉｷ,2993252,12
柳橋,ﾔﾅｷﾞﾊﾞｼ,2993263,12
山口,ﾔﾏｸﾞﾁ,2993256,12
養安寺,ﾖｳｱﾝｼﾞ,2993254,12
