another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
上巻,ｱｹﾞﾏｷ,8310031,40
榎津,ｴﾉｷﾂﾞ,8310004,40
大野島,ｵｵﾉｼﾏ,8310045,40
大橋,ｵｵﾊｼ,8310021,40
荻島,ｵｷﾞｼﾏ,8310027,40
鬼古賀,ｵﾆｺｶﾞ,8310024,40
鐘ケ江,ｶﾈｶﾞｴ,8310008,40
上白垣,ｶﾐｼﾗｶｷ,8310012,40
北古賀,ｷﾀｺｶﾞ,8310032,40
九網,ｸｱﾐ,8310042,40
下林,ｹﾞﾊﾞﾔｼ,8310002,40
郷原,ｺﾞｳﾊﾞﾙ,8310028,40
小保,ｺﾎﾞ,8310041,40
坂井,ｻｶｲ,8310025,40
酒見,ｻｹﾐ,8310016,40
下青木,ｼﾓｱｵｷ,8310001,40
下木佐木,ｼﾓｷｻｷ,8310022,40
下白垣,ｼﾓｼﾗｶｷ,8310011,40
下八院,ｼﾓﾊﾁｲﾝ,8310017,40
下牟田口,ｼﾓﾑﾀｸﾞﾁ,8310023,40
新田,ｼﾝﾃﾞﾝ,8310043,40
津,ﾂ,8310035,40
道海島,ﾄﾞｳｶｲｼﾞﾏ,8310007,40
中木室,ﾅｶｷﾑﾛ,8310014,40
中古賀,ﾅｶｺｶﾞ,8310006,40
中八院,ﾅｶﾊﾁｲﾝ,8310013,40
幡保,ﾊﾀﾎ,8310033,40
一木,ﾋﾄﾂｷ,8310034,40
紅粉屋,ﾍﾞﾆﾔ,8310044,40
本木室,ﾎﾝｷﾞﾑﾛ,8310015,40
三丸,ﾐﾂﾏﾙ,8310026,40
向島,ﾑｶｲｼﾞﾏ,8310005,40
諸富,ﾓﾛﾄﾞﾐ,8310003,40
