another_name,another_name_kana,post_id,prefecture_id
,,0000000,42
赤佐古町,ｱｶｻｺﾏﾁ,8560048,42
荒瀬町,ｱﾗｾﾏﾁ,8560017,42
荒平町,ｱﾗﾋﾗﾏﾁ,8560033,42
池田,ｲｹﾀﾞ,8560026,42
池田新町,ｲｹﾀﾞｼﾝﾏﾁ,8560029,42
乾馬場町,ｲﾇｲﾊﾞﾊﾞﾏﾁ,8560823,42
今津町,ｲﾏﾂﾞﾏﾁ,8560818,42
今富町,ｲﾏﾄﾐﾏﾁ,8560018,42
今村町,ｲﾏﾑﾗﾏﾁ,8560843,42
岩松町,ｲﾜﾏﾂﾏﾁ,8560044,42
植松,ｳｴﾏﾂ,8560027,42
大川田町,ｵｵｶﾜﾀﾞﾏﾁ,8560804,42
大里町,ｵｵｻﾞﾄﾏﾁ,8560845,42
小川内町,ｵｶﾞﾜｳﾁﾏﾁ,8560043,42
沖田町,ｵｷﾀﾏﾁ,8560809,42
鬼橋町,ｵﾆﾊﾞｼﾏﾁ,8560021,42
小路口本町,ｵﾛｸﾞﾁﾎﾝﾏﾁ,8560020,42
小路口町,ｵﾛｸﾞﾁﾏﾁ,8560025,42
皆同町,ｶｲﾄﾞｳﾏﾁ,8560802,42
陰平町,ｶｹﾞﾋﾗﾏﾁ,8560841,42
水主町,ｶｺﾏﾁ,8560827,42
片町,ｶﾀﾏﾁ,8560833,42
上諏訪町,ｶﾐｽﾜﾏﾁ,8560023,42
協和町,ｷｮｳﾜﾏﾁ,8560820,42
杭出津,ｸｲﾃﾞﾂ,8560828,42
草場町,ｸｻﾊﾞﾏﾁ,8560007,42
玖島,ｸｼﾏ,8560834,42
久原,ｸﾊﾞﾗ,8560835,42
黒木町,ｸﾛｷﾏﾁ,8560012,42
黒丸町,ｸﾛﾏﾙﾏﾁ,8560808,42
古賀島町,ｺｶﾞｼﾏﾏﾁ,8560817,42
木場,ｺﾊﾞ,8560046,42
幸町,ｻｲﾜｲﾏﾁ,8560836,42
坂口町,ｻｶｸﾞﾁﾏﾁ,8560028,42
桜馬場,ｻｸﾗﾊﾞﾊﾞ,8560812,42
三城町,ｻﾝｼﾞｮｳﾁｮｳ,8560031,42
重井田町,ｼｹﾞｲﾀﾞﾏﾁ,8560011,42
寿古町,ｽｺﾏﾁ,8560801,42
須田ノ木町,ｽﾀﾞﾉｷﾏﾁ,8560047,42
諏訪,ｽﾜ,8560024,42
西部町,ｾｲﾌﾞﾏﾁ,8560847,42
武部町,ﾀｹﾍﾞﾏﾁ,8560035,42
竹松本町,ﾀｹﾏﾂﾎﾝﾏﾁ,8560805,42
竹松町,ﾀｹﾏﾂﾏﾁ,8560803,42
田下町,ﾀｼﾞﾓﾏﾁ,8560014,42
徳泉川内町,ﾄｸｾﾝｶﾞﾜﾁﾏﾁ,8560041,42
富の原,ﾄﾐﾉﾊﾗ,8560806,42
中里町,ﾅｶｻﾞﾄﾏﾁ,8560842,42
中岳町,ﾅｶﾀﾞｹﾏﾁ,8560013,42
西乾馬場町,ﾆｼｲﾇｲﾊﾞﾊﾞﾏﾁ,8560821,42
西大村本町,ﾆｼｵｵﾑﾗﾎﾝﾏﾁ,8560813,42
西三城町,ﾆｼｻﾝｼﾞｮｳﾁｮｳ,8560825,42
西本町,ﾆｼﾎﾝﾏﾁ,8560837,42
野岳町,ﾉﾀﾞｹﾏﾁ,8560003,42
野田町,ﾉﾀﾞﾏﾁ,8560019,42
原口町,ﾊﾗｸﾞﾁﾏﾁ,8560811,42
原町,ﾊﾗﾏﾁ,8560016,42
東大村,ﾋｶﾞｼｵｵﾑﾗ,8560032,42
東三城町,ﾋｶﾞｼｻﾝｼﾞｮｳﾁｮｳ,8560826,42
東野岳町,ﾋｶﾞｼﾉﾀﾞｹﾏﾁ,8560002,42
東本町,ﾋｶﾞｼﾎﾝﾏﾁ,8560831,42
日泊町,ﾋﾄﾞﾏﾙﾏﾁ,8560846,42
平町,ﾋﾗﾏﾁ,8560042,42
福重町,ﾌｸｼｹﾞﾏﾁ,8560006,42
古町,ﾌﾙﾏﾁ,8560822,42
本町,ﾎﾝﾏﾁ,8560832,42
雄ケ原町,ﾏｽﾗｶﾞﾊﾗﾏﾁ,8560022,42
松並,ﾏﾂﾅﾐ,8560814,42
松原,ﾏﾂﾊﾞﾗ,8560008,42
松原本町,ﾏﾂﾊﾞﾗﾎﾝﾏﾁ,8560009,42
松山町,ﾏﾂﾔﾏﾏﾁ,8560829,42
箕島町,ﾐｼﾏﾏﾁ,8560816,42
水田町,ﾐｽﾞﾀﾏﾁ,8560824,42
水計町,ﾐｽﾞﾊｶﾘﾏﾁ,8560034,42
溝陸町,ﾐｿﾞﾛｸﾏﾁ,8560844,42
宮小路,ﾐﾔｼｮｳｼﾞ,8560807,42
宮代町,ﾐﾔﾀﾞｲﾏﾁ,8560015,42
弥勒寺町,ﾐﾛｸｼﾞﾏﾁ,8560005,42
向木場町,ﾑｶｲｺﾊﾞﾏﾁ,8560045,42
武留路町,ﾑﾙﾛﾏﾁ,8560001,42
森園町,ﾓﾘｿﾞﾉﾏﾁ,8560815,42
立福寺町,ﾘﾌｸｼﾞﾏﾁ,8560004,42
